Variable Name,Tag Variable Name - 2023,Tag Variable Name 2023 (Airtable inconsistencies),Fixed?,Full Tag Name,Equivalent Variable Name - 2022,Equivalent Variable Name - 2021,Equivalent Variable Name - 2019,2023 Description,2022 Description,2021 Description,2019 Description,Nested 2023,Nested 2022,Nested 2021,Nested 2019,In use 2023,Year removed,Years Used (Airtable - updated),Only one year used,Priority,Interest,Change Notes
practices_community_supports,practices_community_supports,This is not a parent or child tag in 2023,TRUE,family and community support services,practices_community_supports,community_supports,community_support,"The learning environment offers (or partners to offer) social and wraparound support services to meet the needs of families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.","The learning environment offers (or partners to offer) social and wraparound support services to meet the needs of families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.","The learning environment offers (or partners to offer) social and wraparound support services to meet the needs of families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.","The learning environment offers (or partners to offer) social and wraparound support services to meet the needs of families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_competency_education,practices_competency_education,This is not a parent or child tag in 2023,TRUE,competency/mastery-based education,practices_competency_education,competency_education,competency_education,"The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.","The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.","The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.","The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",not nested,,Tag - General Approach,Tag - General Approach,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_competency_framework,practices_competency_framework,This is not a parent or child tag in 2023,TRUE,competency framework,practices_competency_framework,competency_framework,competency_framework,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_culturally_responsive,practices_culturally_responsive,This is not a parent or child tag in 2023,TRUE,culturally responsive practices,practices_culturally_responsive,culturally_relevant,culturally_relevant,Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_data_instruction,NA,,,data analytics drive instruction,NA,NA,data_instruction,NA,NA,NA,"Data analytics are accessible to teachers, understandable by teachers, and are used by teachers to inform instruction.",NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_design_margins,NA,This tag is missing; needs to be added to the spreadsheet,,design at the margins,NA,NA,design_margins,NA,NA,NA,"Design and innovation prioritizes the needs of historically marginalized students and families. Marginalized people are leaders, participants, and beneficiaries in the design process.",,,,,n,2019,2018-19,Y,,,
practices_design_thinking,practices_design_thinking,This is not a parent or child tag in 2023; AT years listed is incorrect,TRUE,design thinking process,practices_design_thinking,design_thinking,design_thinking,"Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.","Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.","Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.","Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_devices_home,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,take home devices,NA,NA,devices_home,NA,NA,NA,The school allows students to take home school-owned devices.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
"practices_elimination_tracking
IF RETAINED: practices_no_tracking",practices_elimination_tracking,This is not a parent or child tag in 2023,TRUE,no tracked classes,practices_elimination_tracking,elimination_tracking,elimination_tracking,"Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.","Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.","Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.","Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_ell_supports,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,supports for English Language Learners,NA,NA,ell_supports,NA,NA,NA,The school goes above and beyond to support English Language Learners through additional resources and creative approaches.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_enriched_virtual,practices_enriched_virtual,,,enriched virtual model,practices_enriched_virtual,enriched_virtual,enriched_virtual,"A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.","A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.","A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.","A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.",child,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_design_marginalized,practices_design_marginalized,"The 2019 equivalent is incorrect - design_margins is it's own separate tag and needs to be added as an additional row below; the 2019 equivalent for this tag is equity

Full tag name does not match AT",TRUE,design to meet needs of students who have been marginalized,practices_design_marginalized,design_equity,equity,"The learning environment identifies circumstances impacting students who have been most marginalized in order to intentionally design innovations that improve experiences and outcomes for those students. (Students who have been marginalized may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.)","The learning environment identifies circumstances impacting students who have been most marginalized in order to intentionally design innovations that improve experiences and outcomes for those students. (Students who have been marginalized may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.)","The learning environment identifies circumstances impacting students who have been most marginalized in order to intentionally design innovations that improve experiences and outcomes for those students. (Students who have been marginalized may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.)","The learning environment identifies circumstances impacting students who have been most marginalized in order to intentionally design innovations that improve experiences and outcomes for those students. (Students who have been marginalized may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.)",parent,,Tag - General Approach,Tag - General Approach,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_equity_plan,NA,,,commitment to equity in strategic plan,NA,NA,equity_plan,NA,NA,NA,"The school's strategic plan includes an explicit commitment to equity including clear goals, a plan to meet them, methods of assessing progress, and accountability to marginalized students and families.",NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_experiential,NA,,,"experiential, work-based & place-based learning",NA,NA,experiential,NA,NA,NA,"Students learn through real-world experiences inside and outside the classroom (e.g. internships and apprenticeships, service projects, projects in the community, career training).",NA,,NA,Tag - General Approach,n,2019,2018-19,Y,,,
practices_flex,practices_flex,,,flex model,practices_flex,flex,flex,"A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis. In some cases students may have individual schedules set by a teacher or software algorithm that determine which stations they will rotate through (also known as ""individual rotation"").","A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis. In some cases students may have individual schedules set by a teacher or software algorithm that determine which stations they will rotate through (also known as ""individual rotation"").","A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis. In some cases students may have individual schedules set by a teacher or software algorithm that determine which stations they will rotate through (also known as ""individual rotation"").","A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis. In some cases students may have individual schedules set by a teacher or software algorithm that determine which stations they will rotate through (also known as ""individual rotation"").",child,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_flexible_facilities,practices_flexible_facilities,This is not a parent or child tag in 2023,TRUE,flexible facilities & classroom design,practices_flexible_facilities,flexible_facilities,flexible_facilities,"Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.","Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.","Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.","Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_flexible_schedule,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,flexible schedule,NA,NA,flexible_schedule,NA,NA,NA,A non-traditional approach to schedule that aligns with the school's mission and goals.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_flexible_staffing,practices_flexible_staffing,This is not a parent or child tag in 2023,TRUE,flexible staffing & alternative teaching roles,practices_flexible_staffing,flexible_staffing,flexible_staffing,"The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.","The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.","The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.","The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_flipped_classroom,practices_flipped_classroom,,,flipped classroom,practices_flipped_classroom,flipped_classroom,flipped_classroom,"A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.","A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.","A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.","A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.",child,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_grading_mastery,practices_grading_mastery,This is not a parent or child tag in 2023,TRUE,grading policies focus on mastery,practices_grading_mastery,grading_mastery,grading_mastery,"Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.","Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.","Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.","Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_graduation_supports,NA,,,supports for students off-track for graduation,NA,NA,graduation_supports,NA,NA,NA,The school goes above and beyond to support students off-track for graduation through additional resources and creative approaches.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_hiring_practices,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,hiring practices in support of student success,NA,NA,hiring_practices,NA,NA,NA,The school's hiring process prioritizes candidates who bring mindsets that all students can succeed at the highest levels regardless of prior performance.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_immigrants_supports,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,supports for immigrants and refugees,NA,NA,immigrants_supports,NA,NA,NA,The school goes above and beyond to support immigrant and refugee students through additional resources and creative approaches.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_individual_rotation,NA,,,individual rotation,practices_individual_rotation,individual_rotation,individual_rotation,NA,A blended learning model in which students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,A blended learning model in which students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,A blended learning model in which students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,NA,,Tag - Specific Practice,Tag - Specific Practice,n,2022,"2018-19, 2020-21, 2021-22",N,,,
practices_information_formats,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,access to information in multiple formats,NA,NA,information_formats,NA,NA,NA,"Teachers offer students access to information and materials in multiple formats e.g. print, online, video, audio, hands-on, etc.",NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_interoperability,practices_interoperability,"2019 equivalent is missing; needs to be consolidated with integrated_data as the 2019 equivalent

This is not a parent or child tag in 2023",TRUE,interoperable data from multiple technologies,practices_interoperability,interoperability,integrated_data,"Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.","Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.","Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.","Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Called in 2019 ""integrated data from multiple technologies"""
practices_interdisciplinary,practices_interdisciplinary,This is not a parent or child tag in 2023,TRUE,interdisciplinary,practices_interdisciplinary,interdisciplinary,interdisciplinary,"Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.","Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.","Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.","Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_lab_rotation,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,lab rotation,NA,lab_rotation,lab_rotation,NA,NA,"Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station located in a dedicated computer lab.","Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station located in a dedicated computer lab.",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2021,"2018-19, 2020-21",N,,,
practices_learner_agency,NA,,,learner agency,NA,NA,learner_agency,NA,NA,NA,"Students have ownership over their learning by setting learning goals, initiating action toward those goals, and reflecting on their growth.",NA,,NA,Tag - General Approach,n,2019,2018-19,Y,,,
practices_learner_profiles,NA,AT lists tag for 2023 but was removed in 2023,TRUE,individual learner profiles,practices_learner_profiles,learner_profiles,learner_profiles,NA,"Profiles extend across multiple years and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn.","Profiles extend across multiple years and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn.","Profiles extend across multiple years and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn.",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2022,"2018-19, 2020-21, 2021-22",N,,,
practices_learning_paths,practices_learning_paths,This is not a parent or child tag in 2023,TRUE,individual learning paths,practices_learning_paths,learning_paths,learning_paths,Students choose unique learning pathways that are relevant to their interests and passions.,Students choose unique learning pathways that are relevant to their interests and passions.,Students choose unique learning pathways that are relevant to their interests and passions.,Students choose unique learning pathways that are relevant to their interests and passions.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_place_based,practices_place_based,"Missing 2019 equivalent local_focus; consolidate tags here

This is not a parent or child tag in 2023",TRUE,place-based learning,practices_place_based,place_based,local_focus,"The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.","The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.","The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.","The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Called ""foundation in local knowledge, heritage, culture"" in 2019"
practices_local_global,NA,,,connecting local and global,NA,NA,local_global,NA,NA,NA,"Local learning serves as a model for understanding global challenges, opportunities, and connections.",NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_maker,NA,,,maker/design-centered learning,NA,NA,maker,NA,NA,NA,"Students learn through the creative process of design, resulting in either physical or digital creations.",NA,,NA,Tag - General Approach,n,2019,2018-19,Y,,,
practices_makerspace,practices_makerspace,This is not a parent or child tag in 2023,TRUE,makerspace,practices_makerspace,makerspace,makerspace,Students can access a space and/or set of tools for use in building and designing creations.,Students can access a space and/or set of tools for use in building and designing creations.,Students can access a space and/or set of tools for use in building and designing creations.,Students can access a space and/or set of tools for use in building and designing creations.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_assessments_career,practices_assessments_career,"This tag does have a 2019 equivalent - it should be measures_career; update

This is not a parent or child tag in 2023",TRUE,assessments for career readiness,practices_assessments_career,assessments_career,measures_career,The learning environment assesses students' readiness to enter the workforce and pursue a career path.,The learning environment assesses students' readiness to enter the workforce and pursue a career path.,The learning environment assesses students' readiness to enter the workforce and pursue a career path.,The learning environment assesses students' readiness to enter the workforce and pursue a career path.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Full tag name called ""measures for career readiness"" in 2019"
practices_measures_climate,NA,,,measures for school climate,NA,NA,measures_climate,NA,NA,NA,The school uses measures for school climate/culture to learn how students experience the school culture.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_measures_college,NA,,,measures for college readiness,NA,NA,measures_college,NA,NA,NA,The school uses measures for students' readiness to enter and complete college.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_assessments_deeper,practices_assessments_deeper,"This tag does have a 2019 equivalent - it should be measures_deeper; update

This is not a parent or child tag in 2023",TRUE,assessments for deeper learning,practices_assessments_deeper,assessments_deeper,measures_deeper,"The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.","The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.","The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.","The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Full tag called ""measures for deeper learning & 21st century skills"""
practices_measures_purpose,NA,,,measures for purpose and agency,NA,NA,measures_purpose,NA,NA,NA,The school assesses students' development of purpose and agency.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_assessments_sel,practices_assessments_sel,"This tag does have a 2019 equivalent - it should be measures_sel; update

This is not a parent or child tag in 2023",TRUE,assessments for social-emotional skills,practices_assessments_sel,assessments_sel,measures_sel,"The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.","The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.","The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.","The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Full tag called ""measures for social-emotional skills"""
