Variable Name,Tag Variable Name - 2023,Tag Variable Name 2023 (Airtable inconsistencies),Fixed?,Full Tag Name,Equivalent Variable Name - 2022,Equivalent Variable Name - 2021,Equivalent Variable Name - 2019,2023 Description,2022 Description,2021 Description,2019 Description,Nested 2023,Nested 2022,Nested 2021,Nested 2019,In use 2023,Year removed,Years Used (Airtable - updated),Only one year used,Priority,Interest,Change Notes
practices_alternating_weeks,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,alternating weeks,NA,alternating_weeks,NA,NA,NA,"Some students attend school one week, and others the next.",NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
practices_anti_racist,practices_anti_racist,This is not a parent or child tag in 2023,TRUE,anti-racist practices,practices_anti_racist,anti_racist_action,NA,Indicates whether the school selected the tag anti-racist practices: The learning environment is building a culture of taking direct action to dismantle policies and practices that create or perpetuate inequality between racial groups.,The learning environment is building a culture of taking direct action to dismantle policies and practices that create or perpetuate inequality between racial groups.,The school is building a culture of taking direct action to counter and dismantle policies and practices that create or perpetuate inequality between racial groups.,NA,not nested,,Tag - General Approach,NA,y,Not removed ,"2020-21, 2021-22, 2022-23",N,,,
practices_assessments_agency,practices_assessments_agency,This is not a parent or child tag in 2023,TRUE,assessments for agency and self-directed learning,NA,NA,NA,"Indicates whether the school selected the tag assessments for agency and self-directed learning Tests are administered to measure student performance on various dimensions of self-directed learning (e.g., self-awareness, agency, goal-setting and planning, etc.) ",NA,NA,NA,not nested,,NA,NA,y,Not removed ,2022-23,Y,,,
practices_assessments_career,practices_assessments_career,"This tag does have a 2019 equivalent - it should be measures_career; update

This is not a parent or child tag in 2023",TRUE,assessments for career readiness,practices_assessments_career,assessments_career,measures_career,Indicates whether the school selected the tag assessments for career readiness: The learning environment assesses students' readiness to enter the workforce and pursue a career path.,The learning environment assesses students' readiness to enter the workforce and pursue a career path.,The school assesses students' readiness to enter the workforce and pursue a career path.,The school uses measures for students' readiness to enter the workforce and pursue a career path.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Full tag name called ""measures for career readiness"" in 2019"
practices_assessments_deeper,practices_assessments_deeper,"This tag does have a 2019 equivalent - it should be measures_deeper; update

This is not a parent or child tag in 2023",TRUE,assessments for deeper learning,practices_assessments_deeper,assessments_deeper,measures_deeper,"Indicates whether the school selected the tag assessments for deeper learning: The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.","The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.","The school assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.","The school uses measures for deeper learning and 21st century skills e.g. communication, collaboration, academic content mastery, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Full tag called ""measures for deeper learning & 21st century skills"""
practices_assessments_sel,practices_assessments_sel,"This tag does have a 2019 equivalent - it should be measures_sel; update

This is not a parent or child tag in 2023",TRUE,assessments for social-emotional skills,practices_assessments_sel,assessments_sel,measures_sel,"Indicates whether the school selected the tag assessments for social-emotional skills: The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.","The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.","The school uses strategies to assesses school climate, social-emotional, and noncognitive skills e.g. self-management, social awareness, relationship skills, belonging, etc.","The school uses measures for social-emotional and noncognitive skills e.g. self-management, social awareness, relationship skills, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Full tag called ""measures for social-emotional skills"""
practices_asynchronous_online,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,asynchronous online learning,NA,asynchronous_online,NA,NA,NA,"Online learning activities occur asynchronously, where consistent groups of students participate on their own time when they choose.",NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
practices_family_learning,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,at-home learning supports,NA,family_learning,NA,NA,NA,The school offers guidance and training for families about how to support students learning remotely.,NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
practices_assessments_bilingual,practices_assessments_bilingual,This is not a parent or child tag in 2023,TRUE,bilingual assessments,NA,NA,NA,Indicates whether the school selected the tag bilingual assessments: Tests are designed and administered to build on students' bilingual abilities.,NA,NA,NA,not nested,,NA,NA,y,Not removed ,2022-23,Y,,,
practices_blended_learning,practices_blended_learning,,,blended learning,practices_blended_learning,blended_learning,blended_learning,"Indicates whether the school selected the tag blended learning: Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.","Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.","Students learn both online and in-person, in which both learning environments are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.","Students learn both online and in-person, in which both learning enviroments are connected to provide an integrated learning experience.",parent,,Tag - General Approach,Tag - General Approach,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_career_prep,practices_career_prep,This is not a parent or child tag in 2023,TRUE,career prep and work-based learning,practices_career_prep,career_prep,career_prep,"Indicates whether the school selected the tag career prep and work-based learning: The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.","The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.","The school offers career-oriented learning opportunities, e.g. career tech and vocational training, interview practice, internships and apprenticeships, etc.","The school offers career-oriented learning opportunities inside and/or outside the school system, e.g. career tech and vocational training, interview practice, internships and apprenticeships, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
"practices_co_leaders
IF RETAINED: practices_coleadership",practices_co_leaders,Update to practices_coleaders; AT 2023 var name is practices_coleaders but dataset is practices_co_leaders with child tags not conforming to naming convention,TRUE,co-leadership,NA,NA,NA,"Indicates whether the school selected the tag co-leadership: The learning environment involves stakeholders in the process of decision-making and communicates how the input gathered from stakeholders informs decision-making. This may include teachers, students, families, community-based organizations, industry-based partners, or others.",NA,NA,NA,parent,,NA,NA,y,Not removed ,2022-23,Y,,,
practices_equity_plan,NA,,,commitment to equity in strategic plan,NA,NA,equity_plan,NA,NA,NA,"The school's strategic plan includes an explicit commitment to equity including clear goals, a plan to meet them, methods of assessing progress, and accountability to marginalized students and families.",NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_sel_plan,NA,,,commitment to whole child or SEL in strategic plan,NA,NA,sel_plan,NA,NA,NA,Development of the whole child and social-emotional competencies are a core part of the school's strategic plan.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_community_partnerships,practices_community_partnerships,This is not a parent or child tag in 2023,TRUE,community and business partnerships,practices_community_partnerships,community_partnerships,community_partnerships,"Indicates whether the school selected the tag community and business partnerships: Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.","Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.","The school has developed partnerships with businesses and the community, which may help facilitate experiential learning, internships, mentorships, etc.","The school has developed partnerships with businesses and the community, which may help facilitate experiential learning, internships, mentorships, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
"practices_community_leaders
IF RETAINED NESTED: practices_colead_cbo",practices_community_leaders,Update to practices_colead_cbo; AT 2023 var name is practices_colead_cbo; dictionary/dataset name is practices_community_leaders,TRUE,community-based organizations as co-leaders,NA,NA,NA,"Indicates whether the school selected the tag community-based organizations as co-leaders: The learning environment involves community-based organizations in shared decision-making, and communicates how CBO input has informed decision-making. This may include strategies such as offering learning hubs and integrating expertise into schools.",NA,NA,NA,child,,NA,NA,y,Not removed ,2022-23,Y,,,
practices_competency_framework,practices_competency_framework,This is not a parent or child tag in 2023,TRUE,competency framework,practices_competency_framework,competency_framework,competency_framework,Indicates whether the school selected the tag competency framework: A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,A transparent learning framework is used to align instruction and assessment. What proficiency looks like at each performance level is available to students and families.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_competency_education,practices_competency_education,This is not a parent or child tag in 2023,TRUE,competency/mastery-based education,practices_competency_education,competency_education,competency_education,"Indicates whether the school selected the tag competency/mastery-based education: The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.","The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.","The school's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",A systems model in which teaching and learning are designed to ensure students are becoming proficient by advancing on demonstrated mastery.,not nested,,Tag - General Approach,Tag - General Approach,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_local_global,NA,,,connecting local and global,NA,NA,local_global,NA,NA,NA,"Local learning serves as a model for understanding global challenges, opportunities, and connections.",NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_culturally_responsive,practices_culturally_responsive,This is not a parent or child tag in 2023,TRUE,culturally responsive practices,practices_culturally_responsive,culturally_relevant,culturally_relevant,Indicates whether the school selected the tag culturally responsive practices: Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,Pedagogy and curriculum are continually adapted to be relevant to the cultural environment and background of students attending the school.,Pedagogy and curriculum are continually adapted to be relevant to the cultural environment and background of students attending the school.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_data_instruction,NA,,,data analytics drive instruction,NA,NA,data_instruction,NA,NA,NA,"Data analytics are accessible to teachers, understandable by teachers, and are used by teachers to inform instruction.",NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_design_margins,NA,This tag is missing; needs to be added to the spreadsheet,,design at the margins,NA,NA,design_margins,NA,NA,NA,"Design and innovation prioritizes the needs of historically marginalized students and families. Marginalized people are leaders, participants, and beneficiaries in the design process.",,,,,n,2019,2018-19,Y,,,
practices_design_thinking,practices_design_thinking,This is not a parent or child tag in 2023; AT years listed is incorrect,TRUE,design thinking process,practices_design_thinking,design_thinking,design_thinking,"Indicates whether the school selected the tag design thinking process: Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.","Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.","Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.","Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_circles,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,dialogue circles,NA,circles,circles,NA,NA,"Dialogue circles are gatherings in which all participants sit in a circle facing each other to facilitate open, direct communication. They provide a safe, supportive space where all school community members can talk about sensitive topics, work through differences, and build consensus.","Dialogue circles are gatherings in which all participants sit in a circle facing each other to facilitate open, direct communication.",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2021,"2018-19, 2020-21",N,,,
practices_digital_materials,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,digital materials,NA,digital_materials,NA,NA,NA,"For remote learning, curricular materials are hosted and distributed digitally.",NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
practices_disaggregated_participation_data,practices_disaggregated_participation_data,"Years listed in AT is incorrect

This is not a parent or child tag in 2023",TRUE,disaggregated data on student participation,practices_disaggregated_participation_data,NA,NA,"Indicates whether the school selected the tag disaggregated data on student participation: The learning environment tracks data on the extent to which different groups of students (e.g., by race, gender, disability, socioeconomic status) participate in programs to ensure that students have equitable access.","The learning environment tracks data on the extent to which different groups of students (e.g., by race, gender, disability, socioeconomic status) participate in programs to ensure that students have equitable access.",NA,NA,not nested,,NA,NA,y,Not removed ,"2021-22, 2022-23",N,,,
practices_dual_credit,NA,,,dual credit,practices_dual_credit,dual_credit,NA,NA,Students can take college credit-bearing courses before entering college.,The school offers students the option to take college credit-bearing courses before entering college.,NA,NA,,Tag - Specific Practice,NA,n,2022,"2020-21, 2021-22",N,,,
practices_dual_language,practices_dual_language,This is not a parent or child tag in 2023,TRUE,dual language programming,practices_dual_language,dual_language,NA,Indicates whether the school selected the tag dual language programming: A form of bilingual education in which students are taught literacy and content in two languages.,A form of bilingual education in which students are taught literacy and content in two languages.,A form of bilingual education in which students are taught literacy and content in two languages.,NA,not nested,,Tag - Specific Practice,NA,y,Not removed ,"2020-21, 2021-22, 2022-23",N,,,
practices_early_college,practices_early_college,This is not a parent or child tag in 2023,TRUE,early college high school,practices_early_college,early_college,NA,"Indicates whether the school selected the tag early college high school: A hybrid of high school and college, where all students take both high school and college classes simultaneously, earning credit towards a college degree.","A hybrid of high school and college, where all students take both high school and college classes simultaneously, earning credit towards a college degree.","The school is a hybrid of high school and college, where all students take both high school and colleges classes simultaneously, earning credit towards a college degree.",NA,not nested,,Tag - Specific Practice,NA,y,Not removed ,"2020-21, 2021-22, 2022-23",N,,,
practices_enriched_virtual,practices_enriched_virtual,,,enriched virtual model,practices_enriched_virtual,enriched_virtual,enriched_virtual,"Indicates whether the school selected the tag enriched virtual model: A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.","A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.","Students complete the majority of coursework online at home or outside of school, but attend school for required face-to-face learning sessions with a teacher.","Students complete the majority of coursework online at home or outside of school, but attend school for required face-to-face learning sessions with a teacher.",child,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_expanded_success,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,expanded measures of success,practices_expanded_success,expanded_success,redefining_success,NA,"The learning environment defines student success beyond traditional measures such as GPA, and assesses students along the expanded definition of success. (May include career readiness, social-emotional skills, purpose and agency, etc.)","The school defines student success beyond traditional measures such as GPA, and assesses students along the expanded definition of success. (May include career readiness, social-emotional skills, purpose and agency, etc.)","The school defines student success beyond traditional measures such as GPA, and assesses students along the expanded definition of success. (May include career readiness, social-emotional skills, purpose and agency, etc.)",NA,,Tag - General Approach,Tag - General Approach,n,2022,"2018-19, 2020-21, 2021-22",N,,,
practices_expanded_open_hours,practices_expanded_open_hours,"This has a 2019 and 2022 equivalent that is listed separately below open_hours, these need to be combined and updated

This is not a parent or child tag in 2023",TRUE,expanded open hours,practices_expanded_open_hours,open_hours,open_hours,Indicates whether the school selected the tag expanded open hours: The learning environment is open outside of normal hours and during vacations to support learning and offer services.,The learning environment is open outside of normal hours and during vacations to support learning and offer services.,The school is open outside of normal hours and during vacations to support learning and offer services.,The school is open outside of normal hours and during vacations to support learning and offer services.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_experiential,NA,,,"experiential, work-based & place-based learning",NA,NA,experiential,NA,NA,NA,"Students learn through real-world experiences inside and outside the classroom (e.g. internships and apprenticeships, service projects, projects in the community, career training).",NA,,NA,Tag - General Approach,n,2019,2018-19,Y,,,
practices_extended_learning,practices_extended_learning,"The 2019 equivalent is listed as a separate row below outside_credit; needs to be consolidated

This is not a parent or child tag in 2023",TRUE,extended learning opportunities,practices_extended_learning,extended_learning,outside_credit,"Indicates whether the school selected the tag extended learning opportunities: Students can access credit-bearing learning experiences outside of school (e.g. internship, service learning, training, etc).","Students can access credit-bearing learning experiences outside of school (e.g. internship, service learning, training, etc).","Students can access credit-bearing learning experiences outside of the school (e.g. internship, service learning, training, etc).","Students can earn academic credit for learning experiences outside of the school (e.g. internship, service learning, training, etc).",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Full name in 2019 is ""credit for learning outside the classroom"""
"practices_families_leaders
IF RETAINED NESTED: practices_colead_family",practices_families_leaders,Update to practices_colead_family; AT lists 2023 equivalent as practices_coleaders_family but dataset lists practices_families_leaders,TRUE,families as co-leaders,practices_families_leaders,families_leaders,NA,"Indicates whether the school selected the tag families as co-leaders: The learning environment involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.","The learning environment involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.","The school involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.",NA,child,,Tag - Specific Practice,NA,y,Not removed ,"2020-21, 2021-22, 2022-23",N,,,
practices_families_choose_modality,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,families can choose instructional modality,NA,families_choose_modality,NA,NA,NA,"Families can opt into their instructional modality of choice (e.g. fully remote, fully in-person, or hybrid)",NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
practices_community_supports,practices_community_supports,This is not a parent or child tag in 2023,TRUE,family and community support services,practices_community_supports,community_supports,community_support,"Indicates whether the school selected the tag family and community support services: The learning environment offers (or partners to offer) social and wraparound support services to meet the needs of families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.","The learning environment offers (or partners to offer) social and wraparound support services to families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.","The school offers (or partners to offer) social and wraparound support services to families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.","The school offers (or partners to offer) services that benefit families and the community at large, e.g. adult learning, childcare, family counseling.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_flex,practices_flex,,,flex model,practices_flex,flex,flex,"Indicates whether the school selected the tag flex model: A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis. In some cases students may have individual schedules set by a teacher or software algorithm that determine which stations they will rotate through (also known as """"individual rotation"""").","A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis.","Students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis.","Students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis.",child,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_assessment_schedule,NA,,,flexible assessment schedule,NA,assessment_schedule,assessment_schedule,NA,NA,"The school allows students to complete assessments when they are ready, rather than all at once on a fixed schedule.","The school allows students to complete assessments when they are ready, rather than all at once on a fixed schedule.",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2021,"2018-19, 2020-21",N,,,
practices_flexible_facilities,practices_flexible_facilities,This is not a parent or child tag in 2023,TRUE,flexible facilities & classroom design,practices_flexible_facilities,flexible_facilities,flexible_facilities,"Indicates whether the school selected the tag flexible facilities & classroom design: Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.","Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.","Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.","Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_flexible_schedule,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,flexible schedule,NA,NA,flexible_schedule,NA,NA,NA,A non-traditional approach to schedule that aligns with the school's mission and goals.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_flexible_staffing,practices_flexible_staffing,This is not a parent or child tag in 2023,TRUE,flexible staffing & alternative teaching roles,practices_flexible_staffing,flexible_staffing,flexible_staffing,"Indicates whether the school selected the tag flexible staffing & alternative teaching roles: The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.","The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.","The school makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.","The school makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_staffing_infrastructure,NA,,,flexible staffing & infrastructure,NA,NA,staffing_infrastructure,NA,NA,NA,"The school makes creative use of staffing, systems, and resources to support student-centered learning.",NA,,NA,Tag - General Approach,n,2019,2018-19,Y,,,
practices_flipped_classroom,practices_flipped_classroom,,,flipped classroom,practices_flipped_classroom,flipped_classroom,flipped_classroom,"Indicates whether the school selected the tag flipped classroom: A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.","A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.","Students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.","Students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.",child,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_fully_in_person,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,fully in-person,NA,fully_in_person,NA,NA,NA,Some students learn fully at school (no core instruction required remotely or at home).,NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
