school_id,school_name,group
408,Learn4Life Inglewood - Alta Vista Innovation High,c
447,Mālama Honua Public Charter School,c
430,Building 21 Philadelphia,c
4,Albemarle Road Elementary School,c
6,Amana Academy,c
19,Barrington Middle School,c
25,Bronx Arena High School,c
30,Charles W. Eliot PreK-8th Grade School,c
33,Chastain Road Elementary,c
34,Childersburg Middle School,c
36,Cisco Elementary,c
40,Coahoma Early College High School,c
46,Compass Academy,c
50,Dan D. Rogers Elementary School,c
54,Denver School of Innovation and Sustainable Design,c
56,Design Tech High School,c
57,Design39Campus,c
59,Du Bois Integrity Academy,c
73,Farmington High School (CT),c
77,Francis T Maloney High School,c
89,Gwendolyn Brooks College Preparatory Academy,c
90,Hamilton County Collegiate High at Chattanooga State,c
95,Holmes Central High School,c
103,Iroquois High School,c
104,John Barry Elementary School,c
106,Kent Innovation High School,c
108,Kettle Moraine Explore,c
110,KIPP Liberation,c
111,Latitude 37.8 High School,c
116,Lindsay Unified High School,c
118,Logan Innovations,c
125,Mena High School,c
127,MetWest,c
131,Mission Hill K-8 School,c
133,Montpelier High School,c
135,Nativity of Mary Catholic School,c
136,North Carolina School of Science and Mathematics,c
137,Nettleton High School,c
143,North Little Rock Middle School - 6th Grade Campus,c
145,Nottingham Elementary School,c
147,Oakland High School,c
151,Orlo Avenue Elementary,c
154,Parker-Varney Elementary,c
159,Pine Tree Elementary School,c
160,Pioneer Ridge Middle School,c
161,Pittsfield Middle High School,c
162,Polaris Charter Academy,c
164,Powderhouse Studios [Nonoperating school],c
168,Reiche Community School,c
169,River Bluff High School,c
170,Rochester Middle School,c
175,Saluda Trail Middle School,c
177,Schoolcraft High School,c
179,Scott Central High School,c
184,Siloam Springs High School Conversion Charter,c
186,Sinai Elementary School,c
193,Souhegan Coop High School,c
195,Statesmen College Preparatory Academy for Boys PCS,c
200,Taft Primary School,c
203,The Creative School,c
205,The NET Charter High School: Gentilly,c
210,UCLA Community School,c
214,Valley View Middle School,c
219,Warren County High School,c
223,West Side Collaborative Middle School,c
224,West Woods Upper Elementary School,c
226,White Mountains Regional High School,c
232,Ysleta Elementary School,c
306,Achieve Community Charter School,d
411,Tomorrow's Leadership Collaborative (TLC) Charter,d
493,Exploration High School,d
526,Crossroads FLEX,d
528,KIPP Philadelphia Preparatory Academy,d
559,Holladay Intermediate Magnet School,d
566,Sequoyah School,d
572,Black Mother's Forum Microschool,d
581,Vimenti School,d
601,New Harmony High Institute,d
604,The 1881 Institute,d
612,Unidos Homeschool Cooperative,d
615,Oceti Sakowin Educational Learning Center,d
622,Georgia Fugees Academy Charter School,d
627,Phoenix International Academy,d
628,Rainier Valley Leadership Academy,d
630,Crotona International High School,d
799,Codman Academy Charter School,d
796,Perea Elementary School,d
792,Kairos Academies,d
786,New School of San Francisco,d
783,Margarita Muñiz Academy,d
771,Keres Children's Learning Center,d
768,Icon Preparatory School Jacksonville,d
765,Ednovate Virtual Academy,d
764,Robert F. Smith STEAM Academy,d
759,Aggie Academy,d
757,San Luis High School,d
754,Rio Rico High School,d
753,University High School,d
752,The Leadership School,d
748,Zeta Inwood,d
746,Opportunity Academy at Holyoke High School,d
743,KIPP Beyond Middle School,d
739,Impact | Commencement Bay Elementary,d
731,URBAN ACT Academy,d
729,Solar Preparatory School for Boys,d
727,Rodriguez Elementary,d
720,Montessori Elementary at Highland Park,d
715,Las Américas ASPIRA Academy,d
714,Kansas City Girls Prep Academy,d
712,High School of Commerce,d
710,Growth Public Schools,d
708,Endazhi-Nitaawiging Charter School,d
707,Empower Community School,d
699,Building 21 Allentown,d
697,BRICK Achieve Middle School,d
694,Bostonia Global K-14,d
693,BELIEVE Circle City High School,d
690,Altura Preparatory School,d
688,Alabama Aerospace and Aviation High School,d
685,Innovation Lab High School,d
678,Creative Minds International,d
674,Fenway High School,d
672,Tapestry Public Charter School,d
668,Heartwood Agile Learning Center,d
666,I Dream Public Charter School,d
665,Capital Experience Lab,d
663,Global Citizens Public Charter School,d
657,David H. Petree Elementary,d
655,Kilombo Academic and Cultural Institute,d
653,Dolores Huerta Middle School,d
643,Dekalb Brilliance Academy,d
640,Valor Preparatory Academy of Arizona,d
639,"Roxbury Roots Montessori, Inc.",d
624,La Promesa,d
605,8 Million Stories,d
504,DREAM Charter School,d
479,Central Queens Academy - Middle School,d
476,Wish Community School,d
457,"Dził Ditł'ooi School of Empowerment, Action, and Perseverance (DEAP)",d
448,"Ke Kula ʻo Samuel M. Kamakau, LPCS",d
372,Welte Education Center,d
