School Name,CanopyID,Nominator Org (from Nominations)
Pine Tree Elementary School,159,Center for Assessment
Pioneer Ridge Middle School,160,Institute for Personalized Learning
Pittsfield Middle High School,161,Center for Secondary School Redesign
Polaris Charter Academy,162,EL Education
Port Huron High School,163,Michigan Virtual
Powderhouse Studios [Nonoperating school],164,Education First
Purdue Polytechnic High School - Englewood,165,"XQ Institute,NewSchools Venture Fund"
Radford High School,166,Virginia Department of Education
Red Bank Elementary,167,South Carolina Department of Education Office of Personalized Learning
Reiche Community School,168,"Center for Teaching Quality,Education Evolving"
River Bluff High School,169,South Carolina Department of Education Office of Personalized Learning
Rochester Middle School,170,New Hampshire Learning Initiative
Rocky Mountain School of Expeditionary Learning,171,Education Reimagined
Rooted School,172,"YouthForce Nola,National Charter Collaborative,Rooted School Foundation,NewSchools Venture Fund"
Salem Church Elementary,173,Power My Learning
Salem High School (VA),174,Virginia Department of Education
Saluda Trail Middle School,175,South Carolina Department of Education Office of Personalized Learning
Sanborn Regional High School,176,"New Hampshire Learning Initiative,New Hampshire Department of Education"
Schoolcraft High School,177,Michigan Department of Education
Science and Math Institute,178,"Transcend,Bellwether Education Partners,A Revolution in Education"
Scott Central High School,179,Global Teaching Project
SEEQS: the School for Examining Essential Questions of Sustainability,180,"PBLWorks,NewSchools Venture Fund"
Shamrock Garden Elementary School,181,Public Impact
Shannon High School,182,Raise Your Hand Texas
Shawnee High School,183,Oklahoma Department of Education
Siloam Springs High School Conversion Charter,184,Arkansas Team Digital
Silverton School,185,Colorado Education Initiative
Sinai Elementary School,186,228 Accelerator
Sisu Academy,187,Philanthropy Roundtable
Soaring Heights Pk-8,188,Colorado Education Initiative
Social Justice Humanitas Academy,189,"Education Evolving,Center for Teaching Quality,Transcend"
Social Justice School,190,"228 Accelerator,National Charter Collaborative,228 Accelerator,4.0 Schools,NewSchools Venture Fund,Center on Reinventing Public Education"
Solar Preparatory School for Girls,191,"Bellwether Education Partners,NewSchools Venture Fund,NewSchools Venture Fund,NewSchools Venture Fund"
South Rowan High School,192,"Digital Learning Institute,The Friday Institute"
Souhegan Coop High School,193,"Center for Assessment,New Hampshire Learning Initiative,Center for Secondary School Redesign,New Hampshire Learning Initiative"
St. Alphonsus Catholic School,194,Alliance for Catholic Education
Statesmen College Preparatory Academy for Boys PCS,195,"Digital Promise,Center for Black Educator Development,NewSchools Venture Fund"
Stilwell High School,196,Oklahoma Department of Education
STRIVE Prep - RISE,197,Educurious
Stuttgart Junior High School,198,"Arkansas Team Digital,Arkansas Team Digital"
Summit Prep,199,Populace
Taft Primary School,200,Illinois State Board of Education
Taos Academy Charter School,201,Evergreen Education Group
Temple View Elementary,202,Educurious
The Creative School,203,"228 Accelerator,EdSurge"
The Metropolitan Regional Career and Technical Center,204,"Big Picture Learning,Education Reimagined,Populace,GreatSchools,The Learning Accelerator,Big Picture Learning"
The NET Charter High School: Gentilly,205,"Big Picture Learning,YouthForce Nola,EdSurge,Big Picture Learning"
The Young Women's Leadership School of Astoria,206,Competency Collaborative
Don Tyson School of Innovation,207,Center for Secondary School Redesign
TRIO Wolf Creek Distance Learning Charter School,208,"Evergreen Education Group,TRIO Wolf Creek Distance Learning Charter School"
Two Rivers Public Charter School: 4th Street Campus,209,"EdSurge,Center on Reinventing Public Education"
UCLA Community School,210,"Education Evolving,Education Evolving,Learning Policy Institute"
Urban Assembly Maker Academy,211,"Competency Collaborative,reDesign,Springpoint Schools"
Urban Montessori Charter School,212,"Rogers Family Foundation,Rogers Family Foundation"
Valley New School,213,EdVisions
Valley View Middle School,214,Institute for Personalized Learning
Valor Flagship Academy,215,The Learning Accelerator
Valor Voyager Academy,216,"NewSchools Venture Fund,NewSchools Venture Fund"
Vilas Elementary School,217,New Hampshire Department of Education
Waimea Canyon Middle School,218,PBLWorks
Warren County High School,219,Tennessee SCORE
Washington Leadership Academy,220,"XQ Institute,Charter School Growth Fund"
Waukesha STEM Academy Saratoga Campus,221,Institute for Personalized Learning
Weber Elementary,222,CA Group Consulting
West Side Collaborative Middle School,223,Competency Collaborative
West Woods Upper Elementary School,224,Connecticut Center for School Change
Wheeling High School,225,Illinois State Board of Education
White Mountains Regional High School,226,"New Hampshire Department of Education,Education Resources Consortium,Education Resources Consortium"
Whittle School,227,Philanthropy Roundtable
William Smith High School,228,"Springpoint Schools,Colorado Education Initiative"
Winterboro High School,229,Center for Teaching Quality
Workspace Education,230,"Microschool Revolution,Philanthropy Roundtable"
Wynne Intermediate School of Innovation,231,Office of Innovation for Education in Arkansas
Ysleta Elementary School,232,Raise Your Hand Texas
Cesar E. Chávez Multicultural Academic Center,233,Clayton Christensen Institute
Virtual Learning Academy,234,Clayton Christensen Institute
International School of the Americas,235,Asia Society
5280 High School,236,Colorado Education Initiative
ACE Leadership High School,237,"Future Focused Education,Future Focused Education"
Altona Middle School,238,Next Generation Learning Challenges
Ascension Catholic School,239,Alliance for Catholic Education
Aspen Valley Prep Academy,240,"Transcend,Chan Zuckerberg Initiative"
Avonworth High School,241,Duquesne University School of Education
Benjamin Banneker Charter Public School,242,Rennie Center
Bennington Junior-Senior High School,243,Kansas State Department of Education
Big Picture Educational Academy,244,"Big Picture Learning,Big Picture Learning"
Big Picture South Burlington at South Burlington High School,245,"Big Picture Learning,Big Picture Learning"
Blessed Sacrament Catholic School,246,Alliance for Catholic Education
Blue Valley Center for Advanced Professional Studies (CAPS),247,Getting Smart
Boston Arts Academy,248,Getting Smart
Brockton High School,249,CAST
Camden BPL Academy,250,"Big Picture Learning,Big Picture Learning"
City of Bridges High School,251,KnowledgeWorks
Coastal Leadership Academy,252,Open Way Learning
Community of Saints Regional Catholic School,253,Alliance for Catholic Education
ConVal Regional High School,254,"CAST,New Hampshire Extended Learning Opportunity Network"
Cornerstone Academy for Social Action Middle School (CASA),255,Education Evolving
Da Vinci RISE High,256,"Springpoint Schools,Transcend"
DC International school,257,"EdSurge,NewSchools Venture Fund"
Del Lago Academy,258,"Getting Smart,Aurora Institute"
Dighton Elementary School,259,Kansas State Department of Education
Dighton Junior-Senior High School,260,Kansas State Department of Education
DSST: Montview High School,261,"Getting Smart,GreatSchools"
Durango Big Picture High School,262,"Big Picture Learning,Big Picture Learning"
Eisenhower Elementary,263,CAST
El Centro de Estudiantes,264,"Big Picture Learning,Big Picture Learning"
Eliza Chappell Elementary School,265,EdSurge
Embark Education,266,"Moonshot EdVentures,Education Reimagined"
Energy Institute High School,267,Getting Smart
Environmental Charter School,268,"Duquesne University School of Education,Remake Learning Network"
EPIC Academy at Lamoille Union High School,269,"Education Reimagined,Vermont Learning for the Future"
Escuela Verde,270,Education Evolving
Fugees Academy,271,New Profit
Fulton Academy of Science and Technology,272,Clayton Christensen Institute
Futures Academy,273,EdSurge
Galileo STEM Academy,274,Idaho STEM Action Center
Glenwood Elementary,275,Rural Schools Collaborative
Grand Rapids Public Museum School,276,"Getting Smart,Springpoint Schools,GreatSchools"
Great Oaks Legacy Charter School,277,Overdeck Family Foundation
Greater Egleston High School,278,"Big Picture Learning,Big Picture Learning"
Happy Hollow Elementary School,279,Office of Innovation for Education in Arkansas
Harrison High School,280,Colorado Education Initiative
Health Leadership High School,281,"Future Focused Education,San Diego Metropolitan Career and Technical High School,Future Focused Education"
Henry Ford Academy,282,CAST
Highland Academy Charter School,283,Getting Smart
Highlands Micro School,284,Education Reimagined
Hillbrook School,285,Open Way Learning
Huntley High School,286,Getting Smart
Ida B. Wells Middle School,287,EdSurge
iLEAD Exploration,288,Getting Smart
Innovation Academy at Pembroke Academy,289,"Education Resources Consortium,Education Resources Consortium"
Integrated Arts Academy,290,Aurora Institute
International High School at Langley Park,291,Springpoint Schools
Intrinsic Charter School,292,"Transcend,NewSchools Venture Fund"
Iowa BIG,293,Education Reimagined
John J. Cairns High School,294,"Big Picture Learning,Big Picture Learning"
Journey Elementary,295,"Aurora Institute,Aurora Institute"
Kennedy Elementary School,296,Kansas Can School Redesign Project
LaFayette Big Picture at LaFayette Junior/Senior High School,297,"Big Picture Learning,Big Picture Learning"
Lakeridge Elementary,298,Clayton Christensen Institute
Lead Innovation Studio,299,Getting Smart
Leominster Center for Excellence,300,"Big Picture Learning,Big Picture Learning"
Liberal High School,301,Kansas State Department of Education
Lincoln Middle School (AR),302,Office of Innovation for Education in Arkansas
Living School,303,"The Learning Accelerator,NewSchools Venture Fund"
Lonoke High School,304,Office of Innovation for Education in Arkansas
Mapleton Early Career Preparation ,305,"Big Picture Learning,Big Picture Learning"
Achieve Community Charter School,306,Overdeck Family Foundation
Marshall High School,307,Office of Innovation for Education in Arkansas
Matchbook Learning at Wendell Phillips,308,The Learning Accelerator
Met Sacramento High School,309,"Big Picture Learning,Big Picture Learning"
Methow Valley Independent Learning Center,310,"Big Picture Learning,Big Picture Learning"
Mountain Academy at Teton Science School,311,Getting Smart
Nashville Big Picture High School,312,"Big Picture Learning,Big Picture Learning"
Nawayee Center School,313,Education Reimagined
New Orleans Accelerated High School,314,YouthForce Nola
New Orleans Charter Science and Mathematics High School (SciHigh),315,YouthForce Nola
New Village Girls Academy,316,"Big Picture Learning,Chan Zuckerberg Initiative,Big Picture Learning"
Newark East Side High School,317,"Big Picture Learning,Big Picture Learning"
Newburgh Free Academy West,318,"Big Picture Learning,Big Picture Learning"
Nipmuc Regional High School,319,The Learning Accelerator
North Bay Met Academy,320,"Big Picture Learning,Big Picture Learning"
North Elementary School,321,National Center for Learning Disabilities
North Idaho STEM Charter Academy,322,Idaho STEM Action Center
Northeast Academy for Aerospace and Advanced Technologies,323,Open Way Learning
Northwest Passage High School,324,Education Reimagined
NuVu Innovation School,325,Getting Smart
Odyssey STEM Academy,326,"Education Reimagined,Big Picture Learning"
Olympic Hills Elementary,327,The Learning Accelerator
Open School East,328,New Profit
Opportunities Academy,329,The Learning Accelerator
Ottawa High School,330,Kansas State Department of Education
P.K. Yonge,331,CAST
Pathways High,332,"Transcend,Mastery Transcript Consortium,Mastery Transcript Consortium"
Paulo Freire Freedom School -Downtown,333,CITY Center for Collaborative Learning
Paulo Freire Freedom School -University,334,CITY Center for Collaborative Learning
Pequea Valley High School,335,"Transcend,Transcend"
Pittsburgh Colfax K-8,336,Duquesne University School of Education
Positive Outcomes Charter School,337,"National Center for Learning Disabilities,Big Picture Learning,Big Picture Learning"
Prairie School,338,iLearn Collaborative
Provident Heights Elementary,339,Branching Minds
R5 High School,340,Colorado Education Initiative
RAMTEC,341,Getting Smart
ReNew Dolores T. Aaron Elementary,342,School Leadership Center of Greater New Orleans
Richards Middle School,343,CAST
Rockcreek Elementary School,344,CAST
Saint John Paul II,345,Alliance for Catholic Education
San Diego Met High School,346,"Big Picture Learning,Big Picture Learning"
San Francisco Day School,347,CAST
Science Leadership Academy,348,Getting Smart
Siembra Leadership High School,349,"Future Focused Education,Future Focused Education"
SMASH (Santa Monica Alternative School House),350,"Big Picture Learning,Big Picture Learning"
Sojourner Truth Montessori School,351,"228 Accelerator,228 Accelerator,NewSchools Venture Fund,Center on Reinventing Public Education"
Somerville High School,352,CAST
South Bronx Community Charter High School,353,Aurora Institute
Southside Elementary School,354,School Leadership Center of Greater New Orleans
SPARK School at Kyrene de las Manitas,355,ASU Mary Lou Fulton Teachers College
Stockton Elementary School,356,Kansas Can School Redesign Project
Tacoma School of the Arts,357,Getting Smart
Tahoe Expedition Academy,358,Open Way Learning
Technology Leadership High School,359,"Future Focused Education,Future Focused Education"
The Center for Advanced Research and Technology (CART),360,Transcend
The Net: Central City,361,"Big Picture Learning,YouthForce Nola,Big Picture Learning"
The Springfield Renaissance School,362,Transcend
Tri-County Early College High School,363,Open Way Learning
University Academy Upper School,364,Getting Smart
Valley Day School,365,EdSurge
Van Ness Elementary School,366,"Transcend,Transcend"
Vaux Big Picture High School,367,"Big Picture Learning,Big Picture Learning"
Verdi EcoSchool,368,Education Reimagined
Vista Grande Charter High School,369,NACA Inspired Schools Network
Waring School,370,Next Generation Learning Challenges
Washtenaw Alliance for Virtual Education (WAVE),371,Education Evolving
Welte Education Center,372,Colorado Education Initiative
Wickliffe High School,373,CAST
Winchester Thurston School,374,KnowledgeWorks
Young Women's College Preparatory Academy,375,Getting Smart
Young Women's STEAM Research and Preparatory Academy,376,Getting Smart
Bard High School Early College - Manhattan,377,Transcend
Wilder High School,378,Transcend
Zeta Bronx 1 Elementary,379,Transcend
Southeast Area Technical High School (SEA-TECH),380,Open Way Learning
Olympic High School,381,"Open Way Learning,A Revolution in Education"
Next STEP High,382,"Educate Maine,Center on Reinventing Public Education"
Oxford Virtual Academy,383,MiCoOp
Gull Lake Virtual Partnership,384,MiCoOp
Woods Learning Center,385,Education Evolving
"School of Industrial Design, Engineering and Art",386,A Revolution in Education
Madrona Elementary,387,The Learning Accelerator
Frederick County Middle School,388,Chan Zuckerberg Initiative
Central Vermont Career Center,389,Vermont Agency of Education
River Bend Career & Technical Center,390,Vermont Agency of Education
Bellows Free Academy,391,Vermont Agency of Education
Putney School,392,Vermont Learning for the Future
Randolph Union High School,393,Vermont Agency of Education
Hazen Union High School,394,Vermont Agency of Education
Missisquoi Valley Union Middle and High School,395,Vermont Agency of Education
Quest Academy,396,ExcelinEd
Williams Elementary School,397,Chan Zuckerberg Initiative
Sam Houston Collegiate Preparatory Academy,398,Empower Schools
Hilton Head Christian Academy,399,Fielding International
Legacy Prep,400,"NewSchools Venture Fund,NewSchools Venture Fund"
University Charter School,401,"NewSchools Venture Fund,NewSchools Venture Fund"
i3 Academy,402,"NewSchools Venture Fund,NewSchools Venture Fund"
Desert Spirit School,403,Digital Promise
Palo Verde Elementary School,404,Center for the Future of Arizona
Western School of Science and Technology,405,Center for the Future of Arizona
Bioscience High School,406,Center for the Future of Arizona
Batesville Junior High School,407,Arkansas Team Digital
Learn4Life Inglewood - Alta Vista Innovation High,408,Aurora Institute
Felicitas and Gonzalo Mendez High,409,Learning Policy Institute
CHIME Institute's Schwarzenegger Community,410,The Center for Learner Equity
Tomorrow's Leadership Collaborative (TLC) Charter,411,"The Center for Learner Equity,The Center for Learner Equity"
Renaissance Arts Academy,412,"The Center for Learner Equity,Center on Reinventing Public Education"
Audeo Charter School II,413,The Center for Learner Equity
Crete Academy,414,Camelback Ventures
Yu Ming Charter School,415,"Diverse Charter Schools Coalition,NewSchools Venture Fund"
Chrysalis Charter School,416,Education Evolving
Grant Beacon Middle School,417,Empower Schools
Kepner Beacon Middle School,418,Empower Schools
Escuela Valdez,419,Empower Schools
McGlone Academy,420,The Learning Accelerator
Great Oaks Bridgeport,421,Barr Foundation
Inspired Teaching Demonstration Public Charter School,422,WestEd
Ballou Senior High School,423,Transcend
Anacostia High School,424,Transcend
Promise Academy,425,EmpowerK12
Center City Congress Heights,426,EmpowerK12
Eden Park Elementary School,427,Fielding International
City Charter High School,428,"A+ Schools,Center on Reinventing Public Education"
The Workshop School,429,A Revolution in Education
Building 21 Philadelphia,430,A Revolution in Education
The U School,431,A Revolution in Education
Charles Page High School,432,Oklahoma Department of Education
The Urban Assembly School for Green Careers,433,Education Evolving
Comp Sci.High,434,"NewSchools Venture Fund,NewSchools Venture Fund"
Pelham Gardens Middle School,435,Robin Hood Learning + Technology Fund
PS 76 The Bennington School,436,Robin Hood Learning + Technology Fund
Community Roots Charter School,437,"The Center for Learner Equity,Transcend,Transcend"
PS 206 Jose Celso Barbosa,438,Achievement Network
Jasper High School,439,Arkansas Team Digital
The Museum School of Avondale Estates,440,Diverse Charter Schools Coalition
Clearmont Elementary,441,Branching Minds
Noblesville High School,442,Indiana Department of Education
Rooted School Indianapolis,443,"The Mind Trust,Rooted School Foundation,NewSchools Venture Fund"
PilotED Bethel Park,444,"Camelback Ventures,NewSchools Venture Fund"
Lewisburg Elementary,445,Kentucky Department of Education: Office of Continuous Improvement and Support
Eminence High School,446,Kentucky Department of Education: Office of Continuous Improvement and Support
Mālama Honua Public Charter School,447,State Public Charter School Commission
"Ke Kula ʻo Samuel M. Kamakau, LPCS",448,State Public Charter School Commission
"Ke Kula ʻo Nāwahīokalaniʻōpuʻu Iki, LPCS",449,State Public Charter School Commission
Lycée Français de la Nouvelle Orléans,450,Diverse Charter Schools Coalition
Bricolage Academy,451,"Diverse Charter Schools Coalition,NewSchools Venture Fund"
Nokomis Regional High,452,"Great Schools Partnership,Center on Reinventing Public Education"
Mattanawcook Junior High School,453,Maine Curriculum Leaders Association
Ella Burr Elementary,454,Maine Curriculum Leaders Association
Uxbridge High School,455,The Learning Accelerator
High School for the Recording Arts,456,Fielding International
"Dził Ditł'ooi School of Empowerment, Action, and Perseverance (DEAP)",457,NACA Inspired Schools Network
The Albuquerque Sign Language Academy,458,"Education Resources Consortium,Center on Reinventing Public Education"
Newport High School,459,New Hampshire Learning Initiative
Salem High School (NH),460,New Hampshire Learning Initiative
Dixon School,461,Montana Office of Public Instruction
Spring Grove School,462,Minnesota Learner-Centered Network
Minnesota Center for Advanced Professional Studies,463,Minnesota Learner-Centered Network
Level Up Academy,464,Minnesota Learner-Centered Network
Paladin Career and Technical High School,465,Minnesota Learner-Centered Network
The Forest School,466,"Transcend,Mastery Transcript Consortium,Mastery Transcript Consortium"
KM Global,467,Next Generation Learning Challenges
Da Vinci Communications,468,Moonshot EdVentures
Da Vinci Science,469,Moonshot EdVentures
Da Vinci Design,470,Moonshot EdVentures
Woodstock Union Middle/High School,471,Vermont Agency of Education
Burlington City & Lake Semester,472,Vermont Learning for the Future
Winooski Middle High School,473,"UP for Learning,Vermont Learning for the Future,Mastery Transcript Consortium,Vermont Agency of Education,Barr Foundation"
EdVisions Off Campus School,474,Education Evolving
Link Learning,475,MiCoOp
Wish Community School,476,"The Center for Learner Equity,The Center for Learner Equity"
Paramount Brookside,477,The Center for Learner Equity
West Michigan Virtual Academy,478,MiCoOp
Central Queens Academy - Middle School,479,Diverse Charter Schools Coalition
Manara Leadership Academy,480,Achievement Network
Arlington STEM Academy,481,Achievement Network
Irving Elementary,482,Achievement Network
Detroit Prep,483,"Diverse Charter Schools Coalition,NewSchools Venture Fund"
Exploration High School,493,"Fielding International,Fielding International"
Tindley Summit Academy,494,The Mind Trust
Revolution School,495,"Next STEP High,Transcend"
PS 13 Clement C Moore,497,Robin Hood Learning + Technology Fund
