tag,school_id,practices_a_la_carte,practices_accommodations,practices_adult_wellness,practices_advancement_mastery,practices_advisories,practices_all_courses_designed_for_inclusion,practices_anti_racist,practices_assessments_agency,practices_assessments_bilingual,practices_assessments_career,practices_assessments_deeper,practices_assessments_sel,practices_blended_learning,practices_career_prep,practices_co_leaders,practices_community_leaders,practices_community_partnerships,practices_community_supports,practices_competency_education,practices_competency_framework,practices_culturally_responsive,practices_design_marginalized,practices_design_thinking,practices_disaggregated_participation_data,practices_dual_language,practices_early_college,practices_elimination_tracking,practices_enriched_virtual,practices_expanded_open_hours,practices_extended_learning,practices_families_leaders,practices_flex,practices_flexible_facilities,practices_flexible_staffing,practices_flipped_classroom,practices_grading_mastery,practices_heritage_language,practices_hiring_equity,practices_industry_credentials,practices_industry_leaders,practices_interdisciplinary,practices_interoperability,practices_learning_paths,practices_makerspace,practices_mental_health,practices_mentoring,practices_mtss_academics,practices_multi_age,practices_opportunities_mastery,practices_other_leaders,practices_pbl,practices_peer_to_peer,practices_performance_assessment,practices_physical_well_being,practices_place_based,practices_reallocation_resources,practices_restorative,practices_sel_curriculum,practices_sel_integrated,practices_service_learning,practices_social_justice,practices_station_rotation,practices_student_conferences,practices_student_data,practices_student_goals,practices_student_pace,practices_student_projects,practices_students_leaders,practices_teachers_leaders,practices_translanguaging,practices_trauma_informed,practices_tutoring,practices_udl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_assessments_career,-0.177565345,0.26599568,0.159771738,0.013970434,0.123215104,0.237373848,0.110820441,0.006026851,0.054817418,0.135243637,1,0.061333315,0.117533537,0.245912175,0.507575921,0.202444525,0.250996804,0.33216737,0.026645553,0.199014095,0.17764278,0.077435918,0.13355271,0.107187617,0.052954244,0.053405824,0.317562898,0.10534923,0.239664261,0.138389507,0.362403868,0.094990183,0.147888858,0.203702847,0.208159542,0.218021983,0.09613714,0.11411971,0.033065939,0.479628125,0.286066123,0.206319598,0.050834929,0.197666065,0.091789325,0.103316398,0.149402708,0.049962477,0.211365564,0.139437585,0.005142433,0.11217769,0.135825001,0.233273947,0.126331508,0.204138732,0.250063846,0.043892422,-0.050985032,0.053531551,0.298259416,-0.028742049,-0.025884051,0.099112076,0.324340075,0.189183192,0.203340725,0.201302653,0.229233742,0.191019276,0.053711465,0.150417344,0.146062152,0.038912497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_assessments_deeper,-0.153778835,-0.021220384,0.114565443,-0.101385197,0.158277887,0.146249462,0.15822255,0.111150139,0.195995277,-0.040195053,0.061333315,1,0.211877521,0.124442462,0.00979133,0.181416473,-0.009869253,0.119344566,0.008409923,0.293963268,0.185203683,0.113042253,0.012024692,0.218952173,0.089599095,-0.012867463,0.028995272,0.242439327,0.027065905,0.14591817,0.141980395,0.06898629,0.112256869,0.181733865,0.113378481,0.128166812,0.247207991,-0.164509367,0.127866256,0.058977852,0.075024462,0.22930291,0.107476137,0.212696444,0.144774558,0.020006077,0.065942541,0.102260504,0.107305697,0.274173863,-0.028821284,0.265266064,0.170831256,0.404886638,0.03654694,0.225087667,0.145267708,0.093514849,0.090409908,0.139229281,0.075104245,0.11936604,0.108214998,0.125587758,0.218325003,0.319599475,0.215120393,0.145271818,0.199092068,0.13929719,-0.136240397,0.082833168,0.019214866,0.059165012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_assessments_sel,-0.249060089,0.050129871,0.057497057,0.081050106,0.179572779,0.120423115,0.124120658,0.061852411,0.052411313,0.005615011,0.117533537,0.211877521,1,0.130817048,-0.052004659,0.208501399,0.196037436,0.047902223,0.232288626,0.177833174,0.142412084,0.218112327,0.201722427,0.138049772,0.122900597,-0.019278444,-0.057195606,0.028867103,-0.05497469,0.083022666,0.062052484,0.093910492,0.060619253,0.137814486,0.170564216,0.055760163,0.096434766,0.054647253,0.121015857,-0.059751122,0.166814729,0.134000804,0.173261749,0.130443086,0.072758971,0.186773426,0.231942499,0.010023842,0.017305313,0.159946421,0.039600221,0.06599043,0.118432676,0.01598274,0.180642832,0.215961168,0.136897589,0.269027126,0.198939351,0.261091577,0.141165222,0.096580442,0.063592331,0.191878198,0.136273773,0.257916284,0.180752504,0.121695556,0.285732753,0.226261167,-0.05497469,0.31502654,0.044861344,0.078838138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_blended_learning,-0.258394875,0.309900654,0.169135802,-0.073682217,0.145937501,0.046651708,-0.057783385,-0.065921785,-0.020606045,-0.060896414,0.245912175,0.124442462,0.130817048,1,0.127870865,0.167968622,0.131003249,0.160589961,0.07479288,0.181703999,0.192160201,-0.020585207,0.097459025,0.031443781,0.027017413,-0.05298217,0.072361269,0.08503688,0.240708158,0.171369651,0.162676609,-0.020606045,0.355271197,0.129698367,0.197795737,0.273495821,0.080586081,-0.030775386,0.000865474,0.175823554,0.09036655,0.120431381,0.178782631,0.239837642,0.041732846,0.046856449,0.205966842,-0.044878148,0.160300382,0.062784194,-0.053731384,0.077757772,0.111108064,0.039478365,0.109509157,0.150011787,0.218118911,0.061778618,-0.087243304,0.075099536,0.158404043,-0.057099407,0.393124987,0.178544671,0.148672983,0.255680941,0.32340452,0.173195453,0.194280578,0.126131567,-0.065049674,0.028603418,0.146258503,0.015187862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_career_prep,-0.065963197,0.223689563,0.138822626,0.058621814,0.079670234,0.344609812,0.225531348,0.074572537,0.177564688,0.092227529,0.507575921,0.00979133,-0.052004659,0.127870865,1,0.169051773,0.169697498,0.442560236,-0.006431974,0.131704085,0.146563843,0.067505565,0.130872277,0.163253075,0.037399711,0.011290375,0.487451315,0.137318088,0.189952376,0.020016353,0.421577304,0.000313857,0.100957694,0.2290603,0.145942284,0.175545244,0.127870865,0.172173195,0.086014601,0.502345152,0.220916623,0.140307649,0.02546005,0.219970778,0.087851076,0.123789146,0.178798892,0.061875784,0.100541359,0.138265762,-0.047670901,0.256747874,0.055564488,0.375459151,0.075094797,0.153461807,0.204342803,0.09066286,-0.056336349,0.032530403,0.22961035,0.045257063,-0.072464022,0.073732738,0.243582924,0.173911866,0.139060761,0.242139871,0.273150406,0.201700012,0.098789763,0.109732045,0.176821938,0.02620637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_co_leaders,-0.236027268,0.132838771,0.24939818,0.038759996,0.148133629,0.28186132,0.195104684,0.124783654,0.097792668,-0.049769213,0.202444525,0.181416473,0.208501399,0.167968622,0.169051773,1,0.341897859,0.176583022,0.105188351,0.18399851,0.270002279,0.197565096,0.280433377,0.228273336,0.093929034,-0.084824951,0.063596762,0.275986323,0.065835475,0.193408054,0.184678937,0.400331202,0.05123806,0.129716823,0.321694099,0.139627842,0.268230511,0.012007198,0.149613769,0.108546365,0.316625669,0.286830554,0.177395792,0.231837954,0.085501058,0.191895396,0.18028538,0.013751438,0.184574271,0.266706042,0.110314233,0.202540815,0.159553687,0.166867669,0.180564971,0.242920659,0.181229334,0.205749655,-0.034483906,0.219052099,0.178014677,0.194989876,-0.067541931,0.130682682,0.121705941,0.21800219,0.190826242,0.204111347,0.568540798,0.84824627,0.034715505,0.248057204,-0.01584484,0.09176236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_community_leaders,-0.05852956,0.136193705,0.118011578,0.105929745,0.011032213,0.129354729,0.075355165,0.063728583,0.114671209,0.059466471,0.250996804,-0.009869253,0.196037436,0.131003249,0.169697498,0.341897859,1,0.172350788,0.227420153,0.06993138,0.098384008,0.15636205,0.197114604,0.167684808,0.063828738,-0.002087979,0.141545511,-0.013452727,0.240236696,0.16337869,0.240390527,0.220294965,0.053905036,0.129354729,0.203238508,0.076216742,0.065370883,0.052457116,0.03016224,0.172488676,0.464878782,0.192339324,0.073841435,0.162963207,0.014127423,0.203546995,0.159618806,0.046501862,0.123619894,0.051691411,0.014135257,0.115991959,0.059633944,0.044192498,0.220732968,0.202998194,0.145367101,0.07895531,0.075794821,0.08899613,0.163416887,0.105608204,-0.066040533,0.13132529,0.028686359,0.057172258,0.042112537,0.08663422,0.262572098,0.338129107,-0.004220374,0.124222219,0.065370883,0.063728583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_community_partnerships,-0.165103899,0.141690842,0.158801321,0.062627493,0.043188525,0.197372876,0.193185471,0.02829575,0.139663318,0.101749814,0.33216737,0.119344566,0.047902223,0.160589961,0.442560236,0.176583022,0.172350788,1,0.070624169,0.1133424,0.191238555,0.101974467,0.120751616,0.21265622,0.075628977,0.065346797,0.212762971,0.159960279,0.072775965,0.118902032,0.451754423,0.05180494,0.107413077,0.215782609,0.186625537,0.106755516,0.033205509,0.057278634,0.102496372,0.366786171,0.223861586,0.260252477,0.068284439,0.199611199,0.053367197,0.210520315,0.188611652,-0.00564404,0.143114346,0.067172299,0.022748745,0.315987506,0.093632568,0.243166697,0.175480668,0.303996261,0.186512643,0.126631186,-0.036036899,0.069380338,0.284433651,0.138318984,-0.018900625,0.101806926,0.168476366,0.129081048,0.082236763,0.286170979,0.147302445,0.164120681,0.038885859,0.152702474,0.105996624,0.100217101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_community_supports,-0.041330865,0.002938131,0.065264985,0.1321906,-0.060186627,0.017954172,0.089186124,0.116155561,-0.088180706,0.249201985,0.026645553,0.008409923,0.232288626,0.07479288,-0.006431974,0.105188351,0.227420153,0.070624169,1,-0.028379389,0.030983042,0.164717791,0.130927553,-0.095620237,0.106084578,0.237846733,-0.062844189,-0.012608129,0.094805542,0.152309498,0.091539547,0.093737298,0.001833912,0.017954172,0.045514434,0.025035683,0.07479288,0.075469836,0.15632252,-0.060604276,0.102114492,-0.05132135,-0.004973467,0.039277544,-0.231575469,0.32262823,0.156267018,0.106649667,-0.087252732,-0.007548214,0.050337449,0.084133144,0.184369348,0.012951,0.32654591,0.053667062,0.157623084,0.155844185,0.022596218,0.092583158,-0.027805459,0.154631419,0.035986483,0.007034872,0.0288125,0.05214579,0.016876177,-0.029466365,0.062336645,0.095452117,0.094805542,0.255422365,0.141779545,0.016876177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
practices_competency_education,-0.126020726,0.071182534,0.165906735,-0.075781789,0.41287738,0.179818458,0.168369368,0.069441954,0.157881683,-0.055333711,0.199014095,0.293963268,0.177833174,0.181703999,0.131704085,0.18399851,0.06993138,0.1133424,-0.028379389,1,0.500895398,0.078051118,0.178418789,0.22790415,0.103717836,-0.06870331,0.212442271,0.343240672,0.046043792,0.092740429,0.032767376,-0.001909859,0.181674254,0.112853424,0.217712245,0.096086265,0.446480218,-0.0744476,0.04925416,0.151369526,0.167435784,0.287923008,0.19752087,0.177974083,0.200043782,-0.013473843,0.168591958,0.035722341,0.253845655,0.380482458,-0.059969131,0.179997049,0.08605661,0.383373307,0.044337999,0.212258675,0.084869833,0.123883942,0.013134619,0.118400183,0.216888612,0.100457231,0.015917637,0.15469008,0.168199312,0.322003967,0.282002083,0.188353065,0.200043782,0.164314567,-0.015593498,0.112346816,0.032767376,0.134845071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
