School Name,CanopyID,Formatted disclosable nominator list,Displayed in Portal?,Reason for nominating (from Nominations)
Gibson Ek High School,84,"Big Picture Learning, Mastery Transcript Consortium and an anonymous organization","Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Digital Pioneers Academy,58,"The Center for Learner Equity, NewSchools Venture Fund, Transcend and an anonymous organization","Spring 2023,Spring 2024","Innovative school holding all students to standards of excellence, both academically and personally. , At Digital Pioneers Academy, computer science is at the core of our educational model. We empower students to develop marketable computer science skills and habits of innovation to experience a future of choice. Every student at Digital Pioneers Academy will learn Computer Science at every grade level., DPA is a computer science and college prep focused school serving 6th - 10th grade across two campuses. They serve mostly Black and Brown students and have a mission to prepare them to have a passion for and a career in computer science. Their academic model also includes very Leaps-aligned design principles—highly personalized and relevant content and instruction, an emphasis on safety and care in the learning environment, rigor across content areas, among others. "
Future Public School,81,"Bluum, NewSchools Venture Fund","Spring 2023,Spring 2024","Future is an intentionally diverse school. Students learn engineering/computer science/robotics. They a deep commitment to equity and engage in ongoing anti-racism work. They also have a strong partnership with the Boys and Girls Club, which provides before and after school programming. They have also have a strong focus on SEL., Building engineers of the future (problem solvers and collaborators) through joyful and rigorous academic engagement."
Evergreen Community Charter School,70,National Center for Learning Disabilities,"Spring 2023,Spring 2024",
East College Prep,63,an anonymous organization,"Spring 2023,Spring 2024","Ednovate is a network of public, tuition-free, high-performing college prep high schools in Los Angeles and Orange County. We serve first-generation college-bound students from traditionally underserved communities. Most Ednovate students come from communities that have been underserved for decades by the public education system. About 98% of Ednovate’s enrollment is students of color, and 82% come from low-income households. Our students have a 99% college acceptance rate, but what matters even more is that we’re graduating self-aware, engaged young adults who are headed toward a life of purpose and impact. We prepare high school students from Southern California’s most under-resourced communities for success in school and life, empowering them to use their college degrees and careers to make a positive multigenerational change. "
Howard Middle School for Math and Science,98,228 Accelerator,"Spring 2023,Spring 2024",
Girls Athletic Leadership Middle School,85,an anonymous organization,"Spring 2023,Spring 2024",
Flushing International High School,76,"Springpoint Schools, Aurora Institute","Spring 2023,Spring 2024",Mastery-based education school with focus on international students.
Horizons Alternative Education School,97,"EdTech Specialists, MiCoOp","Spring 2023,Spring 2024","Horizons is a close-knit family atmosphere that focuses on SEL for a population that needs a second chance to learn. A strong focus is on monitoring and managing stress levels so that learning can take place. Teachers and students report stress levels at the beginning and end of each day. During these times, 15 minutes is designated to talk about stress and what to do about it. Teachers and students both learn how to empathize with others through these discussions. There is a student lounge with a maker space, therapy dogs, and a weight room where students can go to relieve stress. They also have the ability to leave class with no questions asked. The school staff believe that de-escalation must occur before issues can be addressed. School suspensions are spent in a separate room in the building where students can complete their work. Students can bring their babies to school and have been known to address the entire student body about LGBTQ and BLM issues. Students have access to a food pantry which also contains personal items and clothing. The staff and students at Horizons feel safe, accepted, have a sense of belonging, and are responsible for themselves and others.  Academically, students can move on when ready and they have the option to take project-based courses. Courses are online so when they are not in attendance or are in suspension, they can work on their class work. During advisory, class-related goals are discussed. Eleventh graders also talk with their mentors on test prep and life skills while 12th graders discuss issues related to their senior projects. Horizons Alternative High School is a great example of how learning can occur when the whole child is the focus. "
Gem Prep Nampa,83,Charter School Growth Fund,"Spring 2023,Spring 2024","The world is changing rapidly and effective education keeps pace with the challenges and advancements students will meet in the real world. Our passion is to provide students a transformational education giving them the knowledge, characteristics, competencies and mindsets for success in college and the next generation workplace."
Fannie Lou Hamer Freedom High School,71,Big Picture Learning,"Spring 2023,Spring 2024","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Fred Tjardes School of Innovation,80,Springpoint Schools,"Spring 2023,Spring 2024",
International School of the Americas,235,an anonymous organization,"Spring 2023,Spring 2024",
Magnolia Montessori For All,120,Next Generation Learning Challenges,"Spring 2023,Spring 2024",
New Haven Academy,138,Great Schools Partnership,"Spring 2023,Spring 2024","New Haven Academy has an explicit focus on racial equity and student agency. Their curriculum is generally integrated across content areas and asks students to get engaged in their communities. In addition, they are clear about understanding the historical constructs of US culture and how this impacts their students and their learning."
Northside Elementary School,144,Office of Innovation for Education in Arkansas,"Spring 2023,Spring 2024",
Juab High School,105,Utah State Board of Education,"Spring 2023,Spring 2024",
Map Academy Charter School,122,Clayton Christensen Institute and an anonymous organization,"Spring 2023,Spring 2024","Map Academy has developed a flexible learning environment that re-engages at-risk students and puts them on a trajectory to success., MAP Academy has deliberately redesigned high school to support the needs and circumstances of students who have dropped out of conventional schooling. Their courses are online, asynchronous, and competency-based, which makes them flexible to the needs of their students. Nonetheless, their school is located on a physical campus that offers a robust set of academic and non-academic supports., Map Academy uses online learning to make their program flexible to the needs of at-promise youth. They have an innovative approach to tracking student progress and targeting supports for students., Map Academy is an alternative charter high school founded on the belief that every student – no matter what their life circumstances – has unique strengths and the ability to succeed."
Mott Haven Academy,91,TNTP,"Spring 2023,Spring 2024",
Mission Vista High School,132,Next Generation Learning Challenges and an anonymous organization,"Spring 2023,Spring 2024",
New Legacy Charter School,139,"Big Picture Learning, Moonshot EdVentures","Spring 2023,Spring 2024","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
One Stone,150,Clayton Christensen Institute and an anonymous organization,"Spring 2023,Spring 2024",
Norris Academy,141,"Education Reimagined, Institute for Personalized Learning","Spring 2023,Spring 2024",
Noble High School,140,Great Schools Partnership,"Spring 2023,Spring 2024","Designed on the Common Principles of the Coalition of Essential Schools, Noble has created a robust proficiency-based learning system that integrates learning from across content areas and personalizes the learning experience through a system of teaming and house structures. They work tirelessly to hone and refine their instructional practices using data to review success and identify areas in need of further help. In addition, in a rural community, they serve as a key social support for both students and their families, Noble has tightly interwoven proficiency-based learning, student agency, and equity into their learning program.  The school has developed myriad ways to support student learning that ensures equitable outcomes and student choice."
KIPP Academy Lynn Collegiate,109,an anonymous organization,"Spring 2023,Spring 2024","Operating under the KIPP charter network, this high school has made many changes over the past several years – including a shift from a ""no excuses"" school model to one that emphasizes relationship-building. KALC has pushed itself in recent years not to simply define success as pushing its students to obtain a four-year degree, but also building relationships with students so that each individual is equipped with the skills to choose their own pathway, opening doors to transferable skills and enabling students to make informed choices for their futures. Additionally, the school has intentionally pivoted to hire more leadership of color and incorporate more racial justice practices in both their professional learning and curriculum."
SEEQS: the School for Examining Essential Questions of Sustainability,180,NewSchools Venture Fund and an anonymous organization,"Spring 2023,Spring 2024","SEEQS students spend 2 hours daily on yearlong interdisciplinary projects focused on ""essential questions of sustainability."" Students engage in portfolio defenses, student-led conferences, and multi-age classrooms. They also focus on student agency via democratic decision-making processes. They currently operate one school and will be launching their second school this fall."
Solar Preparatory School for Girls,191,NewSchools Venture Fund and multiple anonymous organizations,"Spring 2023,Spring 2024","Solar prep for girls continues to be a flagship model for stem education with young women. A part of DISD, Solar Prep for Girls continues to demonstrate minimal racial or socioeconomic gaps (academic and SEL) for the students and the community they are serving. Centering on deep teacher prep and community - this school is one that districts across the country will turn to as an exemplar model. , Our vision is to prepare girls for success in a challenging, nurturing, and inclusive performance-based learning environment. "
Social Justice Humanitas Academy,189,"Education Evolving, Center for Teaching Quality, Transcend","Spring 2023,Spring 2024","98% students of color. Peer to peer mentorships. Culturally responsive curriculum and instruction. Partnership with EduCare to prepare 9th graders for high school, intentional and explicit identity development, student and parent voice in everyday school operations."
Red Bank Elementary,167,South Carolina Department of Education Office of Personalized Learning,"Spring 2023,Spring 2024",
Purdue Polytechnic High School - Englewood,165,an anonymous organization,"Spring 2023,Spring 2024","We provide real-world experiences that are free of classroom boundaries. Our students are exposed to a variety of industries and experiences that give them the opportunity to explore their interests and discover their passions. They engage in work-based learning opportunities and hands-on projects that solve real-world problems in their communities., The PPHS Lab high school uses state funding and operates in partnership with industry and community members. Their growth plans include scaling to serve 40 students in 2024-2025, with the intention of replicating upon demonstrating model efficacy and viability. "
Rooted School,172,"YouthForce Nola, Rooted School Foundation, NewSchools Venture Fund and an anonymous organization","Spring 2023,Spring 2024","Rooted School’s curriculum, pedagogy, programmatic offerings and school environment are all characterized by constant innovation and alignment to the school’s unique mission of closing the 228 year racial wealth gap and providing all students a personal pathway to financial freedom. The opportunities provided to Rooted students often do not exist at other schools, or they are limited to few participants. Rooted believes that all students should have equal access to programs that lead to financial independence. 
 

 1. 100% of Rooted School students are enrolled in technology-centered courses that are oriented towards students earning Industry Based Credentials. Students have the option take classes in 3D-printing, Adobe Illustrator and Photoshop, Unity Virtual Video Game Design, Comp TIA+, and others. Students can earn up to 8 industry based credentials during their time at Rooted. 
 

 2. Students participate in self-directed learning and project based learning in all classes. Self-directed learning modules give students the opportunity to move at their own pace, and for teachers to provide students individualized instruction. Students also practice time-management skills. Project based learning experiences mimic the types of challenges and projects students will experience once they graduate. 
 

 3. Rooted School uses a competency based grading system. Students are graded on their demonstration of mastery of the subject matter, and have the opportunity to resubmit assignments to earn a higher grade. This grading system mimics how students will be expected to approach their tasks once in a career. 
 

 4. Students apply the knowledge they learn in their technology courses to internal and external internships. Internal internships include a digital media internship and IT help desk internship. Students get paid to use the skills they learned in their courses, while also preparing for their future career. 
 

 5. Rooted School is facilitating a direct-cash transfer program in collaboration with the Center for Guaranteed Income Research at the University of Pennsylvania. During the 22-23 school year, 88 students will participate in a Randomized Controlled Trial in which 44 students in a treatment group will receive $50/week for 40 weeks. The UPenn team will evaluate the impact of the cash transfers on students’ perceived financial wellbeing, attendance, and academic achievement. This program seeks to explore the structures that schools can implement that advance equity, as well as students’ well-being. The results of this study will open the door to conversations regarding larger policy and budgetary shifts within education., We exist to see our students academically prepared and financially free. Some students will arrive at financial freedom with a college next to their name, others without. Our job is not to decide how they will get there but to provide them with the options to get there. We teach students how to learn in an ever-changing world, develop their skills in the most in-demand job sectors and create technology that is transformational. Our first school offers opportunities for students across the digital sector. Many students will graduate with highly sought-after jobs in technology—paying well above the local living wage. Many students will go on to college with a sense of purpose and a relevant context for being there. All will leave with a job offer in one hand and a college acceptance letter in the other., Rooted School New Orleans stands out in how it reimagines the purpose, instructional core, and structure of 'school' by prioritizing equity and student-centered learning. It combines a rigorous academic program that offers college and career readiness, including the opportunity to earn an associate's degree and industry-based certifications. The small school size fosters a student-centered and equity-focused culture, with a strong emphasis on mental health support for all students. Additionally, its recent relocation to the Southern University of New Orleans campus provides students with access to college-level courses, further advancing equity and preparing students for success after high school."
Wheeling High School,225,Illinois State Board of Education,"Spring 2023,Spring 2024",
TRIO Wolf Creek Distance Learning Charter School,208,"Evergreen Education Group, TRIO Wolf Creek Distance Learning Charter School","Spring 2023,Spring 2024","Wolf Creek Online High School has been a leader in creating high quality, equitable curriculum options for over twenty years for students. In this time of growing virtual needs many are looking for models of course design, personalization and relationship building in a virtual world, Wolf Creek provides just this to many in our community."
Blue Valley Center for Advanced Professional Studies (CAPS),247,Getting Smart,"Spring 2023,Spring 2024","CAPS applies a learning ecosystem approach that enable students to explore career pathways and engage in real-world projects that prepare them for life after high school. They are an example of how business, community, and public education can partner together. "
Urban Montessori Charter School,212,Rogers Family Foundation,"Spring 2023,Spring 2024","Oakland's only tuition-free public Montessori school, TK-8. Multi-age classrooms, two teachers in every room, expanded learning opportunities, and an in-house Montessori training program creating a career ladder for existing staff."
Virtual Learning Academy,234,Clayton Christensen Institute,"Spring 2023,Spring 2024",
Taos Academy Charter School,201,Evergreen Education Group,"Spring 2023,Spring 2024",
Two Rivers Public Charter School: 4th Street Campus,209,"EdSurge, Center on Reinventing Public Education","Spring 2023,Spring 2024","Two Rivers PCS is a notable example of project-based learning, personalization, deeper learning, and innovative assessment."
The Academy of Advanced Learning,3,an anonymous organization,"Spring 2023,Spring 2024","A team of dedicated teachers and leaders, working in a high performance and caring culture, maintains an intense focus on academic achievement and performance outcomes. Students find success and are engaged through personalized learning, which allows students to work at their own pace and learn in a way more suited to their strengths. We hold high expectations for students and staff and believe everyone can create their future."
Blessed Sacrament Catholic School,246,Alliance for Catholic Education,"Spring 2023,Spring 2024",
USC Hybrid High College Prep,64,"Transcend, Charter School Growth Fund","Spring 2023,Spring 2024",
Waimea Canyon Middle School,218,an anonymous organization,"Spring 2023,Spring 2024",
5280 High School,236,Colorado Education Initiative,"Spring 2023,Spring 2024",
ACE Leadership High School,237,Future Focused Education,"Spring 2023,Spring 2024","Uniquely designed on three pillars (learning by doing, community/industry engagement, and 360-degree student support"
International High School at Langley Park,291,Springpoint Schools,"Spring 2023,Spring 2024",
Iowa BIG,293,Education Reimagined,"Spring 2023,Spring 2024",
Highlands Micro School,284,Education Reimagined,"Spring 2023,Spring 2024",
Escuela Verde,270,Education Evolving,"Spring 2023,Spring 2024",
Embark Education,266,"Moonshot EdVentures, Education Reimagined","Spring 2023,Spring 2024",
Community of Saints Regional Catholic School,253,Alliance for Catholic Education,"Spring 2023,Spring 2024",
Happy Hollow Elementary School,279,Office of Innovation for Education in Arkansas,"Spring 2023,Spring 2024",
Intrinsic Charter School,292,Transcend,"Spring 2023,Spring 2024","Intrinsic is a network of public charter schools - open enrollment, no testing required - that combines technology with great teaching to provide every student a personalized path to college and career. In order to better prepare students for postsecondary success, Intrinsic takes a more comprehensive approach to understanding students’ growth and progress, which includes agency outcomes in addition to academic ones. Personalization and independence is achieved via a holistic, 1:1 application of technology, which empowers team-teaching in flexible, data-driven classrooms—called pods—where 60 students supported by three teachers may be moving from self-directed work to instruction to collaboration and project-based learning.
"
Durango Big Picture High School,262,Big Picture Learning,"Spring 2023,Spring 2024","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Environmental Charter School,268,Duquesne University School of Education,"Spring 2023,Spring 2024","Environmental Charter School strives to incorporate the United Nations Sustainable Development Goals (UNSDG) in its work, teachings, and activities. With the adoption of the UNSDGs, ECS has laid a modern foundation to continue educating families about sustainability and how to effectively practice it."
City of Bridges High School,251,KnowledgeWorks,"Spring 2023,Spring 2024",
Ottawa High School,330,Kansas State Department of Education,"Spring 2023,Spring 2024",
R5 High School,340,Colorado Education Initiative,"Spring 2023,Spring 2024",
Paulo Freire Freedom School -Downtown,333,CITY Center for Collaborative Learning,"Spring 2023,Spring 2024",
Matchbook Learning at Wendell Phillips,308,The Learning Accelerator,"Spring 2023,Spring 2024",
Living School,303,The Learning Accelerator,"Spring 2023,Spring 2024","Living School cultivates equity by nurturing students to do work that improves their lives, communities, and environment through holistic health, citizenship, & entrepreneurship."
Lincoln Middle School (AR),302,Office of Innovation for Education in Arkansas,"Spring 2023,Spring 2024",
Saint John Paul II,345,Alliance for Catholic Education,"Spring 2023,Spring 2024",
Northeast Academy for Aerospace and Advanced Technologies,323,Open Way Learning,"Spring 2023,Spring 2024",
San Diego Met High School,346,Big Picture Learning,"Spring 2023,Spring 2024","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Pathways High,332,Mastery Transcript Consortium and an anonymous organization,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
NuVu Innovation School,325,Getting Smart,"Spring 2023,Spring 2024",
Nipmuc Regional High School,319,The Learning Accelerator,"Spring 2023,Spring 2024",This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Science Leadership Academy,348,Getting Smart,"Spring 2023,Spring 2024",
Newburgh Free Academy West,318,Big Picture Learning,"Spring 2023,Spring 2024","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Achieve Community Charter School,306,an anonymous organization,"Spring 2023,Spring 2024",
Nashville Big Picture High School,312,Big Picture Learning,"Spring 2023,Spring 2024","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Verdi EcoSchool,368,Education Reimagined,"Spring 2023,Spring 2024","This school stands out as a learning environment that combines core instruction with place-based education structures, the value of the natural environment, and innovation toward equity and justice., The Eau Gallie Arts District is our campus and our interdisciplinary program seeks to create an awareness of the ecosystem in which we live, learn and interact. We believe that immersion in outdoor environments offers the ideal setting for a child to develop freely and learn enthusiastically."
Washtenaw Alliance for Virtual Education (WAVE),371,Education Evolving,"Spring 2023,Spring 2024",
Vista Grande Charter High School,369,NACA Inspired Schools Network,"Spring 2023,Spring 2024",
Technology Leadership High School,359,Future Focused Education,"Spring 2023,Spring 2024","Uniquely designed on three pillars (learning by doing, community/industry engagement, and 360-degree student support"
South Bronx Community Charter High School,353,Aurora Institute,"Spring 2023,Spring 2024",
Welte Education Center,372,Colorado Education Initiative,"Spring 2023,Spring 2024",
University Academy Upper School,364,Getting Smart,"Spring 2023,Spring 2024",
The Center for Advanced Research and Technology (CART),360,Transcend,"Spring 2023,Spring 2024",
Southeast Area Technical High School (SEA-TECH),380,Open Way Learning,"Spring 2023,Spring 2024","SEA-TECH takes a unique and impressive approach to the high school experience with an intentional focus on skill development through project based learning, flexible scheduling, and direct collaboration with industry partners. While meeting traditional academic requirements as a district school, SEA-TECH provides every student with the opportunity to receive ""stackable credentials"" and industry certifications through real-world, work-based training, internships and apprenticeships. "
Next STEP High,382,Educate Maine,"Spring 2023,Spring 2024","Their intense focus on relationships along with TRUE community-integrated learning stands out compared to any other program I've witnessed. Students have been a part of co-designing the school from the start and learn/earn credits through real-world projects with local businesses and organizations. The curriculum is adaptive to students needs and the staff put relationships front and center to make sure students feel invested in, cared for, and motivated to succeed., This school exhibits strong partnership between a local youth-serving nonprofit and a public school to promote student voice and agency, mental health and SEL supports by employing community-based professional youth workers through the school district."
Oxford Virtual Academy,383,MiCoOp,"Spring 2023,Spring 2024","Oxford Virtual Academy (OVA) began 10 years ago as a virtual school, but has transformed into a true personalized learning environment that includes virtual, seated, blended, project-based, independent study, dual enrollment courses and more. Some courses use third-party vendor curriculum, but they also create custom courses for students or groups of students. The school has a drop-in learning space and offers courses with community partners.   OVA has a high level of academic rigor and requires 24 credits to graduate, but they offer many options for students to get there (i.e., multiple pathways to graduation). As Janet would describe, they are like the super highway to graduation because they offer the tools and capacity for students to choose their path and pace to graduation. Their student body is made up of students from different ethnic, socio-economic, and academic levels, yet each receives a personalized program to fit their needs. For example, traditionally homeschooled students may choose to enroll with OVA because they still have control over their learning with support from certified teachers. Students who want more rigor than the traditional school enroll to move ahead faster. The school has partnerships with foster care and court programs where they provide the path for those students to continue their education. One student may take courses from three different vendors while another is taking two online courses, two college courses, an art course at a local community partner, and getting credit for a job through a work-based program.   I am always amazed at the perseverance and commitment they have for each individual student. Whether a student is in kindergarten or 10th grade, they don�t have to fit into the school�s box for learning. They can create their own path with the support from OVA�s administrators, counselors, teachers, and mentors. "
