"nominator","school_id","year","nominator_reason_n"
"Moonshot EdVentures",11,2021,"Entrepreneurial curriculum; students have to have owned and operated a business before graduating in 8th grade; spends time on financial literacy"
"Anonymous",12,2019,"Focus on blended learning; part of high-quality charter network with proven results"
"Anonymous",13,2019,"Deep understanding of the science of learning drives practice; focus on relationships; excellent use of data to understanding each child's precise learning strengths and needs; eye towards exporting its learning for broader impact"
"Building Blocks Education",14,2019,"This school, in a very short period of time, has gone from providing traditional, teacher-centered instruction to empowering students to exercise agency in almost every aspect of their learning.  Students in every classroom (1) analyze their formative assessment data to determine what to work on, (2) set short-term goals to prioritize their work, (3) choose the resources and activities they use for learning, and (4) use formative assessments to determine when they're ready to move forward.  What stands out about this school's model is that students don't just make a few arbitrary choices, but exercise real agency in all of the meaningful aspects of their learning from start to finish.  Teachers have truly shifted their roles from telling students what to learn and how to learn it, to helping students drive their own learning.  Finally, the school has made rapid progress in implementing their model by setting consistent expectations for all teachers and providing school-wide professional development.  I'm excited to nominate this school because they show it's possible to transform instruction across an entire school in a short period of time."
"Education Evolving",15,2019,"Although Avalon's student body is not racially diverse, the schools attracts many students who were looking for a school environment that supports their well-being (100% of parents and 97% of students say Avalon is a safe and a positive learning environment, and many students are from the LGBT community). They also serve a high needs population, with 36% of Avalon students identified as special education.  Avalon uses a teacher cooperative model. Their teacher team has autonomy in all 15 potential areas and their board has a teacher majority.   The Avalon teacher team chooses to use a self-directed project-based learning program and 360-degree teacher evaluation. They have have very low teacher turnover rates (5.3%). They also take seriously the notion of educating the whole child, and along with traditional assessments use the Hope Survey to assess students' non-academic outcomes, such as self-efficacy, optimism, and problem-solving ability, so the teacher team can evaluate what areas of school design the team needs to adjust in order to better help its students improve these outcomes.  The teacher team believes it is important to model collaborative leadership to their students and therefore decided to make the student body a voting branch of the school government, with students passing bills (for example, on acceptable cell phone and school attendance policies). Teachers secure autonomy via: charter school contract and school bylaws."
"EdVisions",15,2019,"Very innovative personalized approach to learning.  No set courses, entirely project-based and experiential. Teacher-run. Student safety is priority. Social justice focus."
"Center for Teaching Quality (CTQ)",15,2019,"This is a long-standing teacher-powered school that serves many students who may have a difficult time in traditional school settings. They get amazing student outcomes and focus on the individual learning and social-emotional needs of students."
"Education Reimagined",15,2019,"Avalon serves a high percentage of learners with special needs or IEPs (nearly 30%), and has also become an informal hub for young people who are wrestling with gender or sexual identity issues. It is a teacher-powered charter school that serves middle and high schoolers. It has a commitment to flexible staffing and deep professional learning among staff to better serve the needs of its learners. They are competency-based, allowing learners to identify and develop projects that meet their interests. They are also committed to allowing learners to develop agency and ownership of their learning, accounting for this transition on the part of learners who may take months to settle in, but then accelerate into their competency-based program to complete on time. Allowing fluidity by not having grades (freshman, junior, senior) makes this more possible. The school does a lot to expand the universe for learners, making connections in person and virtually to people who can help learners with projects. Learners develop a real sense of project development, pacing, time management and self-reliance through this process."
"Anonymous",16,2019,"The school's mission is to help create growth, both academically and emotionally. This is important for their goal of creating citizens of an equitable, democratic society. The school is focused on arts education and arts integration, and also includes a focus on personalization, and """"habits of mind and heart"""".  The school also mentions social justice as an important theme across the school. Personalization happens through personal relationships with teachers and other students, self-reflection, student choice, demonstrations of mastery (rather than grades), and the role of the teacher (as a coach rather than a """"sage on the stage""""). """"Habits of mind and heart"""" are """"critical thinking, mindfulness, compassion, reflection, connection, responsibility, communication, quality, resiliency, joy, integrity, inspiration, and creativity."""" Students are regularly asked to reflect on these qualities, even within class assignments.  "
"Springpoint Schools",17,2021,"Aveson Global Leadership Academy is a tuition-free charter school that employs a very thorough mastery approach, while focusing on personalization and projects. Serving students in grades 6 through 12, the school embodies the core principles of rigor, relevance, and relationships.Â   Students graduate from AGLA having built a resume of academic success, social entrepreneurial experiences, and healthy living practices. These achievements are accomplished through a Mastery Learning Portfolio (MLP) complemented by a highly supportive advisory system within a democratic learning community. AGLA has iterated on their model and deeplyÂ values student voice, offering explicit opportunities for student agency. Student led-conferences are one manifestation of this. Adults not only support students to prepare, but link the school's communications competencies to student-led conferences. At AGLA, educators understand the deep relationshipÂ between mastery and student agency.  The school has been doingÂ competency-based learning for many years and has a mature set of competencies. AGLA develops a personalized learning plan for each student, and they utilize teachers (called Academic Advisors) and paraprofessionals (called Project Managers) in unique ways. Adults track data on every student, including student progress, as well as interestÂ areas and supports theyÂ have received.outcome tracker.Â As well, there are regular celebrations when students reach key milestones, including formative and summative celebrations of learning and anÂ interdisciplinaryÂ capstone project.Â They focus on mastery, use of rubrics, student agency, and peer-to-peer assessment."
"Educurious",18,2019,"This is a fully development STEM Project-Based Learning school.  Students drive their own questions and work on complex engineering designs.  They are a 1-1 school using technology in robust and effective ways."
"Highlander Institute",19,2019,"As a Lighthouse School, Barrington Middle School is enhancing its practices around personalization and developing transformational learning opportunities that occur at the intersection of: deeper learning, experiential learning, and project-based learning. The school is committed to making explicit connections between classroom learning and the application of that learning beyond school walls. Barrington has taken on the responsibility to prepare students to be contributing successful global citizens, who also have strong academic knowledge for success.  Barrington Middle School students go deep in their learning and apply it to authentic problems and real-world situations using deeper learning competencies that push students' to: Master core academic content, think critically and solve complex problems, work collaboratively, communicate effectively, learn how to learn, and develop academic mindsets. Experiential learning at Barrington provides guaranteed learning opportunities in all grades and classrooms in which students can demonstrate, apply, and transfer their knowledge and skills across content and setting. Students are given opportunities to engage in self-directed project-based learning that allows them to describe what and why they are learning, track and improve their progress, and connect their learning outside of the classroom. For example, students develop products and business plans to pitch to the community in a shark tank setting, or research areas of interest and report their findings and calls to action to authentic audiences."
"EdTech Specialists, LLC",20,2019,"The Homeschool Partnership is leading the way the entire district addresses personalization.  Their attention to engaging the community in education their students while providing individual attention to students and their families is a model that is changing education in the Gull Lake Community Schools and across the state of Michigan.  It has led the district to developing a self-directed learning model that will go district wide."
"EdTech Specialists, LLC",21,2019,"Berrien Springs established its virtual school over 10 years ago.  Over the 10 years, they have reached out statewide to provide infrastructures that meet the needs of students who otherwise would not have the opportunities for alternative ways to learn.  Their philosophy is to build programs around the student rather than the other way around.  Their attention to the social emotional needs of students is evident in the priority they have made to have social workers on staff for student needs.  "
"Barr Foundation",22,2023,"Proficiency based learning
Social and emotional learning
Advisory
Public presentations and portfolio
Community improvement projects
Culturally responsive practices"
"Global Teaching Project",23,2019,"The Advanced Placement (AP) Access Pilot Program is an innovative and first-of-its-kind blended learning program that provides promising high school students access to the advanced coursework they need to achieve their full potential, but which rural, underserved schools such as Booneville High School otherwise could not offer due to limited resources and a chronic, and worsening, shortage of qualified teachers. With the support of the Global Teaching Project, the Pilot Program provides comprehensive, wraparound services to students and teachers, including access to world-renowned subject matter experts, such as Yale University Physics Professor Meg Urry, as well as college-student tutors from leading institutions including MIT, Stanford, Yale, and Virginia, enabling Booneville High School to leverage its existing resources to provide advanced courses to bright, but underserved students.  In addition to these unique human resources, the blended model also provides students the opportunity to participate in intensive, residential preparatory programs throughout the year at local MS-based universities including the University of Mississippi and Mississippi State University. The Global Teaching Project is excited to nominate Booneville High School because of the tremendous efforts it is undertaking to provide historically underserved students access to AP courses. Notwithstanding Booneville's significant challenges, the blended learning model has made remarkable initial progress: classroom teachers are engaged and gaining both substantive and pedagogical experience; students are tackling rigorous subject matter (AP Physics 1 is the program's inaugural course) with initial performance data showing promising results; and, perhaps most importantly, students are beginning to reimagine themselves as part of a high-achieving, academically ambitious cohort.  As the model expands and continues to improve, the program will help to develop and prepare a pipeline of talented, high-achieving students from Mississippi's most rural and impoverished districts for post-secondary success."
"Education Evolving",24,2021,"Mission and Vision: Boston Day and Evening Academy re-engages off-track students in their education preparing them for high school graduation, post-secondary success and meaningful participation in their community. Boston Day and Evening Academy will continue to be an innovative leader in student-centered education for off-track learners. Highlights: Competency Based Education-  The primary--and the crucial difference between a competency-based system of teaching and assessment and a traditional model, is that students begin a learning pathway (traditionally referred to as middle school or high school) based on assessed skill level in each content area, and not on arbitrary placement in grades (based on age). Each content area (i.e. Humanities, Math, Science, Technology) is divided into modules, which correspond to an academic semester, quarter, or trimester (see ROADMAP). After being assessed for their knowledge in each content area, students are placed into the module which puts them at their """"learning edge"""" i.e. challenging, but not overwhelming. Students progress from module to module in each content area, based on their ability to demonstrate mastery in each area, independently and multiple times. Once they meet the assigned benchmarks in each module, they become """"competent"""", and move on to the next module. If they finish a trimester without demonstrating competency in an area, they repeat that module--and that module only--while moving ahead in other content areas. Innovative Teaching Practices In addition to using competency-based teaching and assessment practices to drive the curriculum and inform the learning that takes place at BDEA, faculty are constantly embracing new forms of teaching that address the student-centered nature of their work. Blended Learning- We are thoughtful about how we are using technology to enhance learning, and hear from students that they need a balance of technology and personalized, teacher-led instruction.  Our approach has been to create a blended learning model that combines a variety of options including online courses, as well as technology-supported classes enhanced by the use of iPads, Smartboards and computers.  We have a Personalized Online Learning Lab (POLL) where students can catch up on classroom work or accelerate their progress through classes. But the bottom line is always having teachers available for support, direction, and conversation. Experiential Learning- For over a decade, BDEA has included Project Month as a way of turning all classes """"experiential"""", and giving students--and teachers--an opportunity to collaborate on projects that become an enduring part of the whole-school community.  One year, one of the projects turned an abandoned community clubhouse into a solar powered, hydroponic greenhouse. Another year, students engaged with the """"Occupy Boston"""" movement and recreated the experience of tent living, media coverage, and the genesis of the Arab Spring in a series of connecting classrooms at the school.   Active Learning- Active Learning takes many forms, from the expected inclusion of physical fitness into the everyday experience of our staff and students, to the authentic learning experience that results from theatrical movement classes taught by valued partners Actors' Shakespeare Project.   Our partners at Project Adventure helped us to understand and incorporate important aspects of """"active"""" learning into our teaching practice, coaching students to physically """"move through"""" diagrams  instead of writing them on a whiteboard, and to use space rather than fill it."
"reDesign",25,2019,"Asynchronous model with teachers playing a mentor role"
"LLC",25,2019,"This is a school for at-promise youth in NYC. The model is competency-based, blended-learning, highly personalized, and a highly unusual school design. Their students enter the school overage and under-credited, and despite this, 80+% of the graduating class enrolls in college, and of this group, 80% of students persist beyond the freshman year. "
"Springpoint",25,2019,NA
"Anonymous",25,2019,"Bronx Arena High School is a transfer school serving over-age, under-credited students. The school is a collaboration between the Department of Education and SCO Family Services, a social service agency that provides social and emotional support, as well as college counseling. Students are paired with """"advocate counselors"""" from SCO Family Services. Students work through a web-based mastery system at their own pace, and receive 1:1 and small-group support from teachers in flexible """"arena"""" blocks. Each arena has a generalist teacher and an advocate counselor, both of whom support students academically and personally throughout the day. Students also work with content specialists, who push in during the day to provide additional one-on-one or small group instruction in particular areas. Generalists and content specialists collaborate closely and analyze data to ensure all students are receiving the supports they need to be successful. The school combines online learning with face-to-face instruction in a method pioneered by Principal Ty Cesene at an alternative school in El Segundo, California. Bronx Arena develops its curriculum materials in-house, through a rigorous faculty review process. Technology components, specifically a custom-built data system accessible to students and staff at all times, create a personalized experience where students work at their own pace, mastering the skills needed to succeed in the 21st century. Students track their own productivity and work toward completing five learning tasks per day. To receive credit for a course, students must demonstrate mastery by completing two challenges and a capstone project. Students complete senior portfolios on a topic of their choice that represents a culmination of their learning."
"Colorado Education Initiative",26,2022,"Canon City High School offers the most compelling set of coherent, aligned career connected learning experiences to the students it serves that I have ever seen. Starting with robust career pathways which are core-curriculum aligned, to the comprehensive career and technical education program which results in 100s of industry certifications, to the P-TECH program, where students graduate with both a high school and associates degree, to the internship program, in which every student participates, to the """"Capstone for All"""" graduation requirement - where every student demonstrates competence in the Canon City """"Skills and Traits"""" graduate profile.  There is even a """"school within a school"""" Open Pathway for students who don't connect with the offered career pathways. This is the most complete, most equitable, and more authentic district school experience I know of."
"Great Schools Partnership",27,2021,"Casco Bay has tied together project-based learning using an EL model with proficiency-based learning in an environment that is extremely student centered. Students are known as individuals and while there are common learning expectations for all students, teachers work to build upon each student's skills and capacities. Students learn agency along with deep content and skills"
"Next Generation Learning Challenges",27,2021,"Casco Bay is a wonderful example of a school creating its own successful version of a very successful national school and learning template -- the EL Schools model. It is a district school, not a charter, in the Portland public schools and so is subject to all of the same regulations, policies, and contracts that all regular public schools are subject to. And yet the experience its students have at Casco Bay is very different than the """"normal"""" experience most kids have in schools these days. Casco Bay, like all EL schools, is very deeply experiential and project-based -- most learning is connected to some form of authentic purpose. It has done exceptional work in thinking about and designing ways to gauge student growth across a number of dimensions not normally on the radar in public schools. It is doing all of this work with a student body that -- while it has opted into the school -- reflects much of the diversity, complexity, and challenges  that many public schools must address right now. We have brought teams of educators to Casco Bay many times over the past five years and these educators routinely leave feeling inspired and with a whole new view of what schools can be. A video of Casco Bay's community grappling, in typically student-led ways, with a racist incident was featured in our recent virtual film festival, This Is Our Chance. See """"Walking in Solidarity"""" on this page of the festival site: https://our-chance.com/week-1/."
"Anonymous",28,2023,"Students have the opportunity to choose career pathways."
"Highlander Institute",29,2019,"Central Elementary School is located in the heart of the Lime Rock neighborhood of Lincoln, RI with approximately 375 students in grades kindergarten through grade 5.   Over the past three years, Central has implemented a school-wide blended learning approach to their teaching and learning. Focusing on a station rotation model in grades K-3 and mixture of a flex/station model in grades 4-5.  There are three components that drive the work at Central;  data-driven instruction, differentiation, and school culture,   Data-driven Instruction: Every teacher has been trained in and uses formative assessment to develop their lessons.  Teachers use a family of measures to guide their instructions: such-as exit tickets, anecdotal evidence, and student work samples.   Differentiation:  Teachers use a flexible grouping process determined by student classroom data to differentiate the learning environment for their students.  Station rotations allow students to personalize their learning and have a choice in the pace of their learning.  These stations are teacher-led, student-led, and include independent learning opportunities, affording students multiple pathways for success.  They meet as a whole group for broad concept instruction, in small group with the teacher or 1:1 with support personnel for more intensive instruction, and work independently applying their learning.  School Culture: The culture of Central Elementary is purposefully designed and developed by a team of teachers, the school psychologist, and the principal.  A Positive Behavior Intervention Support (PBIS) team meets monthly to monitor and guide the school culture of respect, responsibility, and safety to self and others.  Monthly assemblies are held that celebrate student successes.  A Growth Mindset Culture has been adopted throughout the school and in the classrooms to promote student growth through perseverance, application, and rich learning experience   "
"Building Blocks Education",30,2019,"Charles Eliot School adopted a """"personalized learning"""" instructional model that gives students full control over the core aspects of their learning - what they learn, how they learn it, and when they are ready to move forward. Teachers' primary roles have shifted from serving as the source of all knowledge to serving as academic coaches who help students determine their own, individual pathways to mastering the standards and guide them along the way. Students have gone from learning passively (or not learning at all) to taking full responsibility for their learning and ownership of their outcomes.  Students (1) use their assessment data to determine which standard to work on, (2) set a short-term goal to master the standard, (3) select the resources, activities and people they think will best help them reach mastery, and (4) use formative assessments to determine when move on.  This school stands out because they've committed 100% to a school-wide transformation to student-driven learning.  As a result, teachers have fully invested in the change and have made dramatic progress in a short period of time.  "
"Anonymous",31,2019,NA
"A Revolution in Education",32,2024,"The school is committed to adopting and modeling a habit of innovation, keeping the changing needs of students at the forefront of all decisions related to curriculum, programs, and policies. It has a student-centered focus on the whole child, with learning personalized to each student's needs and opportunities for real-world experiences.  One of their signature practices are Quests, which challenge-based courses and projects, which are interdisciplinary and enable students to discuss and collaboratively develop solutions for real-world challenges. These Quests provide students with exposure to current events, history, science content, math, literacy skills, and valuable life skills. Their high school is also creating professional learning opportunities through internships and client projects.  The school's program is highly individualized, allowing students to pursue their interests."
"South Carolina Department of Education - Office of Personalized Learning",33,2019,"Chastain Road has embraced student-centered learning by allowing teachers the freedom to embrace the research based practices that best support the needs of the school.  The school is truly a professional learning community, where the adults are continuously seeking to find ways to ensure ALL students are empowered and engaged.  There is a strong sense of culture at Chastain Road.  The leadership of the school provides a transparent model to allow teachers to experiment with support.  "
"Center for Teaching Quality (CTQ)",34,2019,"Childersburg Middle School is a PBL school that focuses on STEAM and technology integration. They are in a """"traditional"""" district, yet implementing an innovative student-centered learning model - proving that this CAN be done within a district model. They serve a diverse student population."
"Next Gen Learning Challenges",35,2019,"West Belden has pursued a path towards high-expectations whole-child development for the past five years, with exemplary results. They are working with a challenging urban school population (K-8), and have put into place a deeply personalized approach that builds on knowing each child deeply and enabling increasing degrees of agency among the students, helping them develop a broad set of competencies. They are very articulate on how they have worked with the staff to co-develop this model, across three cohorts of teachers. Colleen Collins gave us an important lesson from her work there as principal: """"everyone needs to feel that they're part of the pilot."""" Meaning: initially the school worked deeply with its first cohort to co-develop the model, and then did the same with the second cohort; when it came time to bring the third cohort into the work, those teachers were told to watch the other cohorts and """"do what they do."""" That strategy produced some pushback from those teachers and convinced Colleen and other school leaders that in fact, it is crucial in designing and implementing agency-driven learning models to make sure that the adults are all experiencing the same kind of agency-driven culture. Later cohorts of teachers can't simply be asked to implement; they must be invited to co-create as much as earlier cohorts, even as they also are able to build on the work of those cohorts. This is a crucial lesson for the field. The change processes and the professional culture of teachers must mirror the 21st-century goals and learning strategies that we are all holding for students."
"Anonymous",36,2019,"The commitment to student-centered blended learning for all students!"
"Charter School Growth Fund",37,2019,"CWC offers a compelling academic and character development model that has produced high academic outcomes for their students. Diversity of their students is at the center of their student culture and academic model design, and CWC is one of the few networks their size that has a director of DEI focusing on this work full-time. This model allows students to form meaningful relationships with students from other races, cultures, and backgrounds. CWC has developed graduate dispositions that are integrated in their academic instructions to help students become aware of their identity and develop their social and emotional skills. "
"Education Reimagined",38,2019,"Montessori is a well-established and relatively well-known model. However, it has generally always been available mostly to affluent families and communities. City Garden is attempting to be a leader in making this highly successful, highly learner-centered model available to learners from historically disadvantaged backgrounds. They have done amazing work in building an anti-bias, anti-racist curriculum that allows them to better serve a diverse population of learners, while not losing the central elements of Montessori education: multi-age classrooms, developmentally-appropriate materials and teaching strategies, following the learner. This is one school I have not yet visited, so there are elements of the program I do not know. Therefore, what I select below are not necessarily reflective the broad range of work going on at the school."
"Team Digital",39,2019,"Clarendon has the intention of starting a Virtual School for the purpose of recapturing students that have left the district for other options (private school, etc). The plan is to provide a more personalized learning path for current students through Ala Carte model. They would also like to help teachers start developing their own content to put into an LMS (Canvas). Some of our successes include students creating their own websites to demonstrate their learning, effective social media campaigns, and teachers using Learning Management Systems like Google classroom. They have implemented station rotations and flipped classrooms and are operating on a Flex Mod Schedule which usually included one flexible day of schedule. Students will be able to learn at their own pace using enriched virtual learning. They have established an advisory period to teach personal competencies, embedded courses, concurrent courses, additional CTE (Career Technology Education) pathways, a mentoring program, and a career coach. The teacher leadership team analyzes classroom walkthrough data and testing data bimonthly. Their goal is to begin implementing Career and College Academies and require a Capstone community service project. They ultimately would like to have three pathways of learning for students - traditional, career-bound, and college bound.  "
"Global Teaching Project",40,2019,"The Advanced Placement (AP) Access Pilot Program is an innovative and first-of-its-kind blended learning program that provides promising high school students access to the advanced coursework they need to achieve their full potential, but which rural, underserved schools such as Coahoma AHS otherwise could not offer due to limited resources and a chronic, and worsening, shortage of qualified teachers.  With the support of the Global Teaching Project, the Pilot Program provides comprehensive, wraparound services to students and teachers, including access to world-renowned subject matter experts, such as Yale University Physics Professor Meg Urry, as well as college-student tutors from leading institutions including MIT, Stanford, Yale, and Virginia, enabling Coahoma AHS to leverage its existing resources to provide advanced courses to bright, but underserved students.  In addition to these unique human resources, the blended model also provides students the opportunity to participate in intensive, residential preparatory programs throughout the year at local MS-based universities including the University of Mississippi and Mississippi State University. The Global Teaching Project is excited to nominate Coahoma AHS because of the tremendous efforts it is undertaking to provide historically underserved students access to AP courses. notwithstanding Coahoma's significant challenges. Coahoma County, in which the school is located, is among the poorest counties in Mississippi. The blended learning model has made remarkable initial progress: classroom teachers are engaged and gaining both substantive and pedagogical experience; students are tackling rigorous subject matter (AP Physics 1 is the program's inaugural course) with initial performance data showing promising results; and, perhaps most importantly, students are beginning to reimagine themselves as part of a high-achieving, academically ambitious cohort.  As the model expands and continues to improve, the program will help to develop and prepare a pipeline of talented, high-achieving students from Mississippi's most rural and impoverished districts for post-secondary success. "
"Anonymous",41,2019,"CodeRVA began as a collaborative effort on the part of Regional Superintendents in Region 1 of Virginia.  This opportunity captures the best and most relevant tech-rich experiences, specifically coding, that can catapult students into meaningful and life-long careers.  "
"228 Accelerator",42,2019,"This school is committed to the learning and development of the most excluded students in the district by provided AP for All, personalized learning, and career academies. The won a Breakthrough Schools grant in 2013 and are a model of continuous improvement and transformative leadership. The campus has both an Early College Program and Dual Immersion. This is the mission of the organization:  All students who graduate from our Dual Language Immersion Early College Campus will be prepared to succeed in college and civic life as leaders in the quest for social justice. We develop intellectually curious scholars who are articulate communicators in two languages, critical thinkers and consumers, cultural ambassadors, and contributing community members. Our students develop positive habits that build physical and mental health. We focus on socio-emotional learning as a key part of the instructional program, and our students demonstrate perseverance, ethics and character in the pursuit of excellence. Restorative practices are the foundation of our school climate, as we enhance relationships and build community. As lifelong learners in the pursuit of excellence and innovation, we foster a growth mindset through which teachers, administrators, students, parents, and community members all collaborate to achieve goals. We trust one another to continually improve our practice."
"Idaho Mastery Education Network - Idaho Department of Education",43,2019,"Columbia High school incorporates instructional design choices that support student-centered learning and equity for all students. This strategic collaborative effort makes mastery education implementation available to students within a cohort learning model where teachers loop with students from grade level to grade level. This assures that learning never ends according to the calendar, but continues along a progression of skills that are transparent to students and teachers.  

Columbia has taken a unique approach as they implement Mastery-based Education in their school.  They are using a project-based, blended learning approach with a very specific gradual release plan.  Student voice and choice is central to their mission.  "
"Anonymous",44,2019,"Charter school located on an urban farm and large city park. Focus on high expectation and equity. Lots of local partnerships that they are in the process of further leveraging to have robust school experiences outside of the classroom walls. Students are deeply involved in their ongoing school iteration."
"EdSurge",45,2019,"They're doing remarkable work bringing elements of play into curriculum in meaningful ways. They're working with MIT's Playful Assessment team to rethink how to measure student growth and partnering with MakerEd to bring making and play to life at their school (https://www.edsurge.com/news/2018-12-11-how-playful-assessment-unseated-standardized-tests-at-one-school). The school has been around for 10 years but recently reopened with a new staff and model."
"Anonymous",45,2019,"The school provides an innovative learning environment, using the arts, to help children in grades six through eight balance individual strengths and developmental needs to develop the whole child intellectually, emotionally, physically and socially. With Choice Theory as our philosophical base, we strive to help students gain more responsibility for their social-emotional lives and in their academics. Seeking to serve students at risk of not succeeding in school, we foster the knowledge, skills, and habits of mind necessary to close student achievement gaps in math and reading literacy and provide a community of engaged learners and participatory citizens."
"Anonymous",46,2024,"Compass Academy supports students in developing academic and social-emotional competencies that provide postsecondary pathway success."
"The Learning Accelerator",47,2021,"The school does a lot with culture. SEL is intertwined in their DNA"
"Center for Artistry and Scholarship",48,2019,"At the core of Conservatory Lab's pioneering curriculum is the hybrid of two proven and exemplary programs: El Sistema and Expeditionary Learning. Both programs emphasize the experience of breaking through barriers in the pursuit of excellence and creating a culture and habit of perseverance. Conservatory Lab provides a unique learning experience that includes daily music instruction, based on the El Sistema approach, for all students PreK-8. Our youngest scholars participate in daily vocal and rhythmic instruction before moving to a stringed instrument in grade one. In fourth grade, some students transition to woodwinds, brass or percussion instruments.  As an EL Education (formerly Expeditionary Learning) school, all students participate in 1-2 expeditions each year. These interdisciplinary units typically lasting 8-12 weeks are grounded in social studies or science content, while building literacy skills and integrating the arts. Students participate in research and field work, collaborate with experts in the field, engage with service learning opportunities, and develop an authentic product, modeled after artifacts from the real world.  Taken together, these two programs motivate and nurture Conservatory Lab's students to become dedicated scholars, compassionate leaders, and skilled musicians.  "
"Tennessee Charter School Center",49,2022,"Project based learning"
"The Learning Accelerator",50,2022,"They have a strong instructional model that individualizes instruction with teachers leveraging tools like playlists, small group instruction, and learner profiles. Incredible job around social-emotional learning and well-being of kids especially in the last couple of years. They are working on performance-based assessments and increasing opportunities for authentic student agency. This school is often used as a showcase site for external visitors to see personalized learning in Dallas ISD in action."
"ReSchool",51,2019,"Created a college program as an extension of their HS programs in response to student and family demand. Started as a 5th year program and now an affordable, personalized way for kids to earn a 4 year degree.

Integration of homeschooling with place-based schooling"
"Anonymous",52,2019,"D-B EXCEL in Kingsport City Schools is re-envisioning the high school experience to offer an alternative for students who are seeking a non-traditional setting. Located separately from the main high school (Dobyns-Bennett High School), D-B EXCEL offers a flexible schedule and an intense focus on blended, personalized learning. Supported by a team of educators, students take online classes that allow them to learn at their own pace and to complete coursework in the evenings or on weekends to accommodate work or extra-curricular schedules. D-B EXCEL engages students in rigorous, standards-aligned instruction with a focus on project-based learning which allows students to demonstrate content mastery through products, performances, or presentations rather than traditional assessments or work products. D-B EXCEL was first envisioned in Spring 2014 and currently serves more than 200 students."
