Nomination ID,Nominator Org,Reason for nominating,Canopy School ID,Publicly disclosable nominator org
Nominator_2020-11_Education Resources Consortium_,Education Resources Consortium,"Eager and energetic. Implementing an Inquiry Tool Kit, interdisciplinary projects and classes, pursuing new alternatives to transitional structures and practices. Beyond ""PBL"", ""competencies"" and ""blended learning""",,Education Resources Consortium
Nominator_2022-11_The Center for Learner Equity_,The Center for Learner Equity,Firstline schools in New Orleans is a charter network of four schools that also houses a specialized program for students who require specific disability-related services. The network's philosophy emphasizes joy and anti-racism. ,,The Center for Learner Equity
Nominator_2023-11_Beloved Community_,Beloved Community,"Mobile Classroom Solutions emerged to serve students with disabilities during and after COVID-19 shut downs. The school offers both small group and individual instruction for neurodivergent learners. I am mostly impressed by how the school founder, Ms. Palmer, maintains a high standard of belief in and expectations for her students. When many school environments are abandoning academics and focusing solely on life skills, she is both enriching their minds (with rigorous instruction and academics), as well as their lives (with self-advocacy, self-awareness and self-love).",,Anonymous
Nominator_2021-12_MiCoOp_,MiCoOp,"In 2019, four Bangor teachers were trained in project-based learning (PBL). These three high school teachers and one middle school teacher not only provide personalized learning for their students on a regular basis but are also a PBL resource for other teachers in the district. This proved beneficial when the district implemented a Project Term at the end of the 2020-21 school year. 

To develop the five-week Project Term schedule, teachers first created a list of potential offerings. Then students “voted” on their top choices, ending with a schedule that would fulfill student needs and wants. Ending the year in this manner motivated both staff and students who had voice and choice for what they wanted to teach or learn. Courses were multi-grade (e.g., 6-8, 9-12) instead of grade level (e.g., 6th ELA), were outcome-based (credit or no credit) rather than standards-based which is used in regular terms, and were nontraditional in the way content was covered. A block format was used so students had longer class periods to work on projects. Because this inaugural Project Term was during COVID, some students chose to complete their courses from home so teachers had fewer students in their classrooms and taught the rest of the class virtually. Students who successfully completed their core courses were able to choose a full schedule of elective classes. 

In addition to credit recovery courses, some courses offered during Project Term included Creating a Personal Budget, Photo Journalism, Fly Fishing, Kitchen Chemistry, Basic Reading and Writing, Art of War: Chess, and ESL Story Tellers. They plan to have Project Term again at the end of 2021-22. By reimagining what ""school"" can look like during Project Term, the staff and students are beginning to see how they can change their school structure to include more PBL throughout the year. ",,MiCoOp
Nominator_2021-12_MiCoOp_,MiCoOp,"Students in the DP Diploma Programme become lifelong learners as they learn to be critical and compassionate thinkers. In the program, students reflect on the question “How do we know?”, write a 4,000-word independent essay paper, and complete a creativity, activity, or service project. Each student prepares a portfolio of their work. This two-year, comprehensive curriculum culminates with an IB Diploma which is recognized by colleges and universities around the world.

All Oxford students are part of the district's IB program from PreK through 10th grade. Oxford's IB Diploma Programme is an option for students in 11th and 12th grade who want to continue with the IB program. (The district has three other high school pathways.) 

The outcome of the program is that students become more internationally minded, take action, and become better leaders and learners. At the elementary schools, fifth-grade students take action through a three-month, collaborative research project, and middle school students take action through a personal project. When visiting the district and talking with their high school students, it is apparent how the IB program is impacting their learning and growth. No matter which pathway the students were in, they were very articulate in answering questions, talked easily to adults, knew their purpose, and had a plan for the next steps in their lives. ",,MiCoOp
Nominator_2022-11_MiCoOp_,MiCoOp,"This program is open to 9th and 10th graders at Niles Community Schools. Student groups work on projects with professionals in the industry. They have co-teachers who facilitate their learning, allowing students to receive credit it multiple subjects. Through an entrepreneurial lens, students master technical and 21st century skills because they are active participants in solving a problem. As a past CTE teacher, I was very excited to see the students in action as they worked with a nonprofit in the community.",,MiCoOp
Nominator_2023-11_Fulton Academy of Science and Technology_,Fulton Academy of Science and Technology,"At FAST we are dedicated to creating life-long autonomous learners. We give our teachers the space to try out new and innovative teaching practices and we all learn together. Our students have the opportunity to engage in critical thinking, collaboration, creative thinking each day through our innovation classes and genius hour programs.",,Fulton Academy of Science and Technology
Nominator_2023-11_Mastery Transcript Consortium_,Mastery Transcript Consortium,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,,Mastery Transcript Consortium
Nominator_2023-11_Mastery Transcript Consortium_,Mastery Transcript Consortium,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,,Mastery Transcript Consortium
Nominator_2021-12_Rogers Family Foundation_,Rogers Family Foundation,"The Oakland Reach (TOR) consistently strives to provide high quality services to TOR families.  During the pandemic, TOR launched the Virtual Hub, which reimagined public education for families that have been consistently denied access to high quality schools due to racist policies and systems.",,Anonymous
Nominator_2021-12_Rogers Family Foundation_,Rogers Family Foundation,"3Ls Academy is a three pronged approach to change literacy outcomes one neighborhood at a time.  3Ls is an innovative model that involves family on every level, including as a teachers.  The goal of 3Ls is to reinvent the cycle of empowerment, instead of allowing illiteracy and inequality to continue dismantling generations to come.",,Rogers Family Foundation
Nominator_2023-11_Transcend_,Transcend,"Build UP is the nation’s first and only early-college workforce development high school to empower youth with the skills and agency to tackle poverty and urban blight. We provide low-income youth with career-ready skills through paid apprenticeships with industry-aligned secondary and postsecondary academic coursework, leading them to become educated, credentialed, and empowered civic leaders, professionals, and homeowners.",,Anonymous
Nominator_2023-11_Throughline Learning_,Throughline Learning,"In SY22, Central Falls School District, Freedom Dreams, and Throughline Learning collaborated to recruit, train, and hire adults from Central Falls to work part-time as mentors, advisors, and school success coaches for 9th graders who were chronically absent and failing multiple courses — with significant results.

After one year, 67% of participating community educators wanted to stay in the field of education due to their project experiences. Participating students reported a 55% increase in their sense of belonging and an 84% increase in their school engagement; and 100% of participating families agreed that community educators were extremely helpful at supporting their child in school.

“A lot of positive changes have happened from my son joining a pod. He is doing academically better, and he also started getting into sports. He's less combative at home. His grades have improved. Having a male figure to talk to and have conversations that he can't always have with me has been amazing.” — Parent of Student Learning Pod Participant, Central Falls",,Throughline Learning
Nominator_2021-12_TNTP_,TNTP,"Vanguard serves a population of students who are majority English language learners and students living in poverty in the Rio Grande Valley and its high schools provide post-secondary educational opportunities to all students, cultivating and preparing students to graduate with a two-year degree, Industry Certification, or college hours from their regional higher education partner: South Texas College. They outpace state averages in outcomes and their students graduate with their AA without having accumulated any college debt. ",,TNTP
Nominator_2019-03_Michigan Virtual_A2 Virtual+ Academy,Michigan Virtual,,1,Anonymous
Nominator_2019-03_Virginia Department of Education_Academies of Hampton,Virginia Department of Education,,2,Anonymous
"Nominator_2019-03_NewSchools Venture Fund_The Academy of Advanced Learning, Academy of Advanced Learning",NewSchools Venture Fund,,"3, 687",Anonymous
"Nominator_2022-11_NewSchools Venture Fund_The Academy of Advanced Learning, Academy of Advanced Learning",NewSchools Venture Fund,"A team of dedicated teachers and leaders, working in a high performance and caring culture, maintains an intense focus on academic achievement and performance outcomes. Students find success and are engaged through personalized learning, which allows students to work at their own pace and learn in a way more suited to their strengths. We hold high expectations for students and staff and believe everyone can create their future.","3, 687",NewSchools Venture Fund
Nominator_2019-03_Public Impact_Albemarle Road Elementary School,Public Impact,,4,Anonymous
Nominator_2019-03_EdTech Specialists_Alpena Career Tech Education Center,EdTech Specialists,,5,EdTech Specialists
Nominator_2019-03_EL Education_Amana Academy,EL Education,,6,EL Education
Nominator_2019-03_Utah State Board of Education_American Academy of Innovation,Utah State Board of Education,,7,Utah State Board of Education
Nominator_2021-12_Mastery Transcript Consortium_American Academy of Innovation,Mastery Transcript Consortium,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.,7,Mastery Transcript Consortium
Nominator_2023-11_Mastery Transcript Consortium_American Academy of Innovation,Mastery Transcript Consortium,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,7,Mastery Transcript Consortium
Nominator_2019-03_ReSchool Colorado_Anastasis Academy,ReSchool Colorado,,8,ReSchool Colorado
Nominator_2019-03_Michigan Department of Education_Armada High School,Michigan Department of Education,,9,Michigan Department of Education
Nominator_2019-03_Throughline Learning_Asa Messer Elementary School,Throughline Learning,,10,Anonymous
Nominator_2019-03_Moonshot EdVentures_Aspen Academy,Moonshot EdVentures,,11,Anonymous
Nominator_2020-08_Moonshot EdVentures_Aspen Academy,Moonshot EdVentures,,11,Moonshot EdVentures
Nominator_2019-03_Bellwether Education Partners_Aspire Richmond Tech,Bellwether Education Partners,,12,Anonymous
Nominator_2019-03_Bellwether Education Partners_Atlanta Speech School,Bellwether Education Partners,,13,Anonymous
Nominator_2019-03_Building Blocks Education_Austin Road Elementary School,Building Blocks Education,,14,Building Blocks Education
Nominator_2019-03_Center for Teaching Quality_Avalon School,Center for Teaching Quality,,15,Center for Teaching Quality
Nominator_2019-03_Education Evolving_Avalon School,Education Evolving,,15,Education Evolving
Nominator_2019-03_Education Reimagined_Avalon School,Education Reimagined,,15,Education Reimagined
Nominator_2019-03_EdVisions_Avalon School,EdVisions,,15,EdVisions
Nominator_2019-03_Populace_Avanti High School,Populace,,16,Anonymous
Nominator_2019-03_PBLWorks_Aveson Global Leadership Academy,PBLWorks,,17,Anonymous
Nominator_2020-11_Springpoint Schools_Aveson Global Leadership Academy,Springpoint Schools,"Aveson Global Leadership Academy is a tuition-free charter school that employs a very thorough mastery approach, while focusing on personalization and projects. Serving students in grades 6 through 12, the school embodies the core principles of rigor, relevance, and relationships.�  Students graduate from AGLA having built a resume of academic success, social entrepreneurial experiences, and healthy living practices. These achievements are accomplished through a Mastery Learning Portfolio (MLP) complemented by a highly supportive advisory system within a democratic learning community. AGLA has iterated on their model and deeply�values student voice, offering explicit opportunities for student agency. Student led-conferences are one manifestation of this. Adults not only support students to prepare, but link the school's communications competencies to student-led conferences. At AGLA, educators understand the deep relationship�between mastery and student agency.  The school has been doing�competency-based learning for many years and has a mature set of competencies. AGLA develops a personalized learning plan for each student, and they utilize teachers (called Academic Advisors) and paraprofessionals (called Project Managers) in unique ways. Adults track data on every student, including student progress, as well as interest�areas and supports they�have received.outcome tracker.�As well, there are regular celebrations when students reach key milestones, including formative and summative celebrations of learning and an�interdisciplinary�capstone project.�They focus on mastery, use of rubrics, student agency, and peer-to-peer assessment.",17,Springpoint Schools
Nominator_2019-03_Educurious_Barbara Morgan STEM Academy,Educurious,,18,Educurious
Nominator_2019-03_Throughline Learning_Barrington Middle School,Throughline Learning,,19,Throughline Learning
Nominator_2019-03_EdTech Specialists_Bedford Homeschool Partnership,EdTech Specialists,,20,EdTech Specialists
Nominator_2019-03_EdTech Specialists_Berrien Springs Virtual School,EdTech Specialists,,21,EdTech Specialists
Nominator_2019-03_Center for Artistry and Scholarship_Blackstone Academy Charter School,Center for Artistry and Scholarship,,22,Center for Artistry and Scholarship
Nominator_2019-03_Great Schools Partnership_Blackstone Academy Charter School,Great Schools Partnership,,22,Great Schools Partnership
Nominator_2022-11_Barr Foundation_Blackstone Academy Charter School,Barr Foundation,"Proficiency based learning
Social and emotional learning
Advisory
Public presentations and portfolio
Community improvement projects
Culturally responsive practices",22,Barr Foundation
Nominator_2020-11_Great Schools Partnership_Blackstone Academy Charter School,Great Schools Partnership,The school is based on the Common Principles from the Coalition of Essential Schools and works purposely to build student agency and understanding within a very student-centered and supportive culture.  They have very strong practices of reaching out to involve families as honest and equal partners in their work.,22,Great Schools Partnership
Nominator_2019-03_Global Teaching Project_Booneville High School,Global Teaching Project,,23,Global Teaching Project
Nominator_2019-03_Clayton Christensen Institute_Boston Day and Evening Academy,Clayton Christensen Institute,,24,Clayton Christensen Institute
Nominator_2019-03_Education First_Boston Day and Evening Academy,Education First,,24,Anonymous
Nominator_2019-03_Jobs for the Future_Boston Day and Evening Academy,Jobs for the Future,,24,Anonymous
Nominator_2020-08_Education Evolving_Boston Day and Evening Academy,Education Evolving,,24,Education Evolving
Nominator_2019-03_Overdeck Family Foundation_Bronx Arena High School,Overdeck Family Foundation,,25,Anonymous
Nominator_2019-03_reDesign_Bronx Arena High School,reDesign,,25,reDesign
Nominator_2019-03_Springpoint Schools_Bronx Arena High School,Springpoint Schools,,25,Springpoint Schools
Nominator_2019-03_Colorado Education Initiative_Canon City High School,Colorado Education Initiative,,26,Anonymous
Nominator_2021-12_Colorado Education Initiative_Canon City High School,Colorado Education Initiative,"Canon City High School offers the most compelling set of coherent, aligned career connected learning experiences to the students it serves that I have ever seen. Starting with robust career pathways which are core-curriculum aligned, to the comprehensive career and technical education program which results in 100s of industry certifications, to the P-TECH program, where students graduate with both a high school and associates degree, to the internship program, in which every student participates, to the ""Capstone for All"" graduation requirement - where every student demonstrates competence in the Canon City ""Skills and Traits"" graduate profile.  There is even a ""school within a school"" Open Pathway for students who don't connect with the offered career pathways. This is the most complete, most equitable, and more authentic district school experience I know of.  ",26,Colorado Education Initiative
Nominator_2020-08_Colorado Education Initiative_Canon City High School,Colorado Education Initiative,,26,Colorado Education Initiative
Nominator_2020-08_iLearn Collaborative_Canon City High School,iLearn Collaborative,,26,iLearn Collaborative
Nominator_2019-03_EL Education_Casco Bay High School,EL Education,,27,EL Education
Nominator_2019-03_Great Schools Partnership_Casco Bay High School,Great Schools Partnership,,27,Great Schools Partnership
Nominator_2020-11_Next Generation Learning Challenges_Casco Bay High School,Next Generation Learning Challenges,"Casco Bay is a wonderful example of a school creating its own successful version of a very successful national school and learning template -- the EL Schools model. It is a district school, not a charter, in the Portland public schools and so is subject to all of the same regulations, policies, and contracts that all regular public schools are subject to. And yet the experience its students have at Casco Bay is very different than the ""normal"" experience most kids have in schools these days. Casco Bay, like all EL schools, is very deeply experiential and project-based -- most learning is connected to some form of authentic purpose. It has done exceptional work in thinking about and designing ways to gauge student growth across a number of dimensions not normally on the radar in public schools. It is doing all of this work with a student body that -- while it has opted into the school -- reflects much of the diversity, complexity, and challenges  that many public schools must address right now. We have brought teams of educators to Casco Bay many times over the past five years and these educators routinely leave feeling inspired and with a whole new view of what schools can be. A video of Casco Bay's community grappling, in typically student-led ways, with a racist incident was featured in our recent virtual film festival, This Is Our Chance. See ""Walking in Solidarity"" on this page of the festival site: https://our-chance.com/week-1/.",27,Next Generation Learning Challenges
Nominator_2020-11_Great Schools Partnership_Casco Bay High School,Great Schools Partnership,"Casco Bay has tied together project-based learning using an EL model with proficiency-based learning in an environment that is extremely student centered. Students are known as individuals and while there are common learning expectations for all students, teachers work to build upon each student's skills and capacities. Students learn agency along with deep content and skills",27,Great Schools Partnership
Nominator_2019-03_EdTech Specialists_Center Line High School - Wall to Wall Academies,EdTech Specialists,,28,EdTech Specialists
Nominator_2022-11_Michigan Department of Education_Center Line High School - Wall to Wall Academies,Michigan Department of Education,Students have the opportunity to choose career pathways.,28,Anonymous
Nominator_2019-03_Throughline Learning_Central Elementary School,Throughline Learning,,29,Throughline Learning
Nominator_2019-03_Building Blocks Education_Charles W. Eliot PreK-8th Grade School,Building Blocks Education,,30,Building Blocks Education
Nominator_2019-03_Georgia Governor's Office of Student Achievement_Charles R. Drew Charter School,Georgia Governor's Office of Student Achievement,,31,Anonymous
Nominator_2019-03_Digital Learning Institute_Charlotte Lab School,Digital Learning Institute,,32,Digital Learning Institute
Nominator_2023-11_A Revolution in Education_Charlotte Lab School,A Revolution in Education,"The school is committed to adopting and modeling a habit of innovation, keeping the changing needs of students at the forefront of all decisions related to curriculum, programs, and policies. It has a student-centered focus on the whole child, with learning personalized to each student's needs and opportunities for real-world experiences.  One of their signature practices are Quests, which challenge-based courses and projects, which are interdisciplinary and enable students to discuss and collaboratively develop solutions for real-world challenges. These Quests provide students with exposure to current events, history, science content, math, literacy skills, and valuable life skills. Their high school is also creating professional learning opportunities through internships and client projects.  The school's program is highly individualized, allowing students to pursue their interests.",32,A Revolution in Education
Nominator_2022-11_NewSchools Venture Fund_Charlotte Lab School,NewSchools Venture Fund,"Since our founding in 2015, Charlotte Lab School has been committed to adopting and modeling a habit of innovation - keeping the changing needs of our students at the forefront of all decisions related to curriculum, programs, and policies. Grounded in this student-centered approach are the principles that guide how we approach our work and each other. We call it The Lab Way.",32,NewSchools Venture Fund
Nominator_2019-03_South Carolina Department of Education Office of Personalized Learning_Chastain Road Elementary,South Carolina Department of Education Office of Personalized Learning,,33,South Carolina Department of Education Office of Personalized Learning
Nominator_2019-03_Center for Teaching Quality_Childersburg Middle School,Center for Teaching Quality,,34,Center for Teaching Quality
Nominator_2019-03_Next Generation Learning Challenges_CICS West Belden,Next Generation Learning Challenges,,35,Next Generation Learning Challenges
Nominator_2019-03_CA Group Consulting_Cisco Elementary,CA Group Consulting,,36,Anonymous
Nominator_2019-03_Charter School Growth Fund_Citizens of the World Hollywood,Charter School Growth Fund,,37,Charter School Growth Fund
Nominator_2019-03_Education Reimagined_City Garden Montessori School,Education Reimagined,,38,Education Reimagined
Nominator_2019-03_Arkansas Team Digital_Clarendon High School,Arkansas Team Digital,,39,Arkansas Team Digital
Nominator_2019-03_Global Teaching Project_Coahoma Early College High School,Global Teaching Project,,40,Global Teaching Project
Nominator_2019-03_Virginia Department of Education_CodeRVA Regional High School,Virginia Department of Education,,41,Anonymous
Nominator_2019-03_228 Accelerator_Columbia Heights Educational Campus (CHEC),228 Accelerator,,42,228 Accelerator
Nominator_2019-03_Idaho State Department of Education - Idaho Mastery Education Network_Columbia High School,Idaho State Department of Education - Idaho Mastery Education Network,,43,Idaho State Department of Education - Idaho Mastery Education Network
Nominator_2019-03_Idaho State Department of Education - Idaho Mastery Education Network_Columbia High School,Idaho State Department of Education - Idaho Mastery Education Network,,43,Idaho State Department of Education - Idaho Mastery Education Network
Nominator_2019-03_Barr Foundation_Common Ground High School,Barr Foundation,,44,Anonymous
Nominator_2019-03_EdSurge_Community Lab School,EdSurge,,45,EdSurge
Nominator_2019-03_Overdeck Family Foundation_Community Lab School,Overdeck Family Foundation,,45,Anonymous
Nominator_2019-03_Education First_Compass Academy,Education First,,46,Anonymous
Nominator_2023-11_Transcend_Compass Academy,Transcend,Compass Academy supports students in developing academic and social-emotional competencies that provide postsecondary pathway success. ,46,Anonymous
Nominator_2019-03_Overdeck Family Foundation_Concourse Village Elementary School,Overdeck Family Foundation,,47,Anonymous
Nominator_2019-03_The Learning Accelerator_Concourse Village Elementary School,The Learning Accelerator,,47,The Learning Accelerator
Nominator_2019-03_TNTP_Concourse Village Elementary School,TNTP,,47,TNTP
Nominator_2020-11_The Learning Accelerator_Concourse Village Elementary School,The Learning Accelerator,The school does a lot with culture. SEL is intertwined in their DNA,47,The Learning Accelerator
Nominator_2019-03_Center for Artistry and Scholarship_Conservatory Lab Charter School,Center for Artistry and Scholarship,,48,Center for Artistry and Scholarship
Nominator_2019-03_XQ Institute_Crosstown High,XQ Institute,,49,Anonymous
Nominator_2021-12_Tennessee Charter School Center_Crosstown High,Tennessee Charter School Center,Project based learning,49,Tennessee Charter School Center
Nominator_2019-03_The Learning Accelerator_Dan D. Rogers Elementary School,The Learning Accelerator,,50,The Learning Accelerator
Nominator_2021-12_The Learning Accelerator_Dan D. Rogers Elementary School,The Learning Accelerator,"They have a strong instructional model that individualizes instruction with teachers leveraging tools like playlists, small group instruction, and learner profiles. Incredible job around social-emotional learning and well-being of kids especially in the last couple of years. They are working on performance-based assessments and increasing opportunities for authentic student agency. This school is often used as a showcase site for external visitors to see personalized learning in Dallas ISD in action.",50,The Learning Accelerator
Nominator_2019-03_ReSchool Colorado_Da Vinci Extension,ReSchool Colorado,,51,ReSchool Colorado
Nominator_2019-03_ReSchool Colorado_Da Vinci Extension,ReSchool Colorado,,51,ReSchool Colorado
Nominator_2019-03_Tennessee SCORE_DB EXCEL (Kingsport),Tennessee SCORE,,52,Anonymous
Nominator_2019-03_Digital Promise_DC Bilingual Public Charter School,Digital Promise,,53,Anonymous
Nominator_2019-03_National Charter Collaborative_DC Bilingual Public Charter School,National Charter Collaborative,,53,Anonymous
Nominator_2022-11_The Center for Learner Equity_DC Bilingual Public Charter School,The Center for Learner Equity,"DC Bilingual uses a unique, immersive dual-language model in which students are taught in both English and Spanish across content areas. The school also emphasizes partnerships with families as a core part of its model, including regular home visits and other workshops and activities targeted toward families.",53,The Center for Learner Equity
Nominator_2019-03_PBLWorks_Denver School of Innovation and Sustainable Design,PBLWorks,,54,Anonymous
Nominator_2019-03_CA Group Consulting_Derry Elementary,CA Group Consulting,,55,Anonymous
Nominator_2019-03_Next Generation Learning Challenges_Design Tech High School,Next Generation Learning Challenges,,56,Next Generation Learning Challenges
Nominator_2023-11_Transcend_Design Tech High School,Transcend,"d.tech leverages a strong design thinking approach, lots of cllege and career prep, extracurriculars",56,Anonymous
Nominator_2019-03_The Learning Accelerator_Design39Campus,The Learning Accelerator,,57,The Learning Accelerator
