"nominator","year","school_id","official_school_name","website","nominator_reason"
"Center for Teaching Quality (CTQ)",2019,15,"Avalon School","http://www.avalonschool.org","This is a long-standing teacher-powered school that serves many students who may have a difficult time in traditional school settings. They get amazing student outcomes and focus on the individual learning and social-emotional needs of students."
"Education Reimagined",2019,15,"Avalon School","http://www.avalonschool.org","Avalon serves a high percentage of learners with special needs or IEPs (nearly 30%), and has also become an informal hub for young people who are wrestling with gender or sexual identity issues. It is a teacher-powered charter school that serves middle and high schoolers. It has a commitment to flexible staffing and deep professional learning among staff to better serve the needs of its learners. They are competency-based, allowing learners to identify and develop projects that meet their interests. They are also committed to allowing learners to develop agency and ownership of their learning, accounting for this transition on the part of learners who may take months to settle in, but then accelerate into their competency-based program to complete on time. Allowing fluidity by not having grades (freshman, junior, senior) makes this more possible. The school does a lot to expand the universe for learners, making connections in person and virtually to people who can help learners with projects. Learners develop a real sense of project development, pacing, time management and self-reliance through this process."
"Anonymous",2019,16,"Avanti High School","http://avanti.osd.wednet.edu/","The school's mission is to help create growth, both academically and emotionally. This is important for their goal of creating citizens of an equitable, democratic society. The school is focused on arts education and arts integration, and also includes a focus on personalization, and """"habits of mind and heart"""".  The school also mentions social justice as an important theme across the school. Personalization happens through personal relationships with teachers and other students, self-reflection, student choice, demonstrations of mastery (rather than grades), and the role of the teacher (as a coach rather than a """"sage on the stage""""). """"Habits of mind and heart"""" are """"critical thinking, mindfulness, compassion, reflection, connection, responsibility, communication, quality, resiliency, joy, integrity, inspiration, and creativity."""" Students are regularly asked to reflect on these qualities, even within class assignments.  "
"Highlander Institute",2019,19,"Barrington Middle School","","As a Lighthouse School, Barrington Middle School is enhancing its practices around personalization and developing transformational learning opportunities that occur at the intersection of: deeper learning, experiential learning, and project-based learning. The school is committed to making explicit connections between classroom learning and the application of that learning beyond school walls. Barrington has taken on the responsibility to prepare students to be contributing successful global citizens, who also have strong academic knowledge for success.  Barrington Middle School students go deep in their learning and apply it to authentic problems and real-world situations using deeper learning competencies that push students' to: Master core academic content, think critically and solve complex problems, work collaboratively, communicate effectively, learn how to learn, and develop academic mindsets. Experiential learning at Barrington provides guaranteed learning opportunities in all grades and classrooms in which students can demonstrate, apply, and transfer their knowledge and skills across content and setting. Students are given opportunities to engage in self-directed project-based learning that allows them to describe what and why they are learning, track and improve their progress, and connect their learning outside of the classroom. For example, students develop products and business plans to pitch to the community in a shark tank setting, or research areas of interest and report their findings and calls to action to authentic audiences."
"Global Teaching Project",2019,23,"Booneville High School","","The Advanced Placement (AP) Access Pilot Program is an innovative and first-of-its-kind blended learning program that provides promising high school students access to the advanced coursework they need to achieve their full potential, but which rural, underserved schools such as Booneville High School otherwise could not offer due to limited resources and a chronic, and worsening, shortage of qualified teachers. With the support of the Global Teaching Project, the Pilot Program provides comprehensive, wraparound services to students and teachers, including access to world-renowned subject matter experts, such as Yale University Physics Professor Meg Urry, as well as college-student tutors from leading institutions including MIT, Stanford, Yale, and Virginia, enabling Booneville High School to leverage its existing resources to provide advanced courses to bright, but underserved students.  In addition to these unique human resources, the blended model also provides students the opportunity to participate in intensive, residential preparatory programs throughout the year at local MS-based universities including the University of Mississippi and Mississippi State University. The Global Teaching Project is excited to nominate Booneville High School because of the tremendous efforts it is undertaking to provide historically underserved students access to AP courses. Notwithstanding Booneville's significant challenges, the blended learning model has made remarkable initial progress: classroom teachers are engaged and gaining both substantive and pedagogical experience; students are tackling rigorous subject matter (AP Physics 1 is the program's inaugural course) with initial performance data showing promising results; and, perhaps most importantly, students are beginning to reimagine themselves as part of a high-achieving, academically ambitious cohort.  As the model expands and continues to improve, the program will help to develop and prepare a pipeline of talented, high-achieving students from Mississippi's most rural and impoverished districts for post-secondary success."
"Anonymous",2019,24,"Boston Day and Evening Academy","http://bacademy.org","Rigorous and impactful implementation of CBE, wraparound services, non-exclusionary discipline, apprenticeships, anytime-anywhere learning opportunities, advisories, project-based learning, and community engagement"
"Christensen Institute",2019,24,"Boston Day and Evening Academy","http://bacademy.org","BDEA has spent decades implementing competency-based education for young people that the traditional system has failed to effectively support and serve. The leader's approach is grounded in strong expertise in curriculum and a data-driven approach to student supports. They are now exploring additional ways to embed real-world/work-based learning into their model."
"Anonymous",2019,24,"Boston Day and Evening Academy","http://bacademy.org",NA
"reDesign",2019,25,"Bronx Arena High School","http://www.bronxarena.org","Asynchronous model with teachers playing a mentor role"
"LLC",2019,25,"Bronx Arena High School","http://www.bronxarena.org","This is a school for at-promise youth in NYC. The model is competency-based, blended-learning, highly personalized, and a highly unusual school design. Their students enter the school overage and under-credited, and despite this, 80+% of the graduating class enrolls in college, and of this group, 80% of students persist beyond the freshman year. "
"Springpoint",2019,25,"Bronx Arena High School","http://www.bronxarena.org",NA
"Anonymous",2019,25,"Bronx Arena High School","http://www.bronxarena.org","Bronx Arena High School is a transfer school serving over-age, under-credited students. The school is a collaboration between the Department of Education and SCO Family Services, a social service agency that provides social and emotional support, as well as college counseling. Students are paired with """"advocate counselors"""" from SCO Family Services. Students work through a web-based mastery system at their own pace, and receive 1:1 and small-group support from teachers in flexible """"arena"""" blocks. Each arena has a generalist teacher and an advocate counselor, both of whom support students academically and personally throughout the day. Students also work with content specialists, who push in during the day to provide additional one-on-one or small group instruction in particular areas. Generalists and content specialists collaborate closely and analyze data to ensure all students are receiving the supports they need to be successful. The school combines online learning with face-to-face instruction in a method pioneered by Principal Ty Cesene at an alternative school in El Segundo, California. Bronx Arena develops its curriculum materials in-house, through a rigorous faculty review process. Technology components, specifically a custom-built data system accessible to students and staff at all times, create a personalized experience where students work at their own pace, mastering the skills needed to succeed in the 21st century. Students track their own productivity and work toward completing five learning tasks per day. To receive credit for a course, students must demonstrate mastery by completing two challenges and a capstone project. Students complete senior portfolios on a topic of their choice that represents a culmination of their learning."
"EL Education",2019,27,"Casco Bay High School","","Competency-based learning, project-based learning, student-centered culture"
"Great Schools Partnership",2019,27,"Casco Bay High School","","Casco Bay is an Expeditionary Learning school with a strong proficiency system that personalizes learning for each student."
"EdTech Specialists, LLC",2019,28,"Center Line High School - Wall to Wall Academies","http://www.clps.org","This urban Detroit district has transformed their high school into a learning environment that is """"wall to wall"""", including every student with skills that can be used in their community after graduation or provide the foundation for future learning. The district works closely with its business community in partnering to ensure that the needs of the community are addressed and met."
"Building Blocks Education",2019,30,"Charles W. Eliot PreK-8th Grade School","","Charles Eliot School adopted a """"personalized learning"""" instructional model that gives students full control over the core aspects of their learning - what they learn, how they learn it, and when they are ready to move forward. Teachers' primary roles have shifted from serving as the source of all knowledge to serving as academic coaches who help students determine their own, individual pathways to mastering the standards and guide them along the way. Students have gone from learning passively (or not learning at all) to taking full responsibility for their learning and ownership of their outcomes.  Students (1) use their assessment data to determine which standard to work on, (2) set a short-term goal to master the standard, (3) select the resources, activities and people they think will best help them reach mastery, and (4) use formative assessments to determine when move on.  This school stands out because they've committed 100% to a school-wide transformation to student-driven learning.  As a result, teachers have fully invested in the change and have made dramatic progress in a short period of time.  "
"digiLEARN",2019,32,"Charlotte Lab School","http://www.charlottelabschool.org/","This is a charter school and Lab School.  It is focused on authentic learning experiences, enabling students to learn content and skills through logical contexts and applications.  The principal is the author of How to Innovate: The Essential Guide for Fearless School Leaders. "
"South Carolina Department of Education - Office of Personalized Learning",2019,33,"Chastain Road Elementary","","Chastain Road has embraced student-centered learning by allowing teachers the freedom to embrace the research based practices that best support the needs of the school.  The school is truly a professional learning community, where the adults are continuously seeking to find ways to ensure ALL students are empowered and engaged.  There is a strong sense of culture at Chastain Road.  The leadership of the school provides a transparent model to allow teachers to experiment with support.  "
"Center for Teaching Quality (CTQ)",2019,34,"Childersburg Middle School","http://cms.tcboe.org","Childersburg Middle School is a PBL school that focuses on STEAM and technology integration. They are in a """"traditional"""" district, yet implementing an innovative student-centered learning model - proving that this CAN be done within a district model. They serve a diverse student population."
"Next Gen Learning Challenges",2019,35,"CICS West Belden","","West Belden has pursued a path towards high-expectations whole-child development for the past five years, with exemplary results. They are working with a challenging urban school population (K-8), and have put into place a deeply personalized approach that builds on knowing each child deeply and enabling increasing degrees of agency among the students, helping them develop a broad set of competencies. They are very articulate on how they have worked with the staff to co-develop this model, across three cohorts of teachers. Colleen Collins gave us an important lesson from her work there as principal: """"everyone needs to feel that they're part of the pilot."""" Meaning: initially the school worked deeply with its first cohort to co-develop the model, and then did the same with the second cohort; when it came time to bring the third cohort into the work, those teachers were told to watch the other cohorts and """"do what they do."""" That strategy produced some pushback from those teachers and convinced Colleen and other school leaders that in fact, it is crucial in designing and implementing agency-driven learning models to make sure that the adults are all experiencing the same kind of agency-driven culture. Later cohorts of teachers can't simply be asked to implement; they must be invited to co-create as much as earlier cohorts, even as they also are able to build on the work of those cohorts. This is a crucial lesson for the field. The change processes and the professional culture of teachers must mirror the 21st-century goals and learning strategies that we are all holding for students."
"Anonymous",2019,36,"Cisco Elementary","","The commitment to student-centered blended learning for all students!"
"Charter School Growth Fund",2019,37,"Citizens of the World Hollywood","http://cwchollywood.org","CWC offers a compelling academic and character development model that has produced high academic outcomes for their students. Diversity of their students is at the center of their student culture and academic model design, and CWC is one of the few networks their size that has a director of DEI focusing on this work full-time. This model allows students to form meaningful relationships with students from other races, cultures, and backgrounds. CWC has developed graduate dispositions that are integrated in their academic instructions to help students become aware of their identity and develop their social and emotional skills. "
"Education Reimagined",2019,38,"City Garden Montessori School","http://www.citygardenschool.org","Montessori is a well-established and relatively well-known model. However, it has generally always been available mostly to affluent families and communities. City Garden is attempting to be a leader in making this highly successful, highly learner-centered model available to learners from historically disadvantaged backgrounds. They have done amazing work in building an anti-bias, anti-racist curriculum that allows them to better serve a diverse population of learners, while not losing the central elements of Montessori education: multi-age classrooms, developmentally-appropriate materials and teaching strategies, following the learner. This is one school I have not yet visited, so there are elements of the program I do not know. Therefore, what I select below are not necessarily reflective the broad range of work going on at the school."
"Team Digital",2019,39,"Clarendon High School","http://www.clarendonlions.org","Clarendon has the intention of starting a Virtual School for the purpose of recapturing students that have left the district for other options (private school, etc). The plan is to provide a more personalized learning path for current students through Ala Carte model. They would also like to help teachers start developing their own content to put into an LMS (Canvas). Some of our successes include students creating their own websites to demonstrate their learning, effective social media campaigns, and teachers using Learning Management Systems like Google classroom. They have implemented station rotations and flipped classrooms and are operating on a Flex Mod Schedule which usually included one flexible day of schedule. Students will be able to learn at their own pace using enriched virtual learning. They have established an advisory period to teach personal competencies, embedded courses, concurrent courses, additional CTE (Career Technology Education) pathways, a mentoring program, and a career coach. The teacher leadership team analyzes classroom walkthrough data and testing data bimonthly. Their goal is to begin implementing Career and College Academies and require a Capstone community service project. They ultimately would like to have three pathways of learning for students - traditional, career-bound, and college bound.  "
"Global Teaching Project",2019,40,"Coahoma Early College High School","http://cahs.k12.ms.us","The Advanced Placement (AP) Access Pilot Program is an innovative and first-of-its-kind blended learning program that provides promising high school students access to the advanced coursework they need to achieve their full potential, but which rural, underserved schools such as Coahoma AHS otherwise could not offer due to limited resources and a chronic, and worsening, shortage of qualified teachers.  With the support of the Global Teaching Project, the Pilot Program provides comprehensive, wraparound services to students and teachers, including access to world-renowned subject matter experts, such as Yale University Physics Professor Meg Urry, as well as college-student tutors from leading institutions including MIT, Stanford, Yale, and Virginia, enabling Coahoma AHS to leverage its existing resources to provide advanced courses to bright, but underserved students.  In addition to these unique human resources, the blended model also provides students the opportunity to participate in intensive, residential preparatory programs throughout the year at local MS-based universities including the University of Mississippi and Mississippi State University. The Global Teaching Project is excited to nominate Coahoma AHS because of the tremendous efforts it is undertaking to provide historically underserved students access to AP courses. notwithstanding Coahoma's significant challenges. Coahoma County, in which the school is located, is among the poorest counties in Mississippi. The blended learning model has made remarkable initial progress: classroom teachers are engaged and gaining both substantive and pedagogical experience; students are tackling rigorous subject matter (AP Physics 1 is the program's inaugural course) with initial performance data showing promising results; and, perhaps most importantly, students are beginning to reimagine themselves as part of a high-achieving, academically ambitious cohort.  As the model expands and continues to improve, the program will help to develop and prepare a pipeline of talented, high-achieving students from Mississippi's most rural and impoverished districts for post-secondary success. "
"Anonymous",2019,41,"CodeRVA Regional High School","","CodeRVA began as a collaborative effort on the part of Regional Superintendents in Region 1 of Virginia.  This opportunity captures the best and most relevant tech-rich experiences, specifically coding, that can catapult students into meaningful and life-long careers.  "
"228 Accelerator",2019,42,"Columbia Heights Educational Campus (CHEC)","http://www.dcps.dc.gov","This school is committed to the learning and development of the most excluded students in the district by provided AP for All, personalized learning, and career academies. The won a Breakthrough Schools grant in 2013 and are a model of continuous improvement and transformative leadership. The campus has both an Early College Program and Dual Immersion. This is the mission of the organization:  All students who graduate from our Dual Language Immersion Early College Campus will be prepared to succeed in college and civic life as leaders in the quest for social justice. We develop intellectually curious scholars who are articulate communicators in two languages, critical thinkers and consumers, cultural ambassadors, and contributing community members. Our students develop positive habits that build physical and mental health. We focus on socio-emotional learning as a key part of the instructional program, and our students demonstrate perseverance, ethics and character in the pursuit of excellence. Restorative practices are the foundation of our school climate, as we enhance relationships and build community. As lifelong learners in the pursuit of excellence and innovation, we foster a growth mindset through which teachers, administrators, students, parents, and community members all collaborate to achieve goals. We trust one another to continually improve our practice."
"Anonymous",2019,44,"Common Ground High School","http://www.commongroundct.org","Charter school located on an urban farm and large city park. Focus on high expectation and equity. Lots of local partnerships that they are in the process of further leveraging to have robust school experiences outside of the classroom walls. Students are deeply involved in their ongoing school iteration."
"EdSurge",2019,45,"Albemarle County Community Public Charter School (Community Middle)","http://www2.k12albemarle.org/school/cpcs/Pages/default.aspx","They're doing remarkable work bringing elements of play into curriculum in meaningful ways. They're working with MIT's Playful Assessment team to rethink how to measure student growth and partnering with MakerEd to bring making and play to life at their school (https://www.edsurge.com/news/2018-12-11-how-playful-assessment-unseated-standardized-tests-at-one-school). The school has been around for 10 years but recently reopened with a new staff and model."
"Anonymous",2019,45,"Albemarle County Community Public Charter School (Community Middle)","http://www2.k12albemarle.org/school/cpcs/Pages/default.aspx","The school provides an innovative learning environment, using the arts, to help children in grades six through eight balance individual strengths and developmental needs to develop the whole child intellectually, emotionally, physically and socially. With Choice Theory as our philosophical base, we strive to help students gain more responsibility for their social-emotional lives and in their academics. Seeking to serve students at risk of not succeeding in school, we foster the knowledge, skills, and habits of mind necessary to close student achievement gaps in math and reading literacy and provide a community of engaged learners and participatory citizens."
"Anonymous",2019,46,"Compass Academy","http://www.compassacademy.org","Use of early-warning indicators, focus on students with learning differences"
"Anonymous",2019,47,"Concourse Village Elementary School","http://www.cves.connectwithkids.com","Serve a very high need student population with a strong equity and whole child lens. Also have thought tech integration to facilitate differentiation and feedback loops."
"TNTP",2019,47,"Concourse Village Elementary School","http://www.cves.connectwithkids.com","Concourse Village Elementary School has implemented a personalized learning model with a rigorous and culturally responsive teacher-created curriculum. The school is located in the South Bronx and earned Blue Ribbon status for its academic success in recent years. Students in grade levels that have begun the conversion to a personalized learning model engage in a stations-based flexible learning experiences, with voice and choice over what tasks they engage in, as well as how they demonstrate what they have learned. Technology is thoughtfully integrated into the school's model to provide students with learning experiences that would not be possible with traditional materials and/or to streamline work for teachers. Also core to the model at Concourse Village is their focus on knowledge-based literacy instruction, cumulatively building knowledge and vocabulary through the rigorous and culturally relevant curriculum materials their team has sourced and developed internally. The approach provides students with substantial agency and responsibility, including leading classroom instruction for their peers for some content and learning modalities. Located in the most impoverished congressional district in the country, Concourse Village is equipping students its students with both the academic and soft skills they will need to successfully navigate the rest of their education and succeed in the job market of the 21st century."
"The Learning Accelerator",2019,47,"Concourse Village Elementary School","http://www.cves.connectwithkids.com","One of the most inspirational schools we have visited which employs student-centered learning and has developed its own rigorous OER content based on regular student feedback."
"Center for Artistry and Scholarship",2019,48,"Conservatory Lab Charter School","http://www.conservatorylab.org","At the core of Conservatory Lab's pioneering curriculum is the hybrid of two proven and exemplary programs: El Sistema and Expeditionary Learning. Both programs emphasize the experience of breaking through barriers in the pursuit of excellence and creating a culture and habit of perseverance. Conservatory Lab provides a unique learning experience that includes daily music instruction, based on the El Sistema approach, for all students PreK-8. Our youngest scholars participate in daily vocal and rhythmic instruction before moving to a stringed instrument in grade one. In fourth grade, some students transition to woodwinds, brass or percussion instruments.  As an EL Education (formerly Expeditionary Learning) school, all students participate in 1-2 expeditions each year. These interdisciplinary units typically lasting 8-12 weeks are grounded in social studies or science content, while building literacy skills and integrating the arts. Students participate in research and field work, collaborate with experts in the field, engage with service learning opportunities, and develop an authentic product, modeled after artifacts from the real world.  Taken together, these two programs motivate and nurture Conservatory Lab's students to become dedicated scholars, compassionate leaders, and skilled musicians.  "
"Anonymous",2019,49,"Crosstown High","","At Crosstown High, students learn alongside businesses, nonprofits, health services, and civic organizations. It is a place for real-world learning where everyone benefits, strengthening the community and city at large. Located in a historic, renovated industrial building, Crosstown shares space with more than 40 organization committed to using arts and culture as a catalyst for change. Students get to have ownership over their own learning and the freedom to follow their curiosities and explore new interests. Crosstown has an intentional approach to creating """"diversity-by-design,"""" recruiting students from across the city and helping a rapidly evolving Memphis that's trying to put a history of segregation and inequality in the past."
"The Learning Accelerator",2019,50,"Dan D. Rogers Elementary School","http://www.dallasisd.org/rogers","Rogers Elementary has created a strong culture of autonomy and trust, leading to invested staff who own the work. This translates to a strong student culture of autonomy grounded in goal-setting and reflection."
"Anonymous",2019,52,"DB EXCEL (Kingsport)","http://dbhs.k12k.com/","D-B EXCEL in Kingsport City Schools is re-envisioning the high school experience to offer an alternative for students who are seeking a non-traditional setting. Located separately from the main high school (Dobyns-Bennett High School), D-B EXCEL offers a flexible schedule and an intense focus on blended, personalized learning. Supported by a team of educators, students take online classes that allow them to learn at their own pace and to complete coursework in the evenings or on weekends to accommodate work or extra-curricular schedules. D-B EXCEL engages students in rigorous, standards-aligned instruction with a focus on project-based learning which allows students to demonstrate content mastery through products, performances, or presentations rather than traditional assessments or work products. D-B EXCEL was first envisioned in Spring 2014 and currently serves more than 200 students."
"Anonymous",2019,53,"DC Bilingual Public Charter School","http://www.dcbilingual.org","DC Bilingual offers a comprehensive food and wellness program that includes students and families. From scratch cooked daily meals to english and immigration courses for parents, Daniela has created a true community that supports all students and families. Daniela has designed and refined a spectacular EL program that has successfully engaged her newcomer students and closed gaps in their home-language and English proficiencies."
"Anonymous",2019,53,"DC Bilingual Public Charter School","http://www.dcbilingual.org","One of the highest performing charter schools in DC. Rooted in a bilingual model. High community engagement. Smart, effective leader. Diverse student population -- 60% Latinx, 20% African American."
"Anonymous",2019,54,"Denver School of Innovation and Sustainable Design","http://dsisd.dpsk12.org","In order to prepare students to innovate and lead in the 21st century global society, DSISD provides personally empowering and culturally relevant learning experiences that foster the development of the whole child. Every DSISD student demonstrates growth toward mastering academic, interpersonal, creative and professional competencies. Through engaging in personalized learning experiences and real-world projects, students become innovators and design thinkers who will create a strong economic future and contribute to social and civic well-being, both locally and globally. Designed to be Denver Public School's first competency-based, public high school, DSISD continues to innovate and evolve as a school. "
"Next Gen Learning Challenges",2019,56,"Design Tech High School","http://designtechhighschool.org","D-Tech is relentlessly organized around design thinking. It is an NGLC grantee that was born out of the Stanford D. School; it now occupies space built and custom-designed for it by Oracle, on the Oracle campus. The school uses design thinking as the central mechanism and organizing strategy to do literally everything -- from learning models to professional development to school improvement. The students become extremely adept in its use and apply it across a wide range of domains. In doing so, they become self-initiating """"apprentice adults,"""" developing and demonstrating high degrees of agency, persistence, problem-solving, resilience, creativity, and collaboration skills. Much of the learning at D-Tech is applied, inquiry-based learning (as in the High Tech High model). Visitors are often amazed to see how independently the students operate. They are treated as young adults and emerge from the school far readier to accept the responsibilities and challenges of post-high school life than their counterparts attending more traditional models. It is an amazing place. D-Tech has done a good job of articulating its strategies and much of their work is available on the school's website. Especially useful: its handbook on design thinking. NGLC grantees we have taken to the school over the years routinely say it's among the most compelling models they've seen."
"The Learning Accelerator",2019,57,"Design39Campus","http://www.powayusd.com/pusddesign39/","Design39 created a completely new instructional model from the ground up within a traditional district. The strong culture of trust, love for learning, and joy is palpable as you move through the campus and talk to both students and teachers. "
"Anonymous",2019,58,"Digital Pioneers Academy","","This middle school is in one of the least resourced communities in Washington DC and is committed to  providing students a well-rounded education that will prepare them for a digital, global economy. The curriculum includes: English, Math, Social Studies, Science, Computer Science, physical education, and robotics. Students also are able to connect what they are learning in the classroom to the real world.  "
"PowerMyLearning",2019,59,"Du Bois Integrity Academy","","Leadership Innovation Family Engagement"
"Anonymous",2019,62,"Early Technical College at Tennessee College of Applied Technology","","Clarksville-Montgomery County School System (CMCSS) is a unique district working to educate and empower students to reach their full potential so that all students graduate college or career ready. The district is doing innovative work and forming partnerships that are focused on increasing the rate of students entering college, technical college, or obtaining certifications that prepare them for a quality job that meets the community's work force demand. One solution includes a partnership with CMCSS and the Clarksville campus of Tennessee College of Applied Technology (TCAT).  The CMCSS Early Technical College at TCAT is a unique, hands-on learning experience that allows students a no-cost opportunity to work toward an industry certification while also completing the necessary high school courses for graduation in the state of Tennessee. Students can choose one option from four pathways, earning up to two certifications for the chosen pathway. Students who qualify can use funding from Tennessee Promise to complete TCAT diplomas following high school graduation. All classes required for a high school diploma are taken on the TCAT campus using an online program called Connections. Through the Connections program, students have access to a certified Tennessee teacher who oversees their progress in each high school course and offer individualized supports as needed."""" "
"Anonymous",2019,63,"East College Prep","http://ednovate.org","Has a record of achieving strong academic results with an innovative model (personalized self-pace) that serves a high percentage of underserved students. Innovative school model with early success: Ednovate's college prep academic model is built around Personalization, Purpose, and Mindsets. Beyond three essential elements (teamwork, positive culture, and a common assessment system), they give principals and instructors great autonomy and support to distinctively reach the organization's collective goals.  Ednovate empowers teachers and principals to be entrepreneurial, to exercise their creativity, and try different solutions.   

Personalized College Prep: Ednovate creates a customized learning experience that capitalizes on each individual student's strengths and interests by empowering teachers and students to utilize technology to enhance the learning experience.  Students work at their own pace through online modules to reach mastery of college-ready skills. The self-paced module system teaches students to manage their time so that they are able to complete assignments with long term deadlines. 
A Deep and Enduring Purpose: Ednovate believes that if students are driven by a deep sense of purpose to use their college degrees and careers, they will be more likely to persist through college graduation. As part of the effort to create Positive Multigenerational Change, their schools implement annual projects and customize these projects based on their own interests. By the time our students graduate, they will view themselves as positive change agents with a deeper purpose for college and career.  
Development of Specific Mindsets: Ednovate believes in developing the mindsets needed to thrive in and persist through college and beyond, including Integrity, Entrepreneurialism, Mastery and Joy. Every aspect of their school design and model is purposefully designed to embody and develop these mindsets in our students."
"Charter School Growth Fund",2019,64,"USC Hybrid High College Prep","http://ednovate.org","Ednovate has achieved high student performance with a tech-enabled flex model, where students progress through content at their own pace. Teachers spend 80-90% of their time in class conferencing 1-on-1 with students or providing small group instruction. This model is made possible through tight data and culture systems and management to outcomes by the network team. Ednovate is continuing to innovate on core aspects of their model and developing more sophisticated ways to predict college completion. Ednovate is working to apply learning science research to their expanded definition of student success known as Annual College Readiness Indicators (ACRIs). The ACRIs include measures of: 1) College Rigor, 2) Critical Thinking, 3) Mastery, 4) Presence, 5) Purpose, and 6) Self-Regulation. "
