nominator,school_id,school_name_n,school_city_n,school_state_n,school_district_n,school_within_school_n,school_structure_n,nominator_reason,strong_covid19_approach,why_covid19_approach,know_school,suggested_tags_n,nomination_date,expanded_success,pbl,competency_education,design_equity,anti_racist_action,sel,blended_learning,school_participated,NCES_id
Next Generation Learning Challenges,61,e3 Civic High School,San Diego,CALIFORNIA,E3 Civic High District,No,,"e3 Civic High was the result of unprecedented levels of partnership in San Diego, between the city, the school district, the public library system, other civic organizations, and business leaders. It occupies two floors that were designed explicitly for the school, inside of the new downtown main branch of the public library system -- a spectacular building with a deeply reimagined set of ideas about the functions of a public library. Students at e3 use the whole building as a kind of exploratory classroom and many serve as volunteers or developers of library programs. Beyond that, the school exemplifies many of the attributes of what NGLC calls next gen learning: meaningful, authentic, experiential, personalized, competency-based learning within a healthy, supportive whole-school community that has a fully reimagined definition of 21st century student success.   Here is how e3 describes itself: The mission of e3 Civic High is to engage, educate, and empower our learning community to be passionate, life-long learners and civic leaders that are prepared for college, workforce, and life.  College . Workforce . Life While the three e3's represent our core values and drives our mission, the 3 R's (reading, writing and arithmetic) drive academic college readiness while the 5 C's (Communication, Collaboration, Critical Thinking, Creativity, Civic Engagement) drive our Workforce and Life readiness. This is the ""e3 Way"".   All e3 scholars have clear college, workforce and life targets including academic, civic engagement and internships to prepare them for life after high school. All scholars are offered academic and wellness supports as well as small class sizes.  e3 supports all scholars to prepare for and take the PSAT, SAT and apply to 2 year college and 4 year universities.   The e3 way and innovative learning platform offers students: A personalized experience that leverages technology to support and enhance learning and teaching All students are supported and assessed each year for college, workforce and life readiness Students are supported in college and workforce readiness including PSAT and SAT preparation 100% of students take the PSAT and SAT and apply to 4 year colleges All students are supported through college applications, financial aid and acceptance processes Tutoring is available for all e3 students at no cost Over 100 course offerings including gaming, college prep, accounting and college level courses (UCSD and PLNU) e3 advisors provide college application supports to all e3 students All e3 students receive a MacBook Air to take home daily for the school year Relevant field trips and renowned guest speakers for real world exposure Design thinking and digital literacy skills for 21st century workforce prep Internships for all e3 students Focus and supports for wellness and mental health with licensed therapist on campus All students & staff use Google Apps for Education in a collaborative learning environment  Over the course of many visits to the school, often in the company of 20-40 other next gen learning educators from other districts and charters, we have seen all of these attributes borne out in the ways the school does its work.",Not sure,,They were a grantee of ours when they were launching. We have partnered with them many times over the years.,Authentic Student-centered Experiential,September 2020,1,1,1,1,1,1,1,0,060235013288
Transcend,64,Ednovate - USC Hybrid High College Prep,Los Angeles,CALIFORNIA,Ednovate - USC Hybrid High College Prep,No,,"USC Hybrid High - along with the other schools in the Ednovate system - stand out for three reasons.  First and arguably most importantly, they have a tremendous track record of 100% of their students prepared for college.  Second, they have a really excited competency based model that gives a lot of ownership to students starting in 9th grade.  Walking around their campus you see some amazing examples of students working on projects and pushing their learning further on their own or in small groups.  Lastly, they have a commitment to their students creating Positive Multigenerational Change (PMC), which they drive to with PMC Journeys through 9th through 11th grade and a senior year PMC Journey Graduate Capstone experience that is inspiring.",Yes,"Because of student ownership and their approach to competency-based, they were able to quickly pivot to virtual learning without missing much of a beat. They've put together important resources and tools for students and teachers to continue to excel.",Through my work at Transcend we did some work with Ednovate a year ago.,,September 2020,1,0,1,0,0,0,1,1,060234513094
Anonymous,67,Empower Community HS,Aurora,COLORADO,n/a,No,,"Community-designed, culturally sustaining project-based and youth-led learning",Yes,The Hustle Collaborative: https://medium.com/@elisabeth.booze/empower-community-high-school-8a8a49aff95e,,,September 2020,0,1,0,1,1,1,0,1,080234006781
Moonshot EdVentures,67,Empower Community High School,Aurora,COLORADO,Aurora Public Schools (authorizer); single site charter,No,,Co-created and co-led with students; strong ethnic studies program; works closely with community partners; has an interest in also influencing the ecosystem around it; raising funds to support families with financial assistance; deeply rooted in transformative resistance,Yes,Hybrid model; giving students a choice of which model they want to embark upon,Was a Fellow in our program,Community co-created,September 2020,1,0,0,1,1,1,0,1,080234006781
ReSchool Colorado,67,Empower High School,Aurora,COLORADO,Aurora Public Schools,No,,"Centers on youth identity, racial justice, and co-design and creation with community.",Yes,Creation of The Hustle Collective: https://empowerhighschool.org/blog/2020/5/22/recap-hustle-collective,"Part of my network at RESCHOOL--thought partner, funded them, etc.",,September 2020,1,1,0,1,1,1,0,1,080234006781
Big Picture Learning,71,Fannie Lou Hamer High School,Bronx,NY,New York City Geographic District #10 - Bronx,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,1,360009001327
Aurora Institute,76,Flushing International High School,New York,New York,New York City Department of Education,No,,Mastery-based education school with focus on international students.,Not sure,,Member of Mastery Collaborative and presenters on a recent Introduction to Competency-Based Education session at the Aurora Institute Symposium.,,November 2020,1,1,1,1,1,1,0,1,360012205727
Anonymous,78,Francis Parker Charter Essential School,Devens,MASSACHUSETTS,Francis W. Parker Charter Essential,No,,Their comprehensive approach to teaching and learning. We actually a short case study on them that you can find here: https://www.ncld.org/wp-content/uploads/2019/06/CHARTING-THE-COURSE.Final-1.pdf,Not sure,,Worked with them on an inclusive 21st century learning project,,September 2020,1,1,1,1,0,1,0,1,250003800581
Anonymous,81,Future Public School,Boise,Idaho,Future Public School,No,,"Future is an intentionally diverse school. Students learn engineering/computer science/robotics. They a deep commitment to equity and engage in ongoing anti-racism work. They also have a strong partnership with the Boys and Girls Club, which provides before and after school programming. They have also have a strong focus on SEL.",Yes,"In partnership with the Boys and Girls Club, Future was able to operate a summer program to pilot their approach. Starting this fall, they have prioritized giving families choice. Families can choose a virtual option, an in person option, and an option where parents lead their students learning and submit portfolios at the end of the semester. This flexibility has allowed them to keep their community intact while honoring the unique needs across their families.",I am there relationship manager at NSVF,"intentionally diverse, community partnership",November 2020,0,1,0,1,1,1,0,1,160018101100
Big Picture Learning,84,Gibson Ek High School,Issaquah,WA,Issaquah School District,No,,Each student has a learning plan that gets updated throughout the year. They meet Academic Competencies via Project Work and complete real world internships two days a week so curriculum is not credit based but rather competency based. Focus on design-thinking.,Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,0,530375003588
Anonymous,84,Gibson Ek High School,Issaquah,WASHINGTON,Issaquah School District,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Not sure,,A colleague visited them,,September 2020,1,1,1,0,0,0,0,0,530375003588
Big Picture Learning,94,Highline Big Picture High School,Burien,WA,Highline Public Schools,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,1,530354002976
MiCoOp,97,Horizons Alternative Education School,Mohawk,Michigan,"Public Schools of Calumet, Laurium & Keweenaw",Yes,,"Horizons is a close-knit family atmosphere that focuses on SEL for a population that needs a second chance to learn. A strong focus is on monitoring and managing stress levels so that learning can take place. Teachers and students report stress levels at the beginning and end of each day. During these times, 15 minutes is designated to talk about stress and what to do about it. Teachers and students both learn how to empathize with others through these discussions. There is a student lounge with a maker space, therapy dogs, and a weight room where students can go to relieve stress. They also have the ability to leave class with no questions asked. The school staff believe that de-escalation must occur before issues can be addressed. School suspensions are spent in a separate room in the building where students can complete their work. Students can bring their babies to school and have been known to address the entire student body about LGBTQ and BLM issues. Students have access to a food pantry which also contains personal items and clothing. The staff and students at Horizons feel safe, accepted, have a sense of belonging, and are responsible for themselves and others.  Academically, students can move on when ready and they have the option to take project-based courses. Courses are online so when they are not in attendance or are in suspension, they can work on their class work. During advisory, class-related goals are discussed. Eleventh graders also talk with their mentors on test prep and life skills while 12th graders discuss issues related to their senior projects. Horizons Alternative High School is a great example of how learning can occur when the whole child is the focus.",Yes,"Students and staff are still monitoring, reporting, and discussing stress levels even though they are in a virtual setting. They are being as consistent as possible to meet the needs of this high risk group.",Their school district is part of the Michigan CoOp (MiCoOp) which I facilitate. I have visited Horizons and have written about the school for our website.,,November 2020,0,1,1,0,1,1,0,1,260769001863
Anonymous,101,Impact | Puget Sound Elementary,Tukwila,Washington,Impact Public Schools,No,,"Impact | Puget Sound Elementary (PSE) is the flagship campus for Impact Public Schools, the first homegrown Washington state elementary charter network. After opening in 2018, Impact | PSE has proven that its model has the ability to narrow, and eventually close, the opportunity gap for historically marginalized students in south Puget Sound. Impact | PSE uses a model rooted in three design principles:  [1] Relationships: Fostering secure attachments within a tight-knit community of learners using a small group mentor model. [2] Agency: Working with families and students to develop comprehensive, personalized learning pathways for each individual scholar [3] Liberation: Creating deep, authentic learning experiences for students that lead to activism through the exploration of contextualized topics that are relevant in student' communities.  The Impact | PSE model employs an expanded definition of student success. While Core Skills are critical to student success, Impact | PSE also believes that deeper learning skills and social-emotional skills are essential to support the next generation of equity-driven, innovative leaders. These three design principles are the foundation for achieving this vision of student success.   Impact | PSE's implementation of a decolonized project-based learning (PBL) program is a stand-out element of the school model. The PBL curriculum has been designed to shift the dominant perspective and highlight voices, stories, and information that has not been emphasized in how students traditionally learn history. These projects lift up the indigenous perspective and work to break down institutional racism many educational systems continue to perpetuate. Impact | PSE operates with the belief that all scholars deserve to see themselves and their experiences reflected in what is being taught in their classrooms. All students deserve to learn about and be exposed to writers, artists, historians, community heroes and leaders who share their background and identity. In order for the Impact | PSE curriculum to be liberating, it must be rooted in the local communities it serves. At Impact | PSE, instructional leaders ensure that the liberated PBL model is replicable by developing a rigorous and relevant base curriculum that includes assessment tools, lesson plans and exemplars. Then, the school provides systems, structures (including a process for community/parent design input) and professional development to ensure the projects are rooted in the school community. This two-part method ensures that the curriculum is not rooted in the command, control and regurgitation of facts, but instead in the exploration of important, relevant questions that allow students to create real products and showcase them in front of a live audience of peers, parents and community members.",Yes,"Despite the obstacles and uncertainty that COVID-19 has imposed on schools and communities, Impact | Puget Sound Elementary remained committed to providing a first rate education for students and families. During the spring, Impact launched a full distance learning program blending synchronous and asynchronous instruction rooted in four key design principles: daily social emotional learning, small group/individualized instruction, decolonized project based learning, and a joyful culture of positivity. Impact | PSE’s work has been featured in news outlets, highlighted by nationally recognized education organizations, and acknowledged for going “above and beyond” during COVID-19. The effectiveness of Impact | PSE’s distance learning program was evident in the SY19-20 data. On average, 94% of scholars attend school each day during distance learning. Scholars consistently met their goals on adaptive learning platforms, and 75% of scholars met grade level benchmarks on their common core aligned adaptive literac...",NSVF is a funder of Impact Public Schools,Personalized learning plans,November 2020,1,1,0,1,1,1,1,1,530034503653
Big Picture Learning,102,Innovations High School,Reno,NV,Washoe County School District,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,1,320048000869
EmpowerK12,107,Ketcham,Washington,District of Columbia,D.C.,No,,"Ketcham is one of four DC schools to earn a Bold Performance School designation by EmpowerK12 every year since we began honoring such schools. Bold Performance Schools serve a high at-risk student population and have combined math and English language arts proficiency rates dramatically higher than schools with similar demographics. Ketcham resides in the heart of the DC Anacostia neighborhood and services one of the city's highest homeless populations. Principal Riddlesprigger and her team are data-driven and family-focused to the core. The Ketcham team doesn't just offer Saturday academy of students with free meals for students and families, the educators teach their students' parents how to be better educators of their own children. They also employ classroom grandparents, community retired volunteers, to help support classroom lead teachers. School leadership reviews strategic data weekly with teachers to track progress on their change ideas. Those ideas span the creative gamut are closely monitored for effectiveness, including a Montessori-style multi-grade classroom created because Riddlesprigger noticed a couple students ""above grade"" compared to their peers and pushed the into a room with students a little behind to push the pace of all their learning.",Yes,Everything Ketcham was doing pre-pandemic in terms of building trust with families and teaching parents to be better educators of their children positioned them uniquely able to connect with students from a distance to keep them engaged.,We know this school by venture of being a four-time Bold Performance award winner. Learn more about our Bold Schools initiative here: https://www.dcboldschools.org/bold-performance-schools,"Data-driven, family-focused, creative approach to continuous improvement",November 2020,0,0,0,1,0,1,0,0,110003000176
Springpoint Schools,111,Latitude 37.8 High School,Oakland,California,Education for Change,No,,"Latitude 37.8 is a public charter high school focused on real world Project-Based Learning, with strong arts, multimedia, and technology integration. Opened in fall 2018, Latitude uses an academically rigorous, hands-on approach to education that sets high standards for students and equips them with practical skills to succeed in college and career.   We are excited to nominate the school because stakeholders at Latitude 37.8 High School are united around a mission and vision for student learning that articulates high expectations for meeting the needs and aspirations of their learners and is deeply grounded in positive youth development. Stakeholders understand the boundless potential of all students to thrive inside and outside of school, as well as the key components of Latitude's model that support all students in doing so. The school's mission - demystifying access to the Bay Area's cultural and economic assets and expanding student' sense of possibility for their future - is core to student' experience and the staff's approach. Students and staff understand the value of field experiences and collaborations with adult professionals, which provide students with a rich array of experiences that allow them to explore potential futures for themselves.    Latitude 37.8 High School has developed curriculum and instructional practices that are driving students toward a deep understanding of content and the development of complex skills, using an authentic and thoughtful project based learning (PBL) approach that will prepare students for college and careers. School leaders and teachers have collaboratively designed a series of projects that form the backbone of a rich and exciting curriculum for students. Further projects are designed with a primary focus on rigorous student work, and on developing critical skills that align with state standards and prepare students for workplace internships and careers.  Finally, advisory is strategically used to help students build some of their most important relationships at Latitude, with their peers and a trusted adult, build their socioemotional skills and learn to hone their physical and mental well-being, and work to discover their interests and sense of purpose for career and life.",Not sure,,We have worked with this school in our collaborative work with XQ,Place-based,November 2020,0,1,1,1,0,1,0,0,060151414257
