nominator,school_id,school_name,school_city_n,school_state_n,school_district_n,nominator_reason_n
Arizona Technology in Education Association,755,Choice Learning Academy,Phoenix,Arizona,Alhambra ESD,"Student have a choice of four different paths for learning in middle school: Arts, Entrepreneurship, Innovation or Leadership. "
KnowledgeWorks,756,Cibola High School,Yuma,Arizona,Yuma Union High School District,"For the past four years, Cibola High School, one of six high schools in Yuma Union High School district, has been reimagining education by putting systems in place to support learner-centered practices. Key in the shift is a focus on mastery learning and an expectation of student success – no matter what it takes. Three years ago, a small group of teachers and the principal began studying and applying standards-based grading principles. Today, over 60 percent of the staff participate. The shift has evolved into equitable systems of grading and assessment across the campus, resulting in student agency and ownership of the learning. Students know the vision is for them to attain the highest level of proficiency/mastery. If they don’t succeed on the first attempt, they’ll have choice and opportunity to reassess. The staff believes that all students can succeed, and they insist on rigor by not allowing them to fail. Students own their learning and share their data with parents in regular emails. Collaboration, project-based learning, and flexible seating environment enable learners to flourish academically. 

Developing leadership and ensuring voice are critical at Cibola. The Courtesy Corps of student leaders in each classroom greet visitors and explain the focus of the day’s learning. Administration ensures student voice shapes the school culture. For example, a student focus group will roll out the new Portrait of a Graduate to the student body and provide ideas on systems to embed the POG in Cibola daily life. Adult agency has grown from teachers learning from teachers (TLFT). Teachers lead professional learning opportunities, participate in peer-to-peer classroom observations and feedback loops, and choose their personal learning pathways to grow their practice. Leaders provide time and support for the adult learning; as a result, teachers completed 82 digital PCBL learning modules in November. The Culture and Climate at Cibola High School has purposefully shifted. Staff believes that all students can succeed, and the focus is on developing the “whole student”, with student growth being the priority.  
"
Mastery Transcript Consortium,541,Clark Street Community School,Middleton,Wisconsin,Middleton-cross Plains Area School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
MiCoOp,535,CLK Engage at CLK Elementary School,Calumet,Michigan,"Public Schools of Calumet, Laurium & Keweenaw","This school is already in the Canopy project for this program, but they added another grade level this year.
 

 CLK Engage is a microschool within Calumet’s elementary school. They began by combining grades 1-3 in 2021. Grade 4 was added in 2022. All CLK Engage students meet first thing in the morning, creating community. The schedule is structured so all four classes have math at the same time (and reading at the same time) so students can move from one level to another based on their needs. Teachers assess students on a regular basis and reassign them based on their progress."
Center on Reinventing Public Education,799,Codman Academy Charter School,Dorchester,Massachusetts,,"The school has a social justice and expeditionary learning/ project based learning curriculum focus. It is also an embedded partner of the Codman square neighborhood, located within the Codman square health center, and an active part of the Codman square neighborhood community centered transformation . They evolve their curriculum over time in response to student and community priorities. It was either the or one of the first expeditionary learning schools designed for students of color and or in poverty. It was named by CZI as their model school for justice and health centered learning."
Vermont Agency of Education,654,Colchester High School,Colchester,Vermont,Colchester School District,"At Colchester High School academic credit is awarded upon demonstration of proficiency in learning experiences through courses and other non-traditional learning experiences. In courses, students have the opportunity to demonstrate the knowledge and skills for proficiency through a variety of learning experiences and assessments. Each department has delineated two to eight discipline-specific proficiencies that a student is required to meet for graduation. When a student receives credit for a particular course that is an indication that the proficiencies have been met. Taken together, the proficiencies or credits gained will provide a cumulative body of evidence that students have met overall school-wide and discipline-specific graduation expectations and are ready to graduate. 
 

 All students at CHS develop a Personalized Learning Plan. This plan documents a CHS student’s journey. The options for students include but are not limited to, community service, outside coursework, student aide assignments, work-study, independent study, online learning, Advanced Placement courses, Technical Centers, Dual-Enrollment courses, Early College, and internships. In addition, students may apply to Target Graduation, an outcomes-based graduation program, or may apply to attend Colchester Alternative Program (CAP) a smaller learning environment.
 

 The work of educators at Colchester High School is guided by the following Core Beliefs:
 ● We engage in diverse learning experiences rooted in relationships, relevance, rigor, and shared responsibility.
 ● We work together to build on one another's strengths and perspectives.
 ● We cultivate a strong and connected community that respects and celebrates all Lakers.
 ● We demonstrate respect and compassion for ourselves, one another, and our school.
 ● We create safe spaces where all Lakers can thrive.
 ● We empower all Lakers to use their voice, pursue their aspirations, and be active and engaged members of our community.
 

 Educational decisions are guided by the belief that proficiency-based learning practices in an environment of strong support for students’ social and emotional needs will enable them to meet these expectations."
Transcend,437,Community Roots Charter School,Brooklyn,New York,Community Roots,"Community Roots Charter School creates a learning environment that is diverse and inclusive. They employ an anti-bias education model that prioritizes issues of identity, discrimination, and social justice in our curriculum and our professional development. By prioritizing issues of identity, discrimination and social justice, the school strives to be a brave-space for differences of all kinds, where all staff, students, and families feel supported, empowered and fully engaged."
NewSchools Venture Fund,434,Comp Sci.High,New York,New York,N/A (single site charter),"We are a work-based learning, computer-science high school, rooted in the Bronx Community."
New Tech Network,646,Compass Academy,Idaho Falls,Idaho,Idaho Falls District 91,"Compass Academy is working on several projects as it refines its practices. They study project/problem-based learning in their professional learning communities, participate in the Marzano High-Reliability Schools Framework, and are applying to become a New Tech Network Spotlight School. This year they are using embedded professional development, instructional rounds, and PBL teacher practices to improve the retention of students, graduation rate, and success beyond graduation data."
Mastery Transcript Consortium,682,Compass Community Collaborative School,Fort Collins,Colorado,,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
NewSchools Venture Fund,704,Compass Rose Harvest,Bastrop,Texas,Compass Rose Public Schools,"Compass Rose is a K-12, college- and career-preparatory program with a unique approach to education, where we focus on a specific field of study reflective of our community's strengths at each site-- in this case, Agricultural Sciences. We use a blended model to deliver instruction in the core subject areas, with a focus on building a strong foundation in math and literacy at every grade level through direct Tier 1 instruction and blended Tier 2 supports. We organize this learning around each school's unique ""field of study"" and offer hands-on, service- and discussion-based learning opportunities to cultivate students for college and careers."
NewSchools Venture Fund,705,Coperni 3,Colorado Springs,Colorado,Third Future Schools,Push out Model - We utilize a 45-minute direct instruction followed by a 45 minute reteach.  Students who do not need to participate in the reteach push out to work on work at their level.
The Center for Learner Equity,678,Creative Minds International,Washington,District of Columbia,Creative Minds International Pcs,"Creative Minds supports students with disabilities, and others with diverse learning needs, through the use of evidence-based practices and building staff capacity to use these practices. The school provides ongoing high-quality professional learning opportunities from the Director of Inclusion and through a team of instructional coaches."
Transcend,510,Creativity Challenge Community,Denver,Colorado,Denver Public Schools,"Schools program is designed to lay the foundation for lifelong learning, integrating academics, innovation, learner interests, and real-world experiences. At C3, each member of the learning community is empowered to think creatively, achieve at high levels, embrace challenges, take responsibility for their own learning, and contribute to the learning of others. Innovative features of their program include: the creativity curriculum, community partnerships, and curiosity crews. 

Creativity Curriculum: The creativity curriculum is the centerpiece of C3’s approach to teaching and learning. It is taught and infused throughout all DPS curricula including reading, writing, math, science and social studies. 

Community Partnerships: On a regular basis, students at C3 are transported to local community partner sites (e.g., Denver Botanic Gardens, Denver Art Museum) to extend their learning. These experiences are designed to expand both DPS curriculum and creative thinking skills in real-world situations outside the classroom. Students meet with multiple community partners throughout the year for multiple weeks. 

Curiosity Crews: Curiosity Crews are interest-based, student-driven, multi-age learning groups. They take place three times per year with 4-6 week cycles (on Fridays). Curiosity Crews allow learners to investigate a variety of offerings that they choose from to leverage their own creative interests. The topics are based on school-wide interest surveys. Past examples included space, poetry, sewing, and rocks. Teachers and parents act as facilitators for the groups. "
NewSchools Venture Fund,621,Da Vinci Connect,Hawthorne,California,Da Vinci Schools,"Da Vinci Connect High School is a public school that combines in-person and remote learning.  Students can get a jump start on college by earning a two- or four-year college degree while in high school, for free!"
Transcend,256,Da Vinci RISE High,Los Angeles,California,Da Vinci Schools,"Da Vinci RISE uses a responsive and hollistic approach to meet the unique needs of students navigating foster care, housing instability, and other circumstances that have disrupted their schoolsing. They offer flexible scheduling, blended learning, credit recovery, and wraparound services to provide an equitable education for students traditionally left out of the larger educational narrative."
NewSchools Venture Fund,623,Dallas Hybrid Preparatory at Stephen J. Hay,Dallas,Texas,Dallas Independent School District,"Dallas Hybrid Prep is the first public hybrid school in Texas. We provide virtual learning three times a week, and students come to our campus twice a week for in-person learning. We now serve 3rd to 8th grade."
Anonymous,657,David H. Petree Elementary,Winston-Salem,North Carolina,Winston-Salem/Forsyth County Schools,"Petree Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. Petree went from failing to meet state expectations for student learning growth in 2018 to exceeding growth in 2022, and was removed from the state’s list of low-performing schools. The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, or MCL, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. Petree creatively used resources to implement this and other team teaching roles to reach more students with excellent instruction, and is continuing to use resources carefully to expand those roles despite the lowered funding that comes as a consequence of being removed from the low-performing list, so that students can continue to make strong growth."
The Center for Learner Equity,53,DC Bilingual Public Charter School,Washington,District of Columbia,Dc Bilingual Pcs,"DC Bilingual uses a unique, immersive dual-language model in which students are taught in both English and Spanish across content areas. The school also emphasizes partnerships with families as a core part of its model, including regular home visits and other workshops and activities targeted toward families."
NewSchools Venture Fund,257,DC International school,Washington,District of Columbia,DC   International School,"We have a 1:1 student tech model with IB for all approach, with language learning for all students in Spanish, French, and Chinese."
NewSchools Venture Fund,643,Dekalb Brilliance Academy,Atlanta,Georgia,N/A (single site charter),"Our school will empower students to be leaders through combining rigorous & relevant academics with social-emotional learning. We put all of this together through our Entrepreneurial Project-based Learning, where students learn not only from their teachers and peers, but also directly from scientists, lawyers, engineers, and designers."
Transcend,643,Dekalb Brilliance Academy,Decatur,Georgia,DeKalb Brilliance Academy,"""DeKalb Brilliance Academy is a new school that combines rigorous & relevant academics with social-emotional learning. They put all of this together through Entrepreneurial Project-based Learning, where students learn not only from their teachers and peers, but also directly from scientists, lawyers, engineers, and designers.

The school's design principles are rigor and relevance, real-world projects, building leadership, honoring identities, exceptional teaching, and collaborative partnerships."""
Transcend,57,Design39Campus,San Diego,California,Ponway Unified School District,"Design39 is a TK-8 public school whose design principles stand out—committed to innovation over compliance, Design39 believes that education must be personalized, inquiry-based, connect students to each other and the world, as well as inspire creativity enabled by technology and design thinking. Students are constantly working through projects in self-directed ways, get to collaborate and learn from one another. "
NewSchools Venture Fund,483,Detroit Prep,Detroit,Michigan,N/A (single site charter),"At Detroit Prep, our learning approach focuses on developing and nurturing the the whole child through multiple dimensions of student achievement: a commitment to mastery of knowledge and skills, character development, high-quality student work, and family and community engagement. Our unique approach is grounded in hands-on, collaborative learning with a backbone of social-emotional curriculum."
NewSchools Venture Fund,58,Digital Pioneers Academy,Washington,District of Columbia,Digital Pioneers Academy,"At Digital Pioneers Academy, computer science is at the core of our educational model. We empower students to develop marketable computer science skills and habits of innovation to experience a future of choice. Every student at Digital Pioneers Academy will learn Computer Science at every grade level."
Transcend,58,Digital Pioneers Academy,"Washington, D.C.",District of Columbia,Digital Pioneers Academy,"DPA is a computer science and college prep focused school serving 6th - 10th grade across two campuses. They serve mostly Black and Brown students and have a mission to prepare them to have a passion for and a career in computer science. Their academic model also includes very Leaps-aligned design principles—highly personalized and relevant content and instruction, an emphasis on safety and care in the learning environment, rigor across content areas, among others. "
NewSchools Venture Fund,706,Discovery Early College High School,Springfield,Massachusetts,Springfield Public Schools,"Discovery High School is a wall to wall, Early College High School focused on IT career pathways (Engineering, Computer Science and Digital Design). Our students can earn an Associates Degree by graduation at no cost to them."
KnowledgeWorks,653,Dolores Huerta Middle School,Santa Clara,California,N/A,"Using a collaborative and diverse representation of stakeholders for establishing lead design team(s) to create their equity and student-centered instructional framework aligned to their guiding principles, beliefs, and the district's portrait."
The Center for Learner Equity,671,Dr. William W. Henderson K-12 Inclusion School,Dorchester,Massachusetts,Boston Public Schools,"Dr. William W. Henderson K-12 Inclusion School was designed to be fully inclusive, based on feedback from the community. The school's inclusivity is weaved throughout its formation and reflected in how they design their classrooms, their hiring practices, and school wide co-teaching. The school culture celebrates diversity in a way that is inclusive of disability."
Big Picture Learning,262,Durango Big Picture High School,Durango,Colorado,Durango School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
