school_id,nominator_id,conf_status,school_name,school_city,school_state,school_district,school_within_school,nominator,nominator_reason,school_purpose,school_model,stage_n,implementation_years,blended_learning,competency_education,equity,experiential,staffing_infrastructure,learner_agency,maker,pbl,redefining_success,sel,udl,wraparound,station_rotation,flipped_classroom,lab_rotation,individual_rotation,flex,a_la_carte,enriched_virtual,opportunities_mastery,advancement_mastery,performance_assessment,grading_mastery,assessment_schedule,competency_framework,equity_plan,reallocation_resources,design_margins,restorative_practice,culturally_relevant,rigorous_coursework,elimination_tracking,graduation_supports,poverty_supports,immigrants_supports,ell_supports,flexible_staffing,flexible_facilities,flexible_schedule,real_time_data,quality_materials,oer,multi_age,devices_home,integrated_data,student_goals,student_pace,learning_paths,learner_profiles,student_conferences,student_data,projects_primary,student_projects,interdisciplinary,real_world,exhibitions,portfolios,career_prep,outside_credit,service_learning,local_focus,local_global,design_thinking,community_partnerships,makerspace,measures_college,measures_career,measures_deeper,measures_purpose,measures_sel,measures_climate,sel_plan,sel_curriculum,sel_integrated,circles,advisories,hiring_practices,relevant_learning,information_formats,ways_mastery,accommodations,data_instruction,adaptive_content,mentoring,mental_health,physical_health,community_support,open_hours,t1_confirmed_s,t2_confirmed_s,tag_evaluation_n,why_tag_evaluation_n,suggested_tags_n,tag_evaluation_s,why_tag_evaluation_s,nces_id,state_id,website,school_type,charter,magnet,no_grades,pk_grade,kg_grade,1_grade,2_grade,3_grade,4_grade,5_grade,6_grade,7_grade,8_grade,9_grade,10_grade,11_grade,12_grade,13_grade,ug_grade,ae_grade,low_grade,high_grade,level,CCD_student_count,native_count,native_percent,asian_count,asian_percent,hispanic_count,hispanic_percent,black_count,black_percent,white_count,white_percent,multiple_races_count,multiple_races_percent,hawaiian_native_count,hawaiian_native_percent,total_race_count,lunch_program,locale,locale_original,FRPL_count,FRPL_percent,direct_certification_count,direct_certification_percent,title_i_status,CRDC Total Enrollment,IDEA_percent,LEP_percent
22,"133, 139",Nominated,Blackstone Academy Charter School,Pawtucket,Rhode Island,Blackstone Academy Charter,No,"Great Schools Partnership, Center for Artistry and Scholarship","The model at Blackstone is based on the Ten Common Principles from the Coalition of Essential Schools.  The school is deeply committed to learning for each student and rapidly implementing a robust proficiency system.

The small educational environment at Blackstone Academy Charter School (BACS) helps foster independent inquiry, teamwork, and communication. Students develop the skills to solve problems and use their voices in ways that lead to success in the academic, social, and professional arenas, and they demonstrate their achievements through a process of discovery, presentation, and reflection. BACS was founded in aligned with the Coalition of Essential Schools  educational philosophy and Common Principles.  Community involvement and community improvement are key themes at BACS. In addition to classes, BACS's portfolio system structures the progression of their learning by having students study themselves and their relationships to others, move forward with an exploration of the local community, and ultimately integrate an understanding of the wider world as students become responsible, motivated, life-long learners.  Although classes include traditional tests, learning is also assessed through presentations and exhibitions of student work. In addition to classes, students complete three portfolios and a major senior project. These portfolios require reflection upon the school's 13 Habits of Mind, are presented to a panel, and are an important part of its proficiency based graduation system.  Blackstone Academy's 13 Habits of Mind are: collaboration, community engagement, creativity, gratitude, grit, humility, integrity, optimism, organization, self-advocacy, upstanderness, wellness, and zest. Along with the school's emphasis on self-reflection, competency-based learning, and growth mindset, these habits of mind create the conditions for young people who would be off-track to complete high school on time and find success in higher education.",,,Mature and going strong (more than 3 years),,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3, 3",,,,,440003600246,RI-54-26602,,Regular School,Yes,Not applicable,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,296,0,0.00%,2,0.68%,184,62.16%,66,22.30%,32,10.81%,11,3.72%,1,0.34%,296,Yes participating without using any Provision or the CEO,Suburban,"Suburban, Large",225,76.0%,,,Title I schoolwide school,244,15.6,3.3
26,134,Nominated,Canon City High School,Canon City,Colorado,none provided,No,Anonymous,"CTE and work-based, meet portfolio capstones, for all students.  Redesign of the only comprehensive high school in a rural community.",,,Early stage (0-3 years),,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,080279000172,CO-1140-1266,http://www.canoncityschools.org,Regular School,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,1037,8,0.77%,5,0.48%,122,11.76%,4,0.39%,871,83.99%,26,2.51%,1,0.10%,1037,Yes participating without using any Provision or the CEO,Rural,"Town, Distant",390,37.6%,210,20.3%,Not a Title I school,1056,11.0,0.9
29,62,Nominated,Central Elementary School,Lincoln,Rhode Island,Lincoln Public School,Not sure,Highlander Institute,"Central Elementary School is located in the heart of the Lime Rock neighborhood of Lincoln, RI with approximately 375 students in grades kindergarten through grade 5.   Over the past three years, Central has implemented a school-wide blended learning approach to their teaching and learning. Focusing on a station rotation model in grades K-3 and mixture of a flex/station model in grades 4-5.  There are three components that drive the work at Central;  data-driven instruction, differentiation, and school culture,   Data-driven Instruction: Every teacher has been trained in and uses formative assessment to develop their lessons.  Teachers use a family of measures to guide their instructions: such-as exit tickets, anecdotal evidence, and student work samples.   Differentiation:  Teachers use a flexible grouping process determined by student classroom data to differentiate the learning environment for their students.  Station rotations allow students to personalize their learning and have a choice in the pace of their learning.  These stations are teacher-led, student-led, and include independent learning opportunities, affording students multiple pathways for success.  They meet as a whole group for broad concept instruction, in small group with the teacher or 1:1 with support personnel for more intensive instruction, and work independently applying their learning.  School Culture: The culture of Central Elementary is purposefully designed and developed by a team of teachers, the school psychologist, and the principal.  A Positive Behavior Intervention Support (PBIS) team meets monthly to monitor and guide the school culture of respect, responsibility, and safety to self and others.  Monthly assemblies are held that celebrate student successes.  A Growth Mindset Culture has been adopted throughout the school and in the classrooms to promote student growth through perseverance, application, and rich learning experience   ",,,Early stage (0-3 years),,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,440057000134,RI-17-17109,,Regular School,No,Not applicable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,5,Elementary,346,0,0.00%,11,3.18%,11,3.18%,7,2.02%,306,88.44%,9,2.60%,2,0.58%,346,Yes participating without using any Provision or the CEO,Suburban,"Suburban, Large",22,6.4%,,,Not a Title I school,331,13.3,1.2
31,91,Nominated,Charles R. Drew Charter School,Atlanta,Georgia,Atlanta Public Schools/Locally-Approved Charter,No,Anonymous,,,,Mature and going strong (more than 3 years),,1,1,1,1,1,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,130012002453,GA-761-0201,,Regular School,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,1014,1,0.10%,5,0.49%,27,2.66%,705,69.53%,227,22.39%,47,4.64%,2,0.20%,1014,Yes participating without using any Provision or the CEO,Urban,"City, Large",431,42.5%,241,23.8%,Title I schoolwide school,1019,5.8,0.0
43,"130, 131",Nominated,Columbia High School,Nampa,Idaho,Nampa School District,No,Idaho Mastery Education Network - Idaho Department of Education,"Columbia High school incorporates instructional design choices that support student-centered learning and equity for all students. This strategic collaborative effort makes mastery education implementation available to students within a cohort learning model where teachers loop with students from grade level to grade level. This assures that learning never ends according to the calendar, but continues along a progression of skills that are transparent to students and teachers.  

Columbia has taken a unique approach as they implement Mastery-based Education in their school.  They are using a project-based, blended learning approach with a very specific gradual release plan.  Student voice and choice is central to their mission.  ",,,Early stage (0-3 years),,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4, 4",,"Student Cohort Learning Model with Teachers Looping

Teacher Looping through a student-centered learning model",,,160234000870,ID-131-0638,,Regular School,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,1335,6,0.45%,11,0.82%,445,33.33%,7,0.52%,820,61.42%,39,2.92%,7,0.52%,1335,No,,"Suburban, Midsize",675,50.6%,,,Title I schoolwide school,1384,0.0,1.8
51,"83, 83",Nominated,Da Vinci Extension,Hawthorne,California,Da Vinci Schools,No,ReSchool,"Created a college program as an extension of their HS programs in response to student and family demand. Started as a 5th year program and now an affordable, personalized way for kids to earn a 4 year degree.

Integration of homeschooling with place-based schooling",,,Mature and going strong (more than 3 years),,,,,1,1,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3, 2",,"family focused, flexible scheduling/learning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,77,Nominated,Derry Elementary,Port Isabel,Texas,Point Isabel ISD,No,Anonymous,"Exceptional commitment to pilot, sustain, and scale student centered blended learning for all students! ",,,Early stage (0-3 years),,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,483525003987,TX-031909-031909101,,Regular School,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,694,1,0.14%,0,0.00%,637,91.79%,3,0.43%,51,7.35%,2,0.29%,0,0.00%,694,Missing,Rural,"Town, Distant",619,89.2%,,,Title I schoolwide school,572,7.2,45.3
60,78,Nominated,Duchesne High School,Duchesne,Utah,Duchesne School District,No,Utah State Board of Education,"Duchesne County School District has established a solid foundation on which to build a Competency-Based Education program. We are well underway with establishing a standards-based grading system in which identifying priority standards, establishing pacing guides, and constructing proficiency scales are key components. These components will also be key components to our future Competency-Based Education plans. We have also developed an effective professional development system throughout our district following the pattern of Assessment to Achievement. This system includes our district team researching and developing the PD for School Transformation Teams. These school teams then present to their faculty and follow up with teacher to see that implementation takes place. We have successfully followed this pattern with such Evidence-Based Instructional Strategies as Questioning, Feedback, and Teacher Clarity. For the 2019-20 school year we will train our district in Personalized Learning. We want to expand on this to implement Competency-Based Education to secondary math, science, ELA, social studies, and CTE programs for the 2020-21 school year. From there we would like to implement CBE schoolwide in our secondary schools in 2021-22 and in elementary schools in 2022-23.",,,Early stage (0-3 years),,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,490024000162,UT-08-08708,http://www.dcsd.org/DuchesneHigh.cfm,Regular School,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7,12,High,363,2,0.55%,0,0.00%,22,6.06%,1,0.28%,334,92.01%,4,1.10%,0,0.00%,363,Yes participating without using any Provision or the CEO,Rural,"Rural, Remote",157,43.3%,,,Not a Title I school,378,14.8,1.1
61,88,Nominated,e3 Civic High School,San Diego,California,e3 Civic High,No,Next Gen Learning Challenges,"e3 came about through an extraordinary partnership of San Diego community groups, businesses, and government. It is housed in the new downtown main library building in truly spectacular physical space. Students make deep use of the library itself and many serve roles there as docents. The school has created a model that is a hybrid of many approaches we've seen in other NGLC schools. It is personalized, experiential, and places a high value on authentic work outside of the school; it has redesigned and articulated its definitions for student success; it has created new principles for what it means to be an e3 student that the students all appear to embrace; it makes great use of its next gen space and the proximity of the library and downtown San Diego. Students are able to speak with authority and real passion about the school and what it means to be a member of the e3 community. Most, maybe virtually all, students are involved in multiple forms of extracurricular and service projects. The head of school is a relentless problem-solver and opportunity-identifier and e3 has continuously refined and improved its model ever since its founding. It is a profoundly interesting place for other educators to visit.",,,Mature and going strong (more than 3 years),,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,063432013288,CA-3768338-0127647,http://www.e3civichigh.com,Regular School,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,458,–,,16,3.49%,311,67.90%,65,14.19%,53,11.57%,10,2.18%,3,0.66%,458,No,Urban,"City, Large",303,66.2%,,,Title I targeted assistance school,405,0.0,14.3
66,"47, 127",Nominated,"Ember Charter School for Mindful Education, Innovation, and Transformation",Brooklyn,New York,Ember Charter School,No,"Anonymous, Anonymous","Deep cultural and identify focus. Centered on Afrocentric curriculum. Teacher pathways modeled after law firms where teachers are partners. Experiential / exposure model. New definitions and models of student success.

Rafiq and his team are intently focused on creating a beloved community in which all students feel affirmed. The team at Ember has built and intentionally mindful learning environment that prioritizes inquiry in academics and student social-emotional development.",,,"Early stage (0-3 years)

Mature and going strong (more than 3 years)",,,,1,,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3, 3",what is missing is the identity and multicultural aspect,"student identity, trauma-integrated/informed practices",,,360104806255,NY-331600860975-331600860975,http://www.tfoaprofessionalprep.org,Regular School,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,KG,7,Elementary,427,15,3.51%,2,0.47%,88,20.61%,318,74.47%,2,0.47%,2,0.47%,0,0.00%,427,Yes participating without using any Provision or the CEO,Urban,"City, Large",286,67.0%,,,Title I schoolwide school,381,14.7,0.0
68,81,Nominated,Envision Academy,Oakland,California,Envision Education,No,National Center for Learning Disabilities,Their capstone portfolio assessments,,,Mature and going strong (more than 3 years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,069105110947,CA-0110017-0112607,http://www.envisionacademy.org/,Regular School,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,403,5,1.24%,9,2.23%,212,52.61%,150,37.22%,18,4.47%,4,0.99%,5,1.24%,403,No,Urban,"City, Large",299,74.2%,,,Title I schoolwide school,,,
74,137,Nominated,Strive Prep - Federal,Denver,Colorado,STRIVE Prep,No,Educurious,"This network of school is going to scale with social justice focused project-based learning with all social studies teachers. The teachers at Federal are leading this effort. They have wrap around services for students. Data is showing strong academic gains, increased social and emotional learning indicators and decreased discipline referrals.",,,Early stage (0-3 years),,,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Community focused,,,080336002012,CO-0880-8085,http://striveprep.org,Regular School,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,353,1,0.28%,3,0.85%,334,94.62%,7,1.98%,5,1.42%,3,0.85%,–,,353,Yes participating without using any Provision or the CEO,Urban,"City, Large",303,85.8%,126,35.7%,Title I schoolwide school,363,16.3,69.7
