nominator,school_id,school_name_n,school_city_n,school_state_n,school_district_n,nominator_reason
Center on Reinventing Public Education,581,Vimenti School,San Juan,Puerto Rico,NA,"Vimenti's 2-generation model is notable. They work with parents to lift them out of poverty and educate the child with intensive wraparound services and trauma-informed curriculum. In the context of Puerto Rico, Vimenti has weathered multiple traumatic disruptions prior to and including COVID, and their ability to continue students' learning given these disruptions is admirable."
Center on Reinventing Public Education,572,Black Mothers Forum original site (South Phoenix),Phoenix,Arizona,NA,"The founders used Prenda microschools as a foundation to intentionally design a model to affirm culture, identity, and academic needs of of Black students and correct for institutional racism they have encountered in schools. The innagural site in Phoneix is part of a network of microschools operating under the umbrella of one online charter school. The model uses inherent flexibility of microschooling to provide more individualized support for student learning and wellbeing."
Center on Reinventing Public Education,412,Renaissance Arts Academy,Los Angeles,California,LAUSD,"multi-age; performing arts; open-plan; ""ensemble"" learning; see: https://www.the74million.org/article/a-school-built-on-stagecraft-los-angeles-performing-arts-program-boasts-dance-music-and-outstanding-special-ed/"
Center on Reinventing Public Education,573,Southern Nevada Urban Micro Academy (SNUMA),North Las Vegas,Nevada,,"The microschool began as a pandemic-era response to the needs of the City of South Las Vegas, where city leaders felt students' needs were not being met by the Clark County School System. The microschool leverages external partners (Prenda and Cadence Learning) to support instruction and provide core curriculum, and days are structured to allow learning guides to provide one-on-one and small-group support to students as needed."
Center on Reinventing Public Education,575,Dayspring Academy,Port Richey,Florida,Pasco County School District,Structured dual enrollment program supports high school students to earn credits at local community college and provides counseling and support to increase college success for all students
Center on Reinventing Public Education,209,Two Rivers Public Charter School,Washington,District of Columbia,DCPS,"Two Rivers PCS is a notable example of project-based learning, personalization, deeper learning, and innovative assessment."
Center on Reinventing Public Education,576,Conductive Education Center of Orlando,Orlando,Florida,,Conductive education approach provides life-changing therapy for students with physical disabilities.
Center on Reinventing Public Education,580,My Reflection Matters Village,Waterbury,Connecticut,,My Reflection Matters Village is designed for families of Black and brown students to support their at-home learning. The community is designed to support each other and provide resources for student-driven learning.
Center on Reinventing Public Education,614,Gary Middle College,Gary,Indiana,NA,"Gary Middle College is part of GEO Academies, a network of charter schools in Indiana and Louisiana. GEO's approach focuses on supporting low-income students to enroll and succeed in college not just after high school, but in high school. Gary Middle College is an exemplar of this model. Starting in 9th grade, students can enroll in courses at nearby colleges and begin earning credits. Gary Middle College uses its K-12 funding to pay for these college courses, while stretching remaining funds to provide intensive wraparound supports for students, as well as smaller class sizes for students taking courses on the high school campus. As of 2021 over two thirds of Gary Middle College students graduate with college credits, some even with an Associate's degree."
Center on Reinventing Public Education,578,Jacksonville School for Autism,Jacksonville,Florida,,The school integrates classroom lessons with 1:1 ABA clinical therapy calibrated to the needs of individual students.
Center on Reinventing Public Education,577,North Florida School for Special Education,Jacksonville,Florida,,Transition program includes in-house businesses and partnerships with community employers that help students with moderate to severe disabilities prepare for adult life and employment.
Center on Reinventing Public Education,579,Chautauqua Learn and Serve Charter School,Panama City,Florida,Bay District Schools,"The school focuses fully on students with significant exceptionalities, providing service learning and peer learning opportunities to broaden the definition of a school experience for students with disabilities. Students engage meaningfully in the community and take international trips to meet with similar peers abroad. It's an off the beaten path charter school partnered with a public high school (to staff student mentors) led by a veteran special educator Cynthia McCauley. She has also worked to rebuild the school after a category 5 storm hit the community in 2018 and threw many students and families into disarray and poverty.
https://www.emeraldcoastmagazine.com/the-chautauqua-school/"
Center on Reinventing Public Education,582,Bridges Academy,Studio City,California,,"Bridges Academy is designed for unique and complex learners who are ""twice exceptional"" - gifted and with a disability. Their curriculum amazing with all kinds of customized exercises embedded. They are building a hybrid school model to accommodate learning partly online during the school day in the building."
Clayton Christensen Institute,527,Springs Studio for Academic Excellence,Colorado Springs,Colorado,Colorado Springs District 49,"Springs Studio provides a flexible, blended learning program that adapts to students' needs and interests."
Clayton Christensen Institute,524,Slope School,Provo,Utah,,Slope School is a pioneering microschool.
Clayton Christensen Institute,526,Crossroads Flex,Cary,North Carolina,Wake County Public School System,"Crossroads FLEX serves students whose outside interests and activities such as the arts, sports, and entrepreneurship."
Clayton Christensen Institute,500,Innovations Early College High School,Salt Lake City,Utah,Salt Lake City School District,Innovations Early College High School has a highly flexible instructional model that adapts to students' needs and enables them to pursue their passions.
Clayton Christensen Institute,498,Wilder Middle School,Wilder,Idaho,Wilder School District 133,Wilder has developed a flexible learning environment that leverages blended learning to empower students.
Clayton Christensen Institute,122,Map Academy,Plymouth,Massachusetts,n/a,Map Academy has developed a flexible learning environment that re-engages at-risk students and puts them on a trajectory to success.
Clayton Christensen Institute,499,Village Academy,Colorado Springs,Colorado,Academy School District 20,Village Academy has developed a flexible learning environment that adapts to students' needs and interests and empowers them to pursue their interests and passions.
Clayton Christensen Institute,525,The Charter School of San Diego,San Diego,California,Altus Schools,The school has a flexible learning model that supports students needs and interests.
Colorado Education Initiative,520,Penrose Elementary School,Penrose,Colorado,Fremont Re-2 School District,"School-wide focus on design thinking protocols to help students - as young as kindergarten - develop their skills and competencies aligned with the district's graduate profile. Students own their own learning and practice the being problem solvers, critical thinkers, and leaders. They endeavor to be innovative, creative, and strong communicators while solving their design challenges, and learn to be determined, resilient, and goal-oriented."
Colorado Education Initiative,521,Middle Park HS,Granby,Colorado,East Grand School District,"As part of the Homegrown Talent Initiative, Middle Park HS has worked over the past several years to build out a career-connected learning platform for each and every student they serve. MPHS now offers expanded and enhanced CTE, certifications, and concurrent enrollment experiences for their students in addition to a robust community-based internship program. They even purchased a food truck to serve as a lab for culinary, business, marketing, and their arts program, serving both general education and exceptional students."
Colorado Education Initiative,522,Yampa Valley High School,Steamboat Springs,Colorado,Steamboat Springs School District,"Yampa Valley High School has redesigned their approaches to student-centered learning with a focus on helping students discover their individual strengths and identities and to develop their unique paths to a successful future. The do this by nurturing a culture of personal growth, collaboration, and acceptance through meaningful relationships and learning experiences to promote academic and personal success. They focus on meeting each and every student where they are at, and on building a community that promotes acquisition of the competencies outlined in their graduate profile."
Colorado Education Initiative,26,Canon City High School,Canon City,Colorado,Canon City School District,"Canon City High School offers the most compelling set of coherent, aligned career connected learning experiences to the students it serves that I have ever seen. Starting with robust career pathways which are core-curriculum aligned, to the comprehensive career and technical education program which results in 100s of industry certifications, to the P-TECH program, where students graduate with both a high school and associates degree, to the internship program, in which every student participates, to the ""Capstone for All"" graduation requirement - where every student demonstrates competence in the Canon City ""Skills and Traits"" graduate profile.  There is even a ""school within a school"" Open Pathway for students who don't connect with the offered career pathways. This is the most complete, most equitable, and more authentic district school experience I know of."
Competency Collaborative,629,Brooklyn International High School,New York,New York,New York City Department of Education,"competency-based learning, culturally responsive-sustaining education, interdisciplinary project-based learning, family and community support services, social-emotional learning, cogenerative processes (involving students in curricular design), designing for equity, alternative assessments (performance tasks instead of standardized tests)"
Competency Collaborative,634,Hunter's Point Community Middle School,"Queens, NY",New York,NYC Department of Education,"project-based learning, competency-based learning, culturally responsive-sustaining education, family and student support services, social-emotional learning, designing for equity, crew advisory, coding partnership with Cornell Tech, partnership with the Billion Oyster Project, strong support for students with IEPs, innovative curriculum design"
Competency Collaborative,631,South Bronx Academy for Applied Media,"Bronx, New York",New York,NYC Department of Education,"competency-based learning, culturally responsive-sustaining education, trauma-informed pedagogy, social-emotional learning, meaningful student input, family and student support services, project-based learning, designing for equity"
Competency Collaborative,630,Crotona International High School,"Bronx, New York",New York,NYC Department of Education,"interdisciplinary project-based learning, competency-based learning, culturally responsive-sustaining education, family and student support services, social-emotional learning, designing for equity, alternative assessments (performance tasks rather than standardized tests for all but English and Math)"
Competency Collaborative,633,The Urban Assembly Unison School,"Brooklyn, NY",New York,NYC Department of Education,"Middle school Career and Technology Exploration Programs (CTEPs) in Hydroponics, Computer Coding, Computer Programming, and Performing Arts and Engineering; project-based learning, competency-based learning, culturally responsive-sustaining education, family and student support services, meaningful student input, social-emotional learning, designing for equity"
Competency Collaborative,632,MAELS - Marsh Avenue Expeditionary Learning School,"Staten Island, New York",New York,NYC Department of Education,"competency-based learning, culturally responsive-sustaining education, student-led conferences, social-emotional learning, designing for equity, student-centered learning; and through https://eleducation.org/, project-based learning, Crew"
Competency Collaborative,595,Williamsburg High School of Arts and Technology,"Brooklyn, New York",New York,NYC Department of Education,"competency-based learning, culturally responsive-sustaining education, art woven into all academic disciplines, family and student support services, social-emotional learning, designing for equity, focus on equitable and effective support of students with IEPs, participatory budgeting for school offerings, Spanish Bilingual Computer Science and Technology, Digital Media and Web Design"
Empower Schools,584,Coquillard Elementary School,South Bend,Indiana,"South Bend Empowerment Zone, South Bend Community School Corporation","Coquillard Elementary is part of the South Bend Empowerment Zone, which includes 5 South Bend Community School Corporation Schools, whose vision is to be a system of schools that eliminates academic and social/emotional opportunity gaps and nurtures the greatness that exists within each child to confidently thrive in our city, nation, and world. Its mission is to nurtures the mind, body, and spirit of each child by harnessing the power of community and empowering every student with a high quality public education.

The South Bend Empowerment Zone is directly accountable to a non-profit Board. The Board consists of both local independent and South Bend School Corporation members, allowing community voice a critical role in the process of transforming neighborhood schools. This arrangement allows the Zone Schools to have flexibility and decision-making authority to innovate and dramatically transform student achievement and growth. 

Over the last three years of the Empowerment Zone, Coquillard has transformed its school culture and learning environment to one that is student-centered and is leaning into the mission and vision of the Zone. Upon entering the building, its walls affirm students identities and it is clear that teachers have close relationships with their students. This transformation has included adopting new core curriculum, investing heavily in family partnerships and emotional supports (including increasing social workers and developing new positions such as Peace Builders and Dean of Student Culture). The school has established a preK program with an eye towards long term success and has reimagined staff culture to deeply commit to serving student and family need. "
Fielding International,493,Exploration High School,Minneapolis,Minnesota,N/A,"What most stands out is how the learning environment is designed to adapt to the unique needs, gifts, interests, and life experiences of the students. This starts by prioritizing relationships and student wellbeing, and using more flexible structures including time and space that cultivates agility within the learning environment."
Fielding International,493,Exploration High School,Minneapolis,Minnesota,N/A,"What stands out is how the entire learning ecosystem is designed to adapt to the unique needs, gifts, and life experiences of the students. That, paired with an ongoing commitment to marry student voice with community difference making, and the environment becomes a place centered on deep relationships, well-being, and purpose-driven learning experiences."
Great Schools Partnership,140,Noble High School,"North Berwick, Maine",Maine,School Administrative District 60,"Noble has tightly interwoven proficiency-based learning, student agency, and equity into their learning program.  The school has developed myriad ways to support student learning that ensures equitable outcomes and student choice."
GreatSchools,563,Jimmy Carter Early College High School,La Joya,Texas,N/A,Outstanding academic practices which have resulted in a strong history of post-secondary success.
GreatSchools,552,Arabia Mountain High School,Lithonia,Georgia,N/A,"Instructional core, student-centered learning, and innovative practices to advance equity. They are also recipients of GreatSchools' College Success Award."
GreatSchools,142,North Edgecombe High School,Edgecombe,North Carolina,N/A,Interest-driven projects for students
GreatSchools,261,Denver School of Science & Technology: Stapleton High School,Denver,Colorado,N/A,Structures of 'school' to advance student-centered learning.
GreatSchools,556,IDEA Frontier College Prep,Weslaco,Texas,IDEA public schools,Personalized learning experiences for students
GreatSchools,562,Salem Academy Charter School,Salem,Massachusetts,N/A,Rigorous coursework that is accessible to all students.
GreatSchools,561,Valle Verde Early College High School,El Paso,Texas,N/A,Outstanding learner-centered practices that have resulted in strong post-secondary outcomes.
GreatSchools,555,Grayson High School,Loganville,Georgia,N/A,Student-centered learning
GreatSchools,276,Grand Rapids Public Museum,Grand Rapids,Michigan,,Reimagining the instructional core
GreatSchools,204,Metropolitan Career Tech Center,Providence,Rhode Island,Big Picture Learning network,The MET provides students with the opportunity to direct their own learning through internships.
GreatSchools,558,Young Women’s Preparatory Academy,Miami,Florida,N/A,Learner-centered education and outstanding post-secondary success
GreatSchools,560,Veterans Memorial Early College,Brownsville,Texas,N/A,Supportive staff and unique organizational structures to advance academic learning.
Indiana Department of Education,529,Brown County High School,Nashville,Indiana,Brown County Schools,"Brown County High School has developed an outstanding School Based Enterprise in Eagle Manufacturing.  Students are able to learn all aspects of the manufacturing business including marketing, sales, management, and advanced manufacturing skills and processes. When we visited, it was apparent that students are truly empowered to take leadership roles and run the business while receiving guidance from school staff. In our short visit, these students' Employability Skills were fully displayed in their ability to communicate their business model and operating procedures. This is a great example of how to give students real-world experiences without leaving the high school campus!"
Indiana Department of Education,531,Arsenal Tech High School,Indianapolis,Indiana,Indianapolis Public Schools (IPS),"Arsenal Tech is one of four IPS All-Choice High Schools that offer 9-12 grade students a diverse and rigorous curriculum by specializing in five College and Career Options: Math and Science Academy; Law and Public Policy; Career Technology Center (14 different career-based options: culinary, cosmetology, welding, etc); Construction, Engineering, and Design Academy; and New Tech (project-based learning). All freshmen are supported by a team of designated administrators, counselors, and social workers who meet regularly with each student to provide consistent mentorship, guidance, and compassion ensuring student success toward employment, enrollment, or enlistment leading to service."
Mastery Transcript Consortium,532,Cabot School,Cabot,Vermont,Cabot School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,7,American Academy of Innovation,South Jordan,Utah,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,540,Delta School,Wilson,Arkansas,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,545,Acton Academy Venice Beach,Venice,California,,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,538,Grayson School,Radnor,Pennsylvania,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,502,Liberty Academy,Liberty,Missouri,Liberty Public Schools,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,84,Gibson Ek High School,Issaquah,Washington,Issaquah School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,539,Enosburg Falls High School,Enosburg Falls,Vermont,Enosburg-Richford District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,544,Brightworks,San Francisco,California,,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,501,Launch High School,Cedar City,Utah,Iron County School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,466,The Forest School,Fayetteville,Georgia,,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,541,Clark Street Community School,Middleton,Wisconsin,Middleton-cross Plains Area School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,537,Northern Cass High School,Hunter,North Dakota,Northern Cass 97,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,503,MAP St. Louis,St. Louis,Missouri,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,536,Mead High School Design Studio,Spokane,Washington,Mead School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,473,Winooski High School,Winooski,Vermont,Winooski School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,570,Two Rivers Big Picture School,North Bend,Washington,Snoqualmie Valley School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,567,Springhouse Community School,Floyd,Virginia,,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,565,Rise Academy,Soap Lake,Washington,Soap Lake School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,566,Sequoyah School,Pasadena,California,,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,564,Phillips Academy Workshop,Andover,Massachusetts,,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,568,Swiftwater Learning Center,Cle Elum,Washington,Cle Elum-Roslyn School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,569,Sycamore School,Arlington,Virginia,,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,332,Pathways High,Milwaukee,Wisconsin,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,571,Utah Schools for the Deaf & Blind,Ogden,Utah,Utah Schools for Deaf & Blind,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
MiCoOp,534,Year-round School at Turrill Elementary School,Lapeer,Michigan,Lapeer Community Schools,"Lapeer Community Schools offers traditional and year-round options for parents of K-8 students. Turrill Elementary School is the only elementary school in the district that offers a balanced calendar. It is also the largest of the elementary schools and has a waitlist for enrollment. Not only do parents have this option for their children, but teachers can also choose to teach there rather than in a traditional setting.

Besides a different schedule than the traditional buildings, the difference at Turrill is the intersessions that take place during their breaks in October, February, and March. Each intercession has a theme, is taught by a lead teacher/coordinator, and has an affordable tuition rate for the week. Scholarships may be available for those who cannot afford tuition. Activities may include field trips, assemblies, technology projects, and arts-based activities along with traditional academic exercises including reading, writing, and math.

These additional learning opportunities can address gaps in learning, provide exploration options for students, and allow them to pursue passions."
MiCoOp,535,CLK Engage,Calumet,Michigan,,"CLK Elementary School began CLK Engage beginning the 2021-22 school year. This microschool is an opt-in option for parents with students in grades 1-3. They plan to add grades 4 and 5 next school year. There are currently three teachers and 60 students in the microschool. After a 10-15 minute morning meeting where all gather, students go to their homeroom. Students move during the day based on assessment data in reading and math. For example, a ""first-grade"" student performing above grade level in reading will attend the ""second-grade"" teacher's reading class while a ""third-grader"" needing more time to develop foundational math skills will attend a ""second-grade"" math class. Students move along the scope and sequence continuum in these subjects without being held back or forced to move forward because of their traditional grade level. 

All students receive whole group and small group instruction from their teachers. Instruction in core subjects other than reading and math is received from their homeroom teacher and students still participate in elective courses like physical education and art. While technology is used in the classroom as a resource and for supplementary activities, students spend most of their time physically with their teachers. Place-based learning opportunities are embedded into the CLK Engage program through local field trips and “Fun Friday” activities. 

While the demographics for most of the students are similar, every student is on a different learning journey. CLK Engage is addressing the individual learning paths for all students, helping them to reach their highest potential."
MiCoOp,635,Stream School,Hamilton,Michigan,Hamilton Community Schools,"Students in grades 6-9 have the opportunity to enroll in STREAM School and spend part of their day at the Outdoor Discovery Center. Inquiry and project-based learning approaches are used for students to master state standards as well as prepare them for success in future careers and educational choices. Students connect their learning to the world they live in and learn beyond habitats or statistics to high-order skills such as teamwork, leadership, and stewardship. 

Projects connect to real-world opportunities. Teachers work alongside local professionals to develop project ideas and connect the content to the project. A community of people works together to make Stream School successful and the students also learn that they are part of the community."
Office of Innovation for Education in Arkansas,547,Rogers New Technology High School,Rogers,Arkansas,N/A,"Rogers New Technology High School (RNTHS) views their learners as school and community leaders, co-designers, and partners in ""school"". Facilitators (teachers) work with learners to understand what issues and needs they have, what interests and gifts they possess, and who they are as a person. Through this personal connection, learners are more engaged, have more autonomy and personal and collective agency, are motivated, and help design learning and how they demonstrate learning. RNTHS also uses standards-based grading and focuses on student learning outcomes that target the whole person and deeper learning skills such as collaboration and critical thinking.
The goal of RNTHS is to create a partnership between student learners and adult learners. Adult learners are the facilitators (teachers) who partner with students to help them understand the content and help student learners find personal relevance in their work. They achieve this goal through project-based instructional practices which allows student voice and choice, internships which allow students to learn in their communities, and student leadership which has created service projects throughout their community to guide their purpose. Rogers New Technology High School is built on a culture of transparency and constant feedback loops to improve every day.
"
Open Way Learning,518,Richland 2 Institute of Innovation,Columbia,South Carolina,,"R2I2 is setting the gold standard for how students can work directly with businesses and community organizations to not only apply academic skills they are learning as part of their high school experience, but to do so in a deeply learner-centered environment that enables them to develop success skills such as collaboration, creative problem solving, design thinking, and entrepreneurship that they will use for a lifetime. Such opportunities are available to all students in the Richland 2 district, with a particular emphasis on equity."
Tennessee Charter School Center,49,Crosstown High School,Memphis,Tennessee,Shelby County School District,Project based learning
Tennessee Charter School Center,554,Ivy Academy,Chattanooga,Tennessee,Hamilton County,I love how the school uses agriculture to to advance equity in student learning. It is a very unique school.
The Learning Accelerator,601,New Harmony High,New Orleans,Louisiana,N/A,Place-based focus on environment and Louisiana's fragile coast. Clear orientation towards equity and student agency in school design.
The Learning Accelerator,499,Village High School,Colorado Springs,Colorado,Academy School District 20,"The school provides a flexible schedule for students involved in athletics, music, theater, or other community activities. Students learn through individualized competency-based curriculum, engage in collaborative problem solving activities, and conduct personal inquiry investigations. All upperclassmen have the opportunity to participate in community-based career exploration and internship experiences. Each grade level has a small number of students. This small learning environment allows the school to build deep relationships with students and to further personalize the learning experience."
The Learning Accelerator,603,360 High School,Providence,Rhode Island,Providence Schools,"Mastery-based high school serving an urban student body in Providence. Focus on personalized learning and provides 360 degrees of personalization, opportunity and support for each student."
The Learning Accelerator,204,Met High School,Providence,Rhode Island,The Met,"Every student has an individualized learning plan built around that child’s needs and interests. The school includes internships, ILPs, advisory, and a breakthrough college transition program. Part of Big Picture Learning."
The Learning Accelerator,602,Highlander Charter School,Providence,Rhode Island,N/A,Situated in an urban environment with high-need population. Has been one of the the pioneering schools in RI to focus on student-centered and personalized learning. Committed to social justice and citizenship.
The Learning Accelerator,591,CityLab High School,Dallas,Texas,Dallas ISD,"Physically built with no walls and located in downtown Dallas. This is a project-based learning school that focuses on urban planning an architecture. They do a lot of design challenges and work with groups like the city council, museums, art organizations, etc and have very strong authentic project-based learning. They do a lot of cross curricular projects."
The Learning Accelerator,617,The Innovation Center of St. Vrain Valley Schools,Longmont,Colorado,St. Vrain Valley School District,"This is not a school in the traditional sense as all students in the district are eligible to take courses in it. They offer a wide range of hands-on learning courses. Students get certified to be technicians for Apple, Google, and Microsoft, and strong students get hired and get paid jobs to fix devices for the district. Students work with robotics and get contracts with organizations like the Department of Defense. They have biomedical labs, A/V equipment, and more. Very authentic hands-on learning and application."
The Learning Accelerator,57,Design 39 Campus,San Diego,California,Poway Unified School District,This was a school incubated by a handpicked principal and teachers. They engaged a lot of stakeholders. The school they built incorporates design thinking. Students are encouraged to be entrepreneurial with many elementary students setting up businesses. Spaces are intentionally created to facilitate collaboration and creativity.
The Learning Accelerator,589,Personalized Learning Prep,Dallas,Texas,Dallas ISD,"They have pillars that are their guiding principles and they do a strong job of actualizing these (be intentional, be compassionate, be reflective, be empowered). Students set daily goals in morning meetings on which pillar they want to focus on. Students actually reflect on them and not just surface level. Very high level of personalization. Developed a strong portrait of a graduate that is tied to their pillars. Strong identity as a campus as a result."
The Learning Accelerator,50,Dan Rogers Elementary,Dallas,Texas,Dallas ISD,"They have a strong instructional model that individualizes instruction with teachers leveraging tools like playlists, small group instruction, and learner profiles. Incredible job around social-emotional learning and well-being of kids especially in the last couple of years. They are working on performance-based assessments and increasing opportunities for authentic student agency. This school is often used as a showcase site for external visitors to see personalized learning in Dallas ISD in action."
