Tag,Variable name,Description,Cluster 2023 (canopy-dac-23 > scripts > clustering23),Cluster 2022,"Cluster 2019 (factor analysis, blog post)",Proposed Cluster for Preliminary '24 Analysis,Strength of Fit for Preliminary '24 Analysis,Notes
reallocation of resources for those most in need,,"Distributing school resources equitably, so students receive support and resources according to their need rather than every student receiving the same supports. (Example: assigning most experienced and highest skilled teachers to students needing the most help.)",No cluster,Ed justice,Equity & SEL,Ed justice,Weaker,
SEL curriculum,,The learning environment has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,No cluster,Ed justice,Equity & SEL,Ed justice,Weaker,
translanguaging,,"All students are encouraged to use all languages or dialects they know to make meaning, communicate, and participate in schooling without separation of languages (e.g., ""English time"" vs. ""Spanish time""; enforcing English use in shared spaces; or discouraging AAVE and other ""nonstandard"" English forms).",NOT Deeper learning; Ed justice,N/A,N/A,Ed justice,Weaker,
blended learning,,"Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.",Individualized,Blended,Blended,Individualized,Stronger,
flex model,,"A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis. In some cases students may have individual schedules set by a teacher or software algorithm that determine which stations they will rotate through (also known as ""individual rotation"").",Individualized,Blended,Blended,Individualized,Stronger,
flipped classroom,,"A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.",Individualized,Blended,Blended,Individualized,Stronger,
interoperable data from multiple technologies,,"Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.",Individualized,Blended,Blended,Individualized,Stronger,
station rotation,,"A blended learning model in which students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station. In some cases the online learning station may be a computer lab (also known as ""lab rotation"").",Individualized,Blended,Blended,Individualized,Stronger,
students access their own data,,Students (and families) can access their own learning and assessment data in real time.,Individualized,Blended,Blended,Individualized,Stronger,
1:1 mentoring,,Students connect with adults in and/or outside of the learning environment for 1:1 mentoring and regular check-in meetings.,Individualized,Flexible pathways,Pathways to College/Career,Individualized,Weaker,
accommodations provided to all students,,"Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.",No cluster,Flexible pathways,Blended,Individualized,Weaker,
self-paced learning,,Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,Individualized,Flexible pathways,Competency-based; Blended,Individualized,Weaker,
à la carte model,,A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,Postsecondary,Postsecondary,Pathways to College/Career,Postsecondary,Stronger,
assessments for career readiness,,The learning environment assesses students' readiness to enter the workforce and pursue a career path.,Postsecondary,Postsecondary,Pathways to College/Career,Postsecondary,Stronger,
career prep and work-based learning,,"The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.",Postsecondary,Postsecondary,Pathways to College/Career,Postsecondary,Stronger,
community and business partnerships,,"Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.",Postsecondary,Postsecondary,Pathways to College/Career; Project-based,Postsecondary,Stronger,
early college high school,,"A hybrid of high school and college, where all students take both high school and college classes simultaneously, earning credit towards a college degree.",Postsecondary,Postsecondary,N/A,Postsecondary,Stronger,
extended learning opportunities,,"Students can access credit-bearing learning experiences outside of school (e.g. internship, service learning, training, etc).",Postsecondary,Postsecondary,"Pathways to College/Career (""outside credit"")",Postsecondary,Stronger,
students earn industry credentials,,"Students can earn industry-issued or recognized credentials as a verification of a their qualifications or competence, in fields such as agriculture, hospitality & tourism, health, information technology, etc.",Postsecondary,Postsecondary,N/A,Postsecondary,Stronger,
community-based organizations as co-leaders,,"The learning environment involves community-based organizations in shared decision-making, and communicates how CBO input has informed decision-making. This may include strategies such as offering learning hubs and integrating expertise into schools.",Postsecondary,N/A,N/A,Postsecondary,Weaker,
industry-based partners as co-leaders,,"The learning environment involves industry-based partners in shared decision-making, and communicates how these partners' input has informed decision-making. This may include strategies such as designing career pathways, developing curriculum and assessments, or offering validated work-based learning as a core part of the school's
design.",Postsecondary,N/A,N/A,Postsecondary,Weaker,
assessments for agency and self-directed learning,,"Tests are administered to measure student performance on various dimensions of self-directed learning (e.g., self-awareness, agency, goal-setting and planning, etc.)",No cluster,???,"??? (""measures_purpose"" was in Equity & SEL)",None,,
bilingual assessments,,Tests are designed and administered to build on students' bilingual abilities.,NOT Deeper learning,N/A,N/A,None,,
disaggregated data on student participation,,"The learning environment tracks data on the extent to which different groups of students (e.g., by race, gender, disability, socioeconomic status) participate in programs to ensure that students have equitable access.",No cluster,No cluster,N/A,None,,
dual language programming,,A form of bilingual education in which students are taught literacy and content in two languages.,NOT Deeper learning,No cluster,N/A,None,,
enriched virtual model,,"A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.",No cluster,Blended,Pathways to College/Career,None,,
expanded open hours,,The learning environment is open outside of normal hours and during vacations to support learning and offer services.,No cluster,Flexible pathways,Equity & SEL,None,,
families as co-leaders,,"The learning environment involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.",No cluster,No cluster,N/A,None,,
flexible facilities & classroom design,,"Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.",No cluster,Flexible pathways,Project-based,None,,
flexible staffing & alternative teaching roles,,"The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.",No cluster,Flexible pathways,Project-based,None,,
grading policies focus on mastery,,"Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.",Individualized,Deeper learning,Competency-based,None,,
heritage language course(s),,"A course, or set of courses, designed to support reading, writing, and speaking for students' heritage language (defined as a non-English language they have extensive personal, familial, or community connection to). Similar to English language arts for English speakers but created for non-English languages.",No cluster,N/A,N/A,None,,
individual learning paths,,Students choose unique learning pathways that are relevant to their interests and passions.,No cluster,Flexible pathways,Pathways to College/Career; Competency-based,None,,
multi-age classrooms,,"Classrooms include students of many ages, rather than grouping them by age or grade band.",Deeper learning,Flexible pathways; NOT Blended,Pathways to College/Career,None,,
multi-tiered system of support (MTSS) in academics,,"The learning environment has an explicit multi-tiered system of support wherein students progress is monitored for all students, and students who are progressing at a slower pace are provided with structured academic interventions aligned to their academic needs with varying tiers of intensity. Progress is tracked in an ongoing manner for all students to inform fluid intervention decisions.",No cluster,No cluster,N/A,None,,
individual learner profiles,,"Profiles extend across multiple years and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn. ",N/A,Flexible pathways,Pathways to College/Career,None,,
no tracked classes,,"Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.",Deeper learning; Ed justice,Postsecondary,Pathways to College/Career,None,,
peer to peer support,,"The learning environment creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, peer assessment, accountability partners, etc.",No cluster,No cluster,N/A,None,,
service learning,,"Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.",No cluster,No cluster,Project-based,None,,
student advisories,,"Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",Ed justice,Deeper learning,Pathways to College/Career,None,,
students as co-leaders,,"The learning environment involves students in shared decision-making, and communicates how student input has informed decision-making. This may include strategies such as student advisory councils, input on curriculum and culture-setting, etc.",Postsecondary,Flexible pathways; NOT Blended,N/A,None,,
tutoring,,"Students regularly experience 1:1 or small-group teaching toward a specific learning goal. Note: In high-impact tutoring, students work with a consistent tutor, multiple times per week, in sessions that are integrated with the learning environment's curriculum and schedule (as opposed to a supplemental or out-of-school program).",Individualized; NOT Deeper learning,No cluster,N/A,None,,
universal design for learning,,"The learning environment is designed to proactively meet the needs of all learners by identifying barriers to learning in the design of the environment, not in the student. This helps educators differentiate to effectively instruct a diverse group of students, regardless of whether students have an Individualized Education Program (IEP).",No cluster,No cluster,Competency-based,None,,
advancement on mastery,,"Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",Individualized; Deeper learning,Flexible pathways,Competency-based; Blended,None?,,
student-led goal setting,,"Students set and pursue their own learning goals, as well as self-assess their progress.",Individualized; Deeper learning,No cluster,Competency-based,None?,,
