"nominator","school_id","school_name_n","school_city_n","school_state_n","school_district_n","nominator_reason_n","year"
"Great Schools Partnership, Center for Artistry and Scholarship",22,"Blackstone Academy Charter School","Pawtucket","Rhode Island","Blackstone Academy Charter","The model at Blackstone is based on the Ten Common Principles from the Coalition of Essential Schools.  The school is deeply committed to learning for each student and rapidly implementing a robust proficiency system.

The small educational environment at Blackstone Academy Charter School (BACS) helps foster independent inquiry, teamwork, and communication. Students develop the skills to solve problems and use their voices in ways that lead to success in the academic, social, and professional arenas, and they demonstrate their achievements through a process of discovery, presentation, and reflection. BACS was founded in aligned with the Coalition of Essential Schools  educational philosophy and Common Principles.  Community involvement and community improvement are key themes at BACS. In addition to classes, BACS's portfolio system structures the progression of their learning by having students study themselves and their relationships to others, move forward with an exploration of the local community, and ultimately integrate an understanding of the wider world as students become responsible, motivated, life-long learners.  Although classes include traditional tests, learning is also assessed through presentations and exhibitions of student work. In addition to classes, students complete three portfolios and a major senior project. These portfolios require reflection upon the school's 13 Habits of Mind, are presented to a panel, and are an important part of its proficiency based graduation system.  Blackstone Academy's 13 Habits of Mind are: collaboration, community engagement, creativity, gratitude, grit, humility, integrity, optimism, organization, self-advocacy, upstanderness, wellness, and zest. Along with the school's emphasis on self-reflection, competency-based learning, and growth mindset, these habits of mind create the conditions for young people who would be off-track to complete high school on time and find success in higher education.",2019
"Anonymous",26,"Canon City High School","Canon City","Colorado",NA,"CTE and work-based, meet portfolio capstones, for all students.  Redesign of the only comprehensive high school in a rural community.",2019
"Highlander Institute",29,"Central Elementary School","Lincoln","Rhode Island","Lincoln Public School","Central Elementary School is located in the heart of the Lime Rock neighborhood of Lincoln, RI with approximately 375 students in grades kindergarten through grade 5.   Over the past three years, Central has implemented a school-wide blended learning approach to their teaching and learning. Focusing on a station rotation model in grades K-3 and mixture of a flex/station model in grades 4-5.  There are three components that drive the work at Central;  data-driven instruction, differentiation, and school culture,   Data-driven Instruction: Every teacher has been trained in and uses formative assessment to develop their lessons.  Teachers use a family of measures to guide their instructions: such-as exit tickets, anecdotal evidence, and student work samples.   Differentiation:  Teachers use a flexible grouping process determined by student classroom data to differentiate the learning environment for their students.  Station rotations allow students to personalize their learning and have a choice in the pace of their learning.  These stations are teacher-led, student-led, and include independent learning opportunities, affording students multiple pathways for success.  They meet as a whole group for broad concept instruction, in small group with the teacher or 1:1 with support personnel for more intensive instruction, and work independently applying their learning.  School Culture: The culture of Central Elementary is purposefully designed and developed by a team of teachers, the school psychologist, and the principal.  A Positive Behavior Intervention Support (PBIS) team meets monthly to monitor and guide the school culture of respect, responsibility, and safety to self and others.  Monthly assemblies are held that celebrate student successes.  A Growth Mindset Culture has been adopted throughout the school and in the classrooms to promote student growth through perseverance, application, and rich learning experience   ",2019
"Anonymous",31,"Charles R. Drew Charter School","Atlanta","Georgia","Atlanta Public Schools/Locally-Approved Charter",NA,2019
"Idaho Mastery Education Network - Idaho Department of Education",43,"Columbia High School","Nampa","Idaho","Nampa School District","Columbia High school incorporates instructional design choices that support student-centered learning and equity for all students. This strategic collaborative effort makes mastery education implementation available to students within a cohort learning model where teachers loop with students from grade level to grade level. This assures that learning never ends according to the calendar, but continues along a progression of skills that are transparent to students and teachers.  

Columbia has taken a unique approach as they implement Mastery-based Education in their school.  They are using a project-based, blended learning approach with a very specific gradual release plan.  Student voice and choice is central to their mission.  ",2019
"ReSchool",51,"Da Vinci Extension","Hawthorne","California","Da Vinci Schools","Created a college program as an extension of their HS programs in response to student and family demand. Started as a 5th year program and now an affordable, personalized way for kids to earn a 4 year degree.

Integration of homeschooling with place-based schooling",2019
"Anonymous",55,"Derry Elementary","Port Isabel","Texas","Point Isabel ISD","Exceptional commitment to pilot, sustain, and scale student centered blended learning for all students! ",2019
"Utah State Board of Education",60,"Duchesne High School","Duchesne","Utah","Duchesne School District","Duchesne County School District has established a solid foundation on which to build a Competency-Based Education program. We are well underway with establishing a standards-based grading system in which identifying priority standards, establishing pacing guides, and constructing proficiency scales are key components. These components will also be key components to our future Competency-Based Education plans. We have also developed an effective professional development system throughout our district following the pattern of Assessment to Achievement. This system includes our district team researching and developing the PD for School Transformation Teams. These school teams then present to their faculty and follow up with teacher to see that implementation takes place. We have successfully followed this pattern with such Evidence-Based Instructional Strategies as Questioning, Feedback, and Teacher Clarity. For the 2019-20 school year we will train our district in Personalized Learning. We want to expand on this to implement Competency-Based Education to secondary math, science, ELA, social studies, and CTE programs for the 2020-21 school year. From there we would like to implement CBE schoolwide in our secondary schools in 2021-22 and in elementary schools in 2022-23.",2019
"Next Gen Learning Challenges",61,"e3 Civic High School","San Diego","California","e3 Civic High","e3 came about through an extraordinary partnership of San Diego community groups, businesses, and government. It is housed in the new downtown main library building in truly spectacular physical space. Students make deep use of the library itself and many serve roles there as docents. The school has created a model that is a hybrid of many approaches we've seen in other NGLC schools. It is personalized, experiential, and places a high value on authentic work outside of the school; it has redesigned and articulated its definitions for student success; it has created new principles for what it means to be an e3 student that the students all appear to embrace; it makes great use of its next gen space and the proximity of the library and downtown San Diego. Students are able to speak with authority and real passion about the school and what it means to be a member of the e3 community. Most, maybe virtually all, students are involved in multiple forms of extracurricular and service projects. The head of school is a relentless problem-solver and opportunity-identifier and e3 has continuously refined and improved its model ever since its founding. It is a profoundly interesting place for other educators to visit.",2019
"Anonymous, Anonymous",66,"Ember Charter School for Mindful Education, Innovation, and Transformation","Brooklyn","New York","Ember Charter School","Deep cultural and identify focus. Centered on Afrocentric curriculum. Teacher pathways modeled after law firms where teachers are partners. Experiential / exposure model. New definitions and models of student success.

Rafiq and his team are intently focused on creating a beloved community in which all students feel affirmed. The team at Ember has built and intentionally mindful learning environment that prioritizes inquiry in academics and student social-emotional development.",2019
"National Center for Learning Disabilities",68,"Envision Academy","Oakland","California","Envision Education","Their capstone portfolio assessments",2019
"Educurious",74,"Strive Prep - Federal","Denver","Colorado","STRIVE Prep","This network of school is going to scale with social justice focused project-based learning with all social studies teachers. The teachers at Federal are leading this effort. They have wrap around services for students. Data is showing strong academic gains, increased social and emotional learning indicators and decreased discipline referrals.",2019
"Highlander Institute",82,"Garden City","Cranston","Rhode Island","Cranston Public Schools","As Garden City begins their third year of blended and personalized learning journey the work is beginning to throughout the building, from grade level to grade level, and teacher to teacher. Teachers are taking on leadership roles within their schools and throughout the district supporting and showcasing the work by opening their doors internally and to external visitors throughout the district. Teachers take the time to share out best practices and strategies to others, whether it is through district gatherings or staff meetings. The building is in the early stages of implementing innovative practices with the use of maker spaces. ",2019
"Anonymous",86,"Goochland High School","Goochland","Virginia","Goochland County Public Schools","Goochland High School has embraced the integration of technology and work-life ready experiences for every student.  Their forward thinking and their drive for excellent and quality education for all students is remarkable.",2019
"Educurious",87,"Green Valley Ranch","Denver","Colorado","STRIVE Prep","This network of school is going to scale with social justice focused project-based learning with all social studies teachers. The teachers at Green Valley Ranch are leading this effort. They have wrap around services for students. Data is showing strong academic gains, increased social and emotional learning indicators and decreased discipline referrals.",2019
"National Center for Learning Disabilities",92,"High Tech High","San Diego","California","High Tech High","Their project-based, student-driven approach and their capacity to capture long-term data for their students",2019
"Anonymous",96,"Holyoke High School","Holyoke","Massachusetts","Holyoke Public Schools","Turnaround high school - a rare example of high school turnaround that went through a """"blank slate"""" process to reimagine the high school model, rather than tinkering. Model includes thematic pathways that are intended to be an engagement hook to prepare all students for college and career opportunities. Deep and growing partnerships with several area colleges, emphasis on learning outside the school walls through internships, beginning to dismantle historic """"tracking"""" systems. Workshop model instructional focus.",2019
"Anonymous",99,"IDEA Toros College Preparatory","Edinburg","Texas","IDEA Public Schools","Network known for consistency and excellence; blended learning program; use of sports to build school culture and comprehensively develop students",2019
"Anonymous",107,"Ketcham","Washington","District of Columbia","D.C.","Could use this link: https://www.ketchamelementary.org/apps/pages/index.jsp?uREC_ID=929663&type=u  Intentional focus on growth mindset and supportive vs punitive environment",2019
"Anonymous",109,"KIPP Academy Lynn Collegiate","Lynn","Massachusetts","KIPP","On a journey to reimagine the high school experience - moving away from their more traditional models of instruction and culture. Thoughtful approaches to supporting students to and through college.",2019
"South Carolina Department of Education - Office of Personalized Learning",113,"Lexington 4 Early Childhood Center","Swansea","South Carolina","Lexington School District Four","The Early Childhood Center in Lexington 4 serves a critical need: a high quality whole child learning environment open and available to all pre-school age children in the community.  The Early Childhood Center uses Montessori to ensure a developmentally appropriate approach.  They also partner with parents and the community to provide a comprehensive approach to a whole child education.  Parents and teachers work together in a variety of ways and through a variety of specific structures the school has developed to ensure the experience is personalized for students and their families.  The Early Childhood Center is a focal point of the community and the district has been forward thinking in finding ways to invest so that the opportunity is available to every single student in the community between the ages of 3 and 5.  Teachers nurture student voice and the independence of these young learners is amazing to see in person.",2019
"Anonymous",114,"Liberty Elementary School","Baltimore","Maryland","Baltimore City Public Schools","90/90/90 neighborhood school. 90% minority, 90% FRL and 90% achievement. ",2019
"Illinois State Board of Education",115,"Lincoln Middle School","Berwyn","Illinois",NA,"In the fall of 2012, Berwyn North School District 98 schools were the lowest-performing schools among all those that fed into Morton West High School. District leaders set out to transform teaching and learning through culturally responsive practices to better engage their students, of whom 30 percent are English Learners and 90 percent are students of color. Berwyn North's Lincoln Middle School is now in the top 10 percent of all Illinois schools.       Berwyn North conducted both internal and external audits with all administrative, teaching, and support staff and with Berwyn families and community leaders to better understand their formative contexts and identify needs. The resulting professional development focused on five inclusive behaviors and how to integrate these behaviors into the classroom, including: how to give and receive feedback, how to be an advocate, how to make mutual contact, ways to value difference, and how to recognize underrepresentation. The entire staff participated in a book study of Zaretta Hammond's Culturally Responsive Teaching and the Brain.      The district developed a new, culturally responsive curriculum for all students through a teacher-driven process of deep alignment and shared assessments. Culturally responsive curriculum development means not only focusing on what is being taught, but how it is being taught to diverse learners, along with a deep analysis of why. Teams working on the curriculum included teachers and staff from every program, representing all student groups for equitable instruction. The district began working on a microcredential program in cultural responsiveness to track progress.    Page Break    Berwyn North developed a dual language program aligned to integrated English and Spanish language arts standards. Every student in Berwyn learns to read and write in one bilingual setting with all components presented in Spanish and English, with accommodations for special education students. ",2019
"Illinois State Board of Education",121,"Manual Academy","Peoria","Illinois",NA,"Visitors walking around Manual Academy's campus on the south end of Peoria School District 150 may see a few identical, carefully built wooden Adirondack chairs. These chairs are the proud handiwork of Manual Academy students and one example of the school project- and competency-based approach to education. Peoria School District 150 is part of Illinois' competency-based education pilot program. Manual Academy teachers and leaders have found that competency-based education allows students to take greater advantage of partnerships and opportunities with local businesses.       Global manufacturing giant Caterpillar is headquartered in Peoria and is one of the region's largest employers. Formerly a technical high school, Manual Academy partners with Caterpillar to prepare students for careers in manufacturing technologies. Caterpillar provides donated supplies, volunteer mentorships, a welding camp, and a $300,000 grant to support a full manufacturing curriculum co-taught at Manual Academy and Peoria's Caterpillar plant. Competency-based education also paved the way for innovative programs like Fuse Studio, a hands-on engineering lab where students choose their own projects.      Students in the Caterpillar Hiring Innovation Program learn academic concepts through hands-on experiences from painting to assembly and the most popular applied skill, welding. Students learning welding are positioned to have the skills to achieve American Welding Society certification before graduation. Engineering and industrial technology teachers spend one day a week with students and mentors at Caterpillar to supervise and track student learning goals. They track student communication and collaboration alongside trade skill milestones. The curriculum concludes with a direct pathway to real manufacturing jobs with Caterpillar upon completion. Other students go on to college with increased social-emotional skills, confidence, and direction.  ",2019
"Anonymous",123,"Maple Street Magnet School","Rochester","New Hampshire","Rochester School District","Multi-age classrooms; project-based learning; student co-design",2019
"Idaho Mastery Education Network - Idaho Department of Education",126,"Meridian Technical Charter High School","Meridian","Idaho","Joint School District No. 2","Meridian Technical Charter High School welcomes their students interests and strengths into their individual learning plans. This school offers a variety of college and career pathways and links all courses to these throughout a student's 9-12 grade learning experience. Students curate their learning through community and field experience, dual credits with universities and certifications. The Meridian Technical Charter High School, Inc. implements the innovations of today and tomorrow to provide a progressive educational experience for every student. They envision the lifelong application of learning, coupled with intelligent risk taking in an environment fostering leadership, achievement and diversity. MTCHS continuously challenges and encourages participation as a productive member of the local and global communities",2019
"Anonymous",129,"Mineola Elementary","Mineola","Texas","Mineola ISD","The commitment to student-centered blended learning for all students!",2019
"Great Schools Partnership",138,"New Haven Academy","New Haven","Connecticut","New Haven Public Schools","New Haven Academy is committed to having students engage in their communities, learning about and appreciating their community through tight connections.",2019
"Mastery Collaborative, NYC Department of Education",146,"NYC iSchool","New York","New York","New York City Department of Education","The iSchool's instructional model has several underlying ideas:  Innovation: the need to constantly ask """"why?"""" and """"what if?"""" to avoid recreating the status quo; Individualization and Personalization: the focus on meeting the needs of each and every student;  Metacognitive Skill Development: the understanding that high school could no longer be about learning a defined set of concepts - that high school for the 21st century needed to emphasize the learning process and thinking skills.  In service of its core values of innovation, individualization and personalization, and metacognitive skill development, and with the reality of the system and the unique needs of adolescents in mind, the leaders developed a four-prong model:  1.     Challenge-based modules 2.     Online learning 3.     Advisory 4.     Core Experiences  Supporting these four instructional approaches are three important systems: student scheduling, individual student mastery tracking, and the school's Area of Focus program. In its entirety, this model allows the school to meet system and accountability requirements, to support students' developmental needs, to prepare students to get into and be successful in college, as well as to provide them with an important foundation for career achievement.  It is famously true that no two students at the iSchool end up with the same courses on their transcripts, because personalization is an active value, and students are encouraged to develop and follow their interests.  The iSchool's unique brand of mastery-based learning, project-based learning, and personalization is also underpinned by a belief that the most powerful way to work with young people is to give them lots of meaningful choices, and lots of responsibility. iSchool students are typically deep thinking, autonomous learners.",2019
"Evergreen Education Group",148,"Oasis High School","Aptos","California","Santa Cruz County Office of Education","Alternative education on a college campus",2019
"Evergreen Education Group",149,"Ocean Bay Middle School","Myrtle Beach","South Carolina","Horry County Schools","Student collaboration on real world problems",2019
"Arkansas Office of Innovation for Education",152,"Pangburn High School","Pangburn","Arkansas","Pangburn School District","Very small, rural district with strong leadership support, K-12 system focus, Continually searching and learning to improve their model--including continued growth of distributed leadership. They provide students with choice in pace, path, place for learning and are exploring competency-based learning and other measures of student success.  Moved away from a traditional schedule, give students choice and opportunities to pursue career and college interests--including internships, personalized pathways, etc. They have been moving beyond digital curriculum and flexible schedule to support passion projects, etc.  Intentional work on student dispositions and social emotional learning. Use of technology supports learning as a tool for providing resources.  Nimble leadership and staff is responsive to challenges in implementing their design plans.  ",2019
"Anonymous",155,"Pasodale Elementary School","El Paso","Texas","Ysleta ISD",NA,2019
"Oklahoma State Department of Education",157,"Piedmont High School","Piedmont","Oklahoma","Piedmont Public Schools","The Stop It! App provides students and the school community a way to anonymously report concerning behaviors or threats to officials via smart phone or computer.  In addition, school leaders can provide links to website/videos/public service announcements when trends are identified. ",2019
"Anonymous",158,"Pinckney Community High School","Pinckney","Michigan","Pinckney Community Schools","We think you would be may be interested in their Cyber Range - https://pinckneycti.org/",2019
"Anonymous",163,"Port Huron High School","Port Huron","Michigan","Port Huron Area School District","You might be interested in their Collaborative Partnership Model to online learning.",2019
"Anonymous",166,"Radford High School","Radford","Virginia","Radford City Public Schools","Radford High School and the Radford City School System has a strong partnership with their local business.  Their work through the Partners for Excellence Foundation, INC. has become a strong resource for moving Radford's schools into a relevant, work-life ready experience for all students. ",2019
"Education Reimagined",171,"Rocky Mountain School of Expeditionary Learning","Denver","Colorado","Expeditionary Learning BOCES","RMSEL is one of the three original Expeditionary Learning schools in the country created through an intergovernmental agreement between 5 districts in the Denver-metro area, Outward Bound, and a non-profit professional learning organization called PEBC. It serves and admits students from both high-income and extremely low-income backgrounds.   RMSEL is a K-12 environment serving approximately 480 learners all on one campus. The lower school has separate K and 1st grade classrooms, and has multi-aged classrooms after that in which learners stay with crew leaders for 2 years. The middle school program has 6th as stand-alone and mixed 7/8 classrooms. In the high school, crews are mixed age with Advisors that stay with them for 4 years.   The school is an exemplar of expeditionary learning and is one of a handful of schools in the country that can still use that designation. In addition to interdisciplinary expeditions, ELA and math, the curriculum comprises an Adventure curriculum, which aligns with Kurt Hahn's original vision of allowing human beings to learn about themselves in nature. The school embraces the importance of and tracks learners against academic, socio-emotional and character values. Service and regular expeditions into the world outside school to learn are a core part of the program.  Another highlights of the is its Passages process in 3rd, 5th, 8th, 10th and 12th graders. Learners present their learning, growth and personal development to volunteer adults from the wider community through portfolios that they have compiled over multiple years. This is in addition to regular exhibitions throughout the year.  The lower, middle and upper schools are designed differently with an eye towards the developmental needs of that age band. Relationship and learner agency are highly valued. It is great example of a school that integrates many elements into a coherent whole.  RMSEL, as a program, really reflects emerging research about the beneficial impact on human development and well-being of engagement/interaction with the natural world. It's not something many schools are paying a lot of attention to to the extent this school does.",2019
"PowerMyLearning",173,"Salem Church Elementary","Richmond","Virginia","Chesterfield County Public Schools","Family Engagement Innovation Strong/supportive leadership",2019
"Anonymous",181,"Shamrock Garden Elementary School","Charlotte","North Carolina","Charlotte-Mecklenburg Schools","Shamrock Gardens, in the large, urban Charlotte-Mecklenburg district, has embraced the use of the Opportunity Culture model throughout the school, through careful, thoughtful planning and budgeting to extend the reach of its excellent teachers. The school """"exceeds growth"""" under the state definition. An Opportunity Culture school extends the reach of excellent teachers and their teams to more students, for more pay, within the school's recurring budget. Multi-Classroom Leadership is the foundation of an Opportunity Culture; multi-classroom leaders (MCLs) lead a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The schools redesign schedules to provide additional school-day time for teacher planning, coaching and collaboration. MCLs typically lead the introduction of more effective curricula, instructional methods, classroom management and schoolwide culture-building. Accountable for the results of all students in the team, multi-classroom leaders earn substantial pay supplements, within the regular school budget. The school design teams reallocate school budgets to fund pay supplements permanently, in contrast to temporarily grant-funded programs.",2019
"Anonymous",182,"Shannon High School","Haltom City","Texas","Birdville iSD",NA,2019
"Anonymous",187,"Sisu Academy","San Diego","California",NA,"This is a tuition-free, private boarding school for at-risk girls (including those who are homeless or in foster care) that is a student-centered learning environment that incorporates STEAM, design thinking, and project based learning.  ",2019
"Anonymous",188,"Soaring Heights Pk-8","Erie","Colorado","St Vrain Valley Schools","Schools built in partnership with research hospital, leveraging recent break-throughs in the science of learning",2019
"Anonymous",199,"Summit Public Schools","Redwood City","California","Summit Schools","Competency based progression is a central practice of Summit schools.  Students move through their 'playlists' at their own pace, and move on only once content knowledge mastery is demonstrated.  However, progression based on competency is constrained to content and projects within a school year, that is, students advance grades, and pursue their respective courses, as an age-based cohort.  For content learning, students decide when they're ready to take assessments, receive immediate feedback, and can review materials or practice to incorporate the feedback, and then re-assess when they're ready.  During project time too, teachers check in with students to give feedback as needed. Learner autonomy and agency are a priority in Summit schools.  Students have a fair amount of independent control over their learning time in school, and are scaffolded in this self-regulation through check-ins with teachers and their mentor.     ",2019
"Educurious",202,"Temple View Elementary","Idaho Falls","Idaho","Idaho Falls School District","Fully project-based, STEM elementary school.  Has achieved STEM certification from AdvancED.  Has a maker space for students. Uses technology in deep and effective ways.",2019
"CSSR (Center for Secondary School Redesign)",207,"Don Tyson School of Innovation","Springdale","Arkansas","Springdale School District","Springdale is the 2nd largest school district in Arkansas.  The District obtained a waiver from the State to create Don Tyson School of Innovation (DTSOI) which was was based on a desire to move to student centered, competency based education.  DTSOI has benefited from the district transition from methodologies that were largely teacher-directed, and teacher-centered, towards a student-centered learning environment that promotes student voice and choice. The school includes a focus on an Anytime Anyplace vision for learning particularly the work that the district had to do to allow for flexible scheduling and flexible pacing within Arkansas' highly regulated education climate. Student learning is personalized by grouping students in """"School of Innovation Institutes"""" that are aligned by career and educational interest.   School of Innovation Institutes:   â‚¬?	Business, Information Technologies, Environmental/Alternative Energy, EAST, Robotics/Mechatronics, Craft Skills, Medical Services, Agriculture Advisory:  At School of Innovation our overall mission is to empower students through personalized education.  At the heart of this mission is our advisory program.   â‚¬?	Through advisory, every student will be in a small group of peers that is facilitated by a caring School of Innovation staff member.    â‚¬?	This group will stay together through the tenth grade year working on personalized learning plans, career exploration, community partnerships, and team building activities.  Beginning the eleventh grade year, advisors may change depending on focus/area of study.   â‚¬?	The purpose of advisory is to empower students through mentoring relationships and ownership over learning.   â‚¬?	Advisory is the place where all students have a chance to be known, understood, and encouraged toward their future goals.  ",2019
"EdVisions",213,"Valley New School","Appleton","Wisconsin","Appleton Area School District","Very innovative personalized approach to learning driven by unique and transformative personal learning plans.  No set courses, entirely project-based and experiential.  Teacher run. ",2019
"Anonymous",217,"Vilas Elementary School","Alstead","New Hampshire","SAU 60","Personalized learning approaches; universal design for learning",2019
"Anonymous",221,"Waukesha STEM Academy Saratoga Campus","Waukesha","Wisconsin","Waukesha School District","Fully integrated STEM approach, multi aged",2019
"Anonymous",222,"Weber Elementary","Clear Lake City","Texas","Clear Creek ISD","The commitment to student centered blended learning for all students!",2019
"Anonymous",227,"Whittle School","Washington","District of Columbia","Whittle School","The purpose of the K-12 school network (they will open about 20 schools around the world) is to inspire students to be global citizens who are adept, creative and curious about being lifelong learners.  Each school's curriculum will reflect and capitalize on the expertise of the city in which it is located.",2019
"Christensen Institute",233,"Cesar E. Chávez Multicultural Academic Center","Chicago","Illinois","Chicago Public Schools","Chávez is a vibrant PK-8 public school located in Chicago's Back of the Yards neighborhood. At Chávez, stakeholders seek to facilitate connected learning experiences; an extended school day and a variety of extracurricular programs help students to connect their experiences in and and beyond school, and to pursue goals that emerge from this interconnection. Chávez's teacher-powered blended learning models emerged from an extended-day program the school piloted in 2010. The school's current rotation and Flex models are designed specifically with its large English language learner population in mind. Blended learning here exists in conjunction with personalized learning plans, multi-grade cohorts, and extended time for students. Students can advance in certain subjects, like math and English, upon demonstrating mastery.",2019
"Anonymous",1,"A2 Virtual + Academy","Ann Arbor","Michigan","Ann Arbor Public Schools","The level of personalization in the online environment.",2019
"Anonymous",3,"The Academy of Advanced Learning","Aurora","Colorado","Aurora Public School Distrit","A tremendous bright spot with exceptional academic growth!  Vision: The vision of the AAL is founded on the notion that a Year 2025 workplace requires new skills and the ability to think critically. AAL prepares students for college and the modern workplace via personalized learning, allowing students to learn at a pace and modality that best fits his learning style and capitalizes on his strengths. AAL's instructional model integrates the following components: 1. LSAE Model. In this model, teachers deliver a lesson to all students for the first 20-30 minutes of class. They then sort students into four groups (Learning, Securing, Accelerating, Enriching) based on their demonstrated mastery of the skill. Depending on their needs, students receive small-group instruction or auxiliary lessons to extend or accelerate their learning, either via online learning or with a learning coach. 2. Student Learning Profiles and Plans. At the beginning of the school year, the school works with students and parents to develop a student learning profile, a document that includes students' past achievement data, strengths, areas for growth, and interests. Teachers are tasked with using the student learning profiles to develop student learning plans, customized strategies that are used to inform instruction of the student within the LSAE model. 3. Habits of Success and Learning How to Learn. The school has developed a set of """"Habits of Success"""" that they hope to instill in students, including """"be at school and on time,"""" """"strive for accuracy,"""" """"respect for others,"""" """"perseverance,"""" etc. The school is also using a self-assessment rubric once a week to help students learn how to learn, measuring learning skills such as """"I choose the right learning environment,"""" """"I am resourceful in finding assistance.""""",2019
"Anonymous",4,"Albemarle Road Elementary School","Charlotte","North Carolina","Charlotte-Mecklenburg Schools","Albemarle Road Elementary, in the large, urban Charlotte-Mecklenburg district, uses the Opportunity Culture model. The school """"exceeds growth"""" under the state definition. An Opportunity Culture school extends the reach of excellent teachers and their teams to more students, for more pay, within the school's recurring budget. Multi-Classroom Leadership is the foundation of an Opportunity Culture; multi-classroom leaders (MCLs) lead a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The schools redesign schedules to provide additional school-day time for teacher planning, coaching and collaboration. MCLs typically lead the introduction of more effective curricula, instructional methods, classroom management and schoolwide culture-building. Accountable for the results of all students in the team, multi-classroom leaders earn substantial pay supplements, within the regular school budget. The school design teams reallocate school budgets to fund pay supplements permanently, in contrast to temporarily grant-funded programs.",2019
"EL Education",6,"Amana Academy","Alpharetta","Georgia",NA,"STEM, project-based learning, SEL embedded in academics, culturally-relevant pedagogy, student-engaged assessment (student-led conferences, portfolios, etc)",2019
