Nomination ID,Nominator Org,Publicly disclosable nominator org,Canopy School ID,Official School Name,School Name,School City,School State,District or CMO,Reason for nominating
Nominator_2023-11_Rooted School Foundation_Rooted School,Rooted School Foundation,Anonymous,172,Rooted School,Rooted School New Orleans at SUNO ,New Orleans,LA,Rooted School,"Rooted School New Orleans stands out in how it reimagines the purpose, instructional core, and structure of 'school' by prioritizing equity and student-centered learning. It combines a rigorous academic program that offers college and career readiness, including the opportunity to earn an associate's degree and industry-based certifications. The small school size fosters a student-centered and equity-focused culture, with a strong emphasis on mental health support for all students. Additionally, its recent relocation to the Southern University of New Orleans campus provides students with access to college-level courses, further advancing equity and preparing students for success after high school."
Nominator_2023-11_A Revolution in Education_Science and Math Institute,A Revolution in Education,A Revolution in Education,178,Science and Math Institute,Science and Math Institute,Tacoma,Washington,N/A,"The school's mission is to partner with students, families, and the community to provide a rigorous, interdisciplinary, and student-centered learning environment that fosters a passion for science, math, and the arts. SAMI's curriculum is designed to integrate students' learning around their passions, allowing them to understand the relevance of their work in every discipline. The school is located at Point Defiance Park, where students have the opportunity to study amidst natural old-growth forests, saltwater beaches, and spectacular views, with endless possibilities for recreation, hands-on learning, and science and math education. SAMI students also take classes at the marine center, zoo, and aquarium as part of their normal schedule, as well as in classrooms and labs built in and around the natural forest and marine facilities. The school's vision emphasizes community and empathy, with a focus on developing students' leadership potential and encouraging them to continually put themselves in someone else's shoes and seek new ways of approaching a problem."
Nominator_2023-11_Transcend_Valor Flagship Academy,Transcend,Anonymous,215,Valor Flagship Academy,Valor Collegiate Academy,Nashville,TN,Valor Flagship,"Valor's Compass model fosters holistic human development— including key physical, cognitive, emotional, and spiritual disciplines—through a focus on community and relationships as well as individual identity work."
Nominator_2023-11_Transcend_Valor Voyager Academy,Transcend,Anonymous,216,Valor Voyager Academy,Valor Collegiate Academy,Nashville,TN,Valor Flagship,"Valor's Compass model fosters holistic human development— including key physical, cognitive, emotional, and spiritual disciplines—through a focus on community and relationships as well as individual identity work."
Nominator_2023-11_Transcend_Blue Valley Center for Advanced Professional Studies (CAPS),Transcend,Anonymous,247,Blue Valley Center for Advanced Professional Studies (CAPS),Blue Valley CAPS,Overland Park,KS,Blue Valley Schools,"CAPS applies a learning ecosystem approach that enable students to explore career pathways and engage in real-world projects that prepare them for life after high school. They are an example of how business, community, and public education can partner together. "
Nominator_2023-11_Aurora Institute_Da Vinci RISE High,Aurora Institute,Aurora Institute,256,Da Vinci RISE High,Da Vinci RISE,Los Angeles,CA,Da Vinci,"Designed for youth dealing with homelessness, foster care, housing instability, the juvenile justice system, and transient living, Da Vinci RISE embraces flexibility, eliminating penalties for seat time non-compliance and offering credit recovery models for remote learning. The Graduate Profile focuses on key attributes, ensuring students not only gain post-secondary content knowledge but also develop hands-on skills. Da Vinci RISE's commitment to equity creates an environment where every student, regardless of challenges, can flourish academically and personally."
Nominator_2023-11_Getting Smart_Da Vinci RISE High,Getting Smart,Getting Smart,256,Da Vinci RISE High,Da Vinci Rise High: ,Los Angeles,CA,N/A,"Da Vinci RISE High microschools (Los Angeles, CA) are a non-profit designed to serve foster and homeless youth. They ensure students traditionally left out of the greater educational narrative receive full access to Da Vinci School’s innovative academic model while receiving vital, whole-child, trauma-informed support. "
Nominator_2023-11_Center on Reinventing Public Education_Da Vinci RISE High,Center on Reinventing Public Education,Center on Reinventing Public Education,256,Da Vinci RISE High,Da Vinci RISE High,Los Angeles,CA,Da Vinci Schools,"Da Vinci RISE serves high school-aged youth that are navigating foster care, housing instability, probation, and/or other circumstances by offering a flex-scheduling, credit recovery learning model. Teachers at this school have also started implementing ""Project Leo,"" an in-house project-based learning platform that leverages AI to suggest project ideas for students."
Nominator_2023-11_Transcend_Da Vinci RISE High,Transcend,Anonymous,256,Da Vinci RISE High,Da Vinci Rise High school,El Segundo,CA,,"Da Vinci RISE High seeks to create a highly responsive, holistic, and integrated model that meets the unique needs of youth navigating foster care, housing instability, probation, and/or other circumstances that have caused disruptions in their academic journeys."
Nominator_2023-11_Next Generation Learning Challenges_Da Vinci RISE High,Next Generation Learning Challenges,Next Generation Learning Challenges,256,Da Vinci RISE High,Da Vinci Schools,Los Angeles,CA,Da Vinci Schools,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
Nominator_2023-11_Transcend_Mountain Academy at Teton Science School - Jackson Campus,Transcend,Anonymous,311,Mountain Academy at Teton Science School - Jackson Campus,Teton Science Schools - Jackson Campus,Jackson Hole,WY,Teton Science Schools,TSS offers a place-based learning model that leverages project-based learning and is deeply entrenched in the local community. They also offer tranings for teachers to support their model.
Nominator_2023-11_Mastery Transcript Consortium_Nipmuc Regional High School,Mastery Transcript Consortium,Mastery Transcript Consortium,319,Nipmuc Regional High School,Nipmuc High School,Upton,MA,Mendon-Upton Regional School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Pathways High,Mastery Transcript Consortium,Mastery Transcript Consortium,332,Pathways High,Pathways High,Milwaukee,WI,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Science and Math Institute_Tacoma School of the Arts,Science and Math Institute,Science and Math Institute,357,Tacoma School of the Arts,Tacoma School of the Arts,"Tacoma, WA",Washington,n/a,"SOTA, our sister school at SAMi (www.tsami.org) was founded in 1999 and piloted our Mentor Group model we have re-iterated and use today.  SOTA as an arts high school is project based throughout the downtown core near the museums and theaters.  SOTA students are able to showcase their projects with feedback from community professionals who are Tacoma artists.  "
Nominator_2023-11_A Revolution in Education_Tacoma School of the Arts,A Revolution in Education,A Revolution in Education,357,Tacoma School of the Arts,School of the Arts,Tacoma,Washington,N/A,"SOTA supports its students' specific arts interests through personalized learning in the particular performance domains of their interests, including the visual and performing arts.  These areas of learning include photography, graphic design, filmmaking, advanced illustration, painting, and pre-professional training in the performing arts. The school's proximity to cultural organizations like the Museum of Glass, Tacoma Art Museum, and Tacoma Arts Live provides opportunities for students to engage in the local visual and performing arts community.  SOTA is also committed to academic and interest-driven learning, supporting students make connections between the expected academic disciplines and their particular areas of interests and between their lives now and their lives as they enter the larger global community. The school believes students deserve the opportunity to go deep – to develop and pursue a particular passion at increasingly greater depth, guided by mentors in the community who can encourage excellence.
"
Nominator_2023-11_Transcend_Van Ness Elementary School,Transcend,Anonymous,366,Van Ness Elementary School,Van Ness,Washington,DC,District of Columbia Public Schools,"Van Ness elemetary school is well known for it's whole child model, which includes a variety of strategies for supporting students holistically. The school also focused on maker education."
Nominator_2023-11_Transcend_Verdi EcoSchool,Transcend,Anonymous,368,Verdi EcoSchool,The Verdi EcoSchool,Melbourne,FL,,"This school stands out as a learning environment that combines core instruction with place-based education structures, the value of the natural environment, and innovation toward equity and justice."
"Nominator_2023-11_A Revolution in Education_""School of Industrial Design, Engineering and Art""",A Revolution in Education,A Revolution in Education,386,"""School of Industrial Design, Engineering and Art""","Industrial Design, Engineering, and Arts",Tacoma,Washington,N/A,"The school's curriculum is designed to integrate the arts, science, and math, providing students with a unique and interdisciplinary educational experience. The school's community is made up of high school students, non-profits, professional organizations, and for-profit businesses of all sizes. iDEA's goal is to form a collaborative learning environment where partners can work alongside students in design-and-build studios, forming public to private partnerships and giving both students and teachers access to professional opportunities. The school's curriculum aligns with common core standards in math, science, English, and social studies and follows the gold-standard project-based learning framework outlined by the Buck Institute. iDEA students learn through projects, with teachers acting more like guides for students, posing challenging questions and working to embed learning targets within the context of student-driven, real-world projects. The school's emphasis on collaboration, real-world projects, and professional opportunities makes it a unique and student-centered learning environment."
Nominator_2023-11_Utah State Board of Education_Quest Academy,Utah State Board of Education,Utah State Board of Education,396,Quest Academy,Quest Academy,West Haven,UT,,"They are one of only a handfull of schools in Utah executing intitiatives on all five of our Utah PCBL Framework Components (Culture of Learning, Learner Agency, Demonstrated competency, Customized Supports and Social and Emotion Learning)"
Nominator_2023-11_Transcend_University Charter School,Transcend,Anonymous,401,University Charter School,University Charter School,Livingston,AL,,University Charter implments the Teton Place Based Learning model. 
Nominator_2023-11_A Revolution in Education_The Workshop School,A Revolution in Education,A Revolution in Education,429,The Workshop School,The Workshop School,Philadelphia,Pennsylvania,N/A,"The school's mission is to unleash the creative and intellectual potential of young people to solve the world's toughest problems. It accomplishes this by putting real-world problems at the center of the curriculum and evaluating students' work based on the progress they make in defining, exploring, and ultimately developing solutions to those problems. The school emphasizes project-based learning, internships, strong community partnerships, and dual enrollment programs. It also focuses on community first, supporting students in and outside of school, and going deep on restorative practices."
Nominator_2023-11_Aurora Institute_Building 21 Philadelphia,Aurora Institute,Aurora Institute,430,Building 21 Philadelphia,Building 21 Philadelphia,Philadelphia,Pennsylvania,a Lab School with the Building 21 Network as well as a non-criteria high school with the School District of Philadelphia,"Building 21 Philadelphia's studio model allows students to be the designers of their own pathway with support from teachers. Credits are earned by creating portfolios of evidence rather than by completing courses. Their competency-based learning approach isn't limited to students; it extends to teachers and school administrators, serving as a framework for self-assessment, goal-setting, coaching, and feedback tools. Emphasizing depth of content over breadth, Building 21 offers an innovative learning experience. Students aren't confined to traditional classrooms; they actively engage in learning experiences beyond school walls."
Nominator_2023-11_Transcend_The Urban Assembly School for Green Careers,Transcend,Anonymous,433,The Urban Assembly School for Green Careers,The Urban Assembly School for Green Careers,New York,NY,New York City Public Schools,"Students at UA School for Green Careers act, write, and build to confront the challenges to human rights created by climate change. Through Cooperative Group Work, all students engage in peer-to-peer dialogue that supports critical thinking skills. Through 1:1 Conferences with Teachers, students receive personalized attention, feedback, and develop independent problem-solving skills through conferences facilitated by their teachers. And, through Peer-to-Peer Supports, students develop critical thinking and reason-giving skills."
Nominator_2023-11_Transcend_Community Roots Charter School,Transcend,Anonymous,437,Community Roots Charter School,Community Roots,Brooklyn,NY,-,"Community Roots is a deliberately diverse school community that takes an explicitly anti-bias approach to curriculum, instruction, and assessment; school culture; and staff training. This approach prioritizes identity, diversity, justice, social action, and inclusion."
Nominator_2023-11_Rooted School Foundation_Rooted School Indianapolis,Rooted School Foundation,Anonymous,443,Rooted School Indianapolis,Rooted School Indianapolis,Indianapolis,IN,N/A,"Rooted School Indianapolis is dedicated to equipping students with the skills for success after high school, offering a rigorous academic program that equally emphasizes college and career readiness, along with the opportunity to earn industry-based certifications while in school. Its small school size fosters a student-centered and equity-focused culture, further enhanced by numerous student organizations and clubs. Serving grades 7-12, Rooted Indianapolis is deeply embedded in the Indianapolis community, located at Eastern Star Church, creating an environment where every student can find their community and promoting a holistic approach to education."
Nominator_2023-11_Mastery Transcript Consortium_The Forest School,Mastery Transcript Consortium,Mastery Transcript Consortium,466,The Forest School,The Forest School,Fayetteville,GA,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Center on Reinventing Public Education_Da Vinci Communications,Center on Reinventing Public Education,Center on Reinventing Public Education,468,Da Vinci Communications,Da Vinci Communications/Design/Science,El Segundo,CA,Da Vinci Schools,"Students enrolled at the Da Vinci high school have the opportunity to pursue various tracks in either the communications, design, or science tracks and often learn through project-based learning. Teachers at this school have also started implementing ""Project Leo,"" an in-house project-based learning platform that leverages AI to suggest project ideas for students."
Nominator_2023-11_Next Generation Learning Challenges_Da Vinci Communications,Next Generation Learning Challenges,Next Generation Learning Challenges,468,Da Vinci Communications,Da Vinci Schools,Los Angeles,CA,Da Vinci Schools,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
Nominator_2023-11_Center on Reinventing Public Education_Da Vinci Science,Center on Reinventing Public Education,Center on Reinventing Public Education,469,Da Vinci Science,Da Vinci Communications/Design/Science,El Segundo,CA,Da Vinci Schools,"Students enrolled at the Da Vinci high school have the opportunity to pursue various tracks in either the communications, design, or science tracks and often learn through project-based learning. Teachers at this school have also started implementing ""Project Leo,"" an in-house project-based learning platform that leverages AI to suggest project ideas for students."
Nominator_2023-11_Next Generation Learning Challenges_Da Vinci Science,Next Generation Learning Challenges,Next Generation Learning Challenges,469,Da Vinci Science,Da Vinci Schools,Los Angeles,CA,Da Vinci Schools,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
Nominator_2023-11_Center on Reinventing Public Education_Da Vinci Design,Center on Reinventing Public Education,Center on Reinventing Public Education,470,Da Vinci Design,Da Vinci Communications/Design/Science,El Segundo,CA,Da Vinci Schools,"Students enrolled at the Da Vinci high school have the opportunity to pursue various tracks in either the communications, design, or science tracks and often learn through project-based learning. Teachers at this school have also started implementing ""Project Leo,"" an in-house project-based learning platform that leverages AI to suggest project ideas for students."
Nominator_2023-11_Next Generation Learning Challenges_Da Vinci Design,Next Generation Learning Challenges,Next Generation Learning Challenges,470,Da Vinci Design,Da Vinci Schools,Los Angeles,CA,Da Vinci Schools,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
Nominator_2023-11_Transcend_Revolution School,Transcend,Anonymous,495,Revolution School,Revolution School ,Philadelphia,PA,-,"Revolution School executes a new high school model designed to unleash the learning that happens when students and communities come together to listen, learn and lead.  Their opportunity readiness skill building program designed with and for diverse young people, and paired with an authentic community, ignites the ingenuity we need for both the present and future of work. They harness the resources of local communities and organizations across Philadelphia and beyond. "
Nominator_2023-11_Clayton Christensen Institute_Village High School,Clayton Christensen Institute,Clayton Christensen Institute,499,Village High School,Village High School,Colorado Springs,CO,Academy School District,Their flexible blended learning model enables students to explore their passions.
Nominator_2023-11_Clayton Christensen Institute_Launch High,Clayton Christensen Institute,Clayton Christensen Institute,501,Launch High,Launch High School,Cedar City,Utah,Iron County School District,Their model allows students to progress based on mastery and pursue passions beyond the walls of the school. 
Nominator_2023-11_Mastery Transcript Consortium_Launch High,Mastery Transcript Consortium,Mastery Transcript Consortium,501,Launch High,Launch High School,Cedar City,UT,Iron County School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Liberty Academy,Mastery Transcript Consortium,Mastery Transcript Consortium,502,Liberty Academy,Liberty Academy,Liberty,MO,Liberty Public Schools,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Transcend_ARISE High,Transcend,Anonymous,508,ARISE High,ARISE High School,Oakland,CA,-,ARISE High School prepares students to be college and real-world-ready through critical consciousness and social and restorative justice. 
Nominator_2023-11_New Tech Network_Winton Woods High School,New Tech Network,New Tech Network,509,Winton Woods High School,Winton Woods High School at North Campus,Cincinnati ,OH,Winton Woods City School District ,"It's evident from the provided information that Winton Woods School District made a significant shift towards project-based learning (PBL) and student-centered education across all grade levels. This transformation was achieved through partnerships, deliberate planning, and student involvement in the design process.

Key points highlighted include:
1.Implementation of New Tech Network Model: The district adopted the New Tech Network whole-school model, embracing PBL from preschool through twelfth grade.
2. Partnerships and Funding: The district received intentional support from the Straight A Fund in Ohio's state biennial budget, enabling them to create customized, personalized learning experiences. Partnerships with construction and architecture firms like Skanska Megen Construction Co. Inc. and SHP helped build innovative, project-based learning spaces.
3.Student Involvement in Design Process: Students from grades 6-12 actively participated in the design process of the new buildings. The design was aligned with the educational vision, focusing on six key shifts in education and incorporating hallmarks of PBL instruction.
4.Identified Foundational Needs: Through this effort, foundational needs of students were recognized, including a desire for collaboration, a student-centric culture, engaging learning opportunities, various workshop sizes, mobility within the learning environment, active engagement, and access to technology in different forms.

The district's approach not only focused on physical infrastructural changes but also on aligning the design with the educational philosophy, ensuring that the learning spaces reflect the principles of project-based learning. The active involvement of students in the process indicates a commitment to meeting their needs and preferences.

Overall, the transformation of Winton Woods School District showcases a comprehensive effort to create an environment that supports innovative and student-focused learning experiences. In addition to the district-wide transformation, the high school campus stands out for its commitment to fostering mastery-based learning. Through a range of initiatives such as assessments designed for deeper learning, grading policies centered on mastery, and an array of supplementary resources including tutoring and extended learning opportunities, we ensure students have multiple avenues to demonstrate their mastery of subjects.

During the first quarter of this academic year, we're proud to share that over 500 high school students achieved an impressive grade of 3.0 or higher. This achievement reflects our dedication to supporting and recognizing student excellence in their academic pursuits.
"
Nominator_2023-11_Transcend_Creativity Challenge Community,Transcend,Anonymous,510,Creativity Challenge Community,Creativity Challenge Community,Denver,CO,Denver Public Schools,"Creativity Challenge Community (C3) fosters a learning environment that empowers students to think creatively, to solve problems, to learn in collaboration with local artistic, scientific and cultural partners, and to challenge and care for each other to our highest potential as leaders and learners. C3 emphasizes independent learning in a collaborative setting to develop kind, courageous thinkers."
Nominator_2023-11_Transcend_Long-View Learning,Transcend,Anonymous,512,Long-View Learning,Long-View,Austin,TX,-,"Long-view is well regarded for its innovative and rigorous approach to mathematics, both in their approach to teaching and learning. Long-view offer the number lab to train teachers in their unique approach. They focus deeply on relationship-building."
Nominator_2023-11_Bluum_Elevate Academy Caldwell,Bluum,Anonymous,523,Elevate Academy Caldwell,"Elevate Academy, Caldwell Idaho",Caldwell,ID,Idaho Charter School Commisssion,"Elevate Academy is a school of choice for students who qualify as at risk and are not finding success in a traditional education setting. The Elevate Academy program is designed to align industry work with core academic subjects so that students will find purpose behind everything that is learned in the classroom.
Elevate Academy resides in a state of the art 55,000 square foot building that was built to fit the needs of all students and staff. Career Technical Education spaces have been designed by professionals in the areas of culinary arts, construction, welding/manufacturing, medical arts, criminal justice, firefighting, business/marketing and graphic design.
Offering relevant and interest-based learning experiences, while educating the whole child, was considered when designing Elevate Academy. In addition to the CTE and traditional academic facilities, students have a fitness center, mental health services, individual showers, a laundry room and their very own barbershop. Elevate Academy is home to an indoor, 2 story, slide that adds additional energy and excitement.
Elevate Academy classrooms are designed to extend into the hallways and beyond to enhance the personalized learning approach to each child’s education.

"
Nominator_2023-11_Mastery Transcript Consortium_Cabot School,Mastery Transcript Consortium,Mastery Transcript Consortium,532,Cabot School,Cabot School,Cabot,VT,Cabot School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Mead Senior High School,Mastery Transcript Consortium,Mastery Transcript Consortium,536,Mead Senior High School,Mead Senior High School Design Studio,Spokane,WA,Mead School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Grayson School,Mastery Transcript Consortium,Mastery Transcript Consortium,538,Grayson School,Grayson School,Radnor,PA,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Enosburg Falls Junior/Senior High School,Mastery Transcript Consortium,Mastery Transcript Consortium,539,Enosburg Falls Junior/Senior High School,Enosburg Falls Junior/Senior High School,Enosburg Falls,VT,Enosburg-Richford District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_The Delta School,Mastery Transcript Consortium,Mastery Transcript Consortium,540,The Delta School,The Delta School,Wilson,AR,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Clayton Christensen Institute_Clark Street Community School,Clayton Christensen Institute,Clayton Christensen Institute,541,Clark Street Community School,Clark Street Community School,Middleton,Wisconsin,Middleton-Cross Plains Area School District,This school does a great job making learning flexible and personal based on students' needs and interests.
Nominator_2023-11_Mastery Transcript Consortium_Clark Street Community School,Mastery Transcript Consortium,Mastery Transcript Consortium,541,Clark Street Community School,Clark Street Community School,Middleton,WI,Middleton-Cross Plains Area School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Brightworks,Mastery Transcript Consortium,Mastery Transcript Consortium,544,Brightworks,Brightworks,San Francisco,CA,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Acton Academy Venice Beach,Mastery Transcript Consortium,Mastery Transcript Consortium,545,Acton Academy Venice Beach,Acton Academy Venice Beach,Venice,CA,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Sequoyah School,Mastery Transcript Consortium,Mastery Transcript Consortium,566,Sequoyah School,Sequoyah School,Pasadena,CA,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Swiftwater Alternative High School,Mastery Transcript Consortium,Mastery Transcript Consortium,568,Swiftwater Alternative High School,Swiftwater Learning Center,Cle Elum,WA,Cle Elum-Roslyn School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_The Sycamore School,Mastery Transcript Consortium,Mastery Transcript Consortium,569,The Sycamore School,The Sycamore School,Arlington,VA,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Two Rivers School,Mastery Transcript Consortium,Mastery Transcript Consortium,570,Two Rivers School,Two Rivers School,North Bend,WA,Snoqualmie Valley School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Utah Schools for the Deaf and the Blind,Mastery Transcript Consortium,Mastery Transcript Consortium,571,Utah Schools for the Deaf and the Blind,Utah Schools for the Deaf and the Blind,Ogden,UT,Utah Schools for Deaf & Blind,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Transcend_New Harmony High Institute,Transcend,Anonymous,601,New Harmony High Institute,New Harmony High Institute,New Orleans,LA,New Harmony High Institute,"New Harmony High School empowers each student to actively direct their own learning. As our name suggests, students will work to find new harmonies in order to restore balance that has been lost in our coastal communities, finding new ways of sustaining ourselves in an uncertain future. Learning at New Harmony happens through the lens of coastal restoration and preservation. Each student works on relevant, rigorous projects, and engages with the community through interest-based fellowships, working alongside mentors on real problems. Students graduate as individuals who practice resilience and understand ecology – the interconnectedness of people, land, air, and water. They are prepared for college, career, and beyond, knowing they have already made a significant impact here in Louisiana.

"
Nominator_2023-11_Transcend_Build UP,Transcend,Anonymous,606,Build UP,Build UP Community School,Birmingham,AL,-,​Build UP has an early college workforce development model that enables low-income youth to develop career-ready skills while revitalizing their community and gaining homeownership.
Nominator_2023-11_Transcend_Atlas Public Schools,Transcend,Anonymous,620,Atlas Public Schools,Atlas Public Schools,St. Louis,MO,,"The mission of Atlas Public Schools is to educate the whole child by combining a rigorous academic program with authentic, real-world experiences so all students thrive in middle school, high school, and beyond."
