Variable Name,Variable Description,Corresponding Survey Question,Response Types,Source,Data Subset,Clean Labels,Confidential
locale_multiple,Indicates if the learning environment serves students from multiple types of geographic areas.,,"1 if a combination Urban, Rural, and/or Suburban selected; else 0",Canopy created variable,Variables,,Public-facing
locale_other,"Indicates if the learning environment serves students from geographic areas that are not rural, suburban, urban, or a combination of geographic areas.",Which geography describes the student population your school serves?,1 if Other selected; else 0,School survey,Variables,,Public-facing
locale_other_text,Self-reported geographic area the learning environment serves.,Which geography describes the student population your school serves?,Text provided to specify Other,School survey,Variables,,Public-facing
student_experience,Describes the student expereince the learning environment is designed to create.,How would you describe the student experience that the learning environment is designed to create?,Open response,School survey,Variables,,Public-facing
leadership_diversity,Self reported percentage of people of color comprising the leadership team in the learning environment.,How racially and/or ethnically diverse is your learning environment’s leadership team? ,"Prefer not to say
0 - 24% people of color
25 - 49% people of color
50 - 74% people of color
75 - 100% people of color",School survey,Variables,leadership diversity,Internal
teaching_diversity,Self reported percentage of people of color comprising the teaching staff in the learning environment.,How racially and/or ethnically diverse is your learning environment’s teaching staff?,"Prefer not to say
0 - 24% people of color
25 - 49% people of color
50 - 74% people of color
75 - 100% people of color",School survey,Variables,teaching staff diversity,Internal
leader_gender,Primary school leader gender.,How do you currently identify your gender?,"Man
Woman
Nonbinary or gender non-conforming
Transgender
Prefer to self-identify: __________
Prefer not to say",Canopy created variable,Variables,,Internal
leader_race,Primary school leader race.,What is your racial/ethnic identity? ,"American Indian or Alaska Native
Asian
Black or African American
Hispanic or Latinx
Native Hawaiian or Pacific Islander
White
Prefer to self-identify: __________
Prefer not to say",Canopy created variable,Variables,,Internal
school_enrollment,"Total number of students the learning environment serves. Number describes a mix of self-reported and NCES data as leaders are asked to verify the number provided by NCES, if applicable.",How many learners attend [SCHOOL NAME]?,Numeric,School survey,Variables,,Public-facing
grades_pk,Indicates whether the learning environment offers pre-kindergarten services.,Which grades does your learning environment serve?,1 if Pre-Kindergarten selected; else 0,School survey,Variables,,Public-facing
grades_k,Indicates whether the learning environment serves kindergarten or equivalent grade.,Which grades does your learning environment serve?,1 if Kindergarten selected; else 0,School survey,Variables,,Public-facing
grades_1,Indicates whether the learning environment serves first grade or equivalent.,Which grades does your learning environment serve?,1 if 1st grade selected; else 0,School survey,Variables,,Public-facing
grades_2,Indicates whether the learning environment serves second grade or equivalent.,Which grades does your learning environment serve?,1 if 2nd grade selected; else 0,School survey,Variables,,Public-facing
grades_3,Indicates whether the learning environment serves third grade or equivalent.,Which grades does your learning environment serve?,1 if 3rd grade selected; else 0,School survey,Variables,,Public-facing
grades_4,Indicates whether the learning environment serves fourth grade or equivalent.,Which grades does your learning environment serve?,1 if 4th grade selected; else 0,School survey,Variables,,Public-facing
grades_5,Indicates whether the learning environment serves fifth grade or equivalent.,Which grades does your learning environment serve?,1 if 5th grade selected; else 0,School survey,Variables,,Public-facing
grades_6,Indicates whether the learning environment serves sixth grade or equivalent.,Which grades does your learning environment serve?,1 if 6th grade selected; else 0,School survey,Variables,,Public-facing
grades_7,Indicates whether the learning environment serves seventh grade or equivalent.,Which grades does your learning environment serve?,1 if 7th grade selected; else 0,School survey,Variables,,Public-facing
grades_8,Indicates whether the learning environment serves eighth grade or equivalent.,Which grades does your learning environment serve?,1 if 8th grade selected; else 0,School survey,Variables,,Public-facing
grades_9,Indicates whether the learning environment serves ninth grade or equivalent.,Which grades does your learning environment serve?,1 if 9th grade selected; else 0,School survey,Variables,,Public-facing
grades_10,Indicates whether the learning environment serves tenth grade or equivalent.,Which grades does your learning environment serve?,1 if 10th grade selected; else 0,School survey,Variables,,Public-facing
grades_11,Indicates whether the learning environment serves eleventh grade or equivalent.,Which grades does your learning environment serve?,1 if 11th grade selected; else 0,School survey,Variables,,Public-facing
grades_12,Indicates whether the learning environment serves twelfth grade or equivalent.,Which grades does your learning environment serve?,1 if 12th grade selected; else 0,School survey,Variables,,Public-facing
grades_past_12,Indicates whether the learning environment serves beyond twelfth grade or equivalent.,Which grades does your learning environment serve?,1 if Past 12th grade selected; else 0,School survey,Variables,,Public-facing
grades_other,Indicates whether the learning environment serves grade(s) that fall outside of the PK-12+ grade range.,Which grades does your learning environment serve?,1 if Other selected; else 0,School survey,Variables,,Public-facing
grades_other_text,Self-reported grades served that fall outside of PK-12+ range.,Which grades does your learning environment serve?,Text provided to specify Other,School survey,Variables,,Public-facing
grades_elementary,Indicates whether the learning environment serves any elementary grades 1-5.,,1 if school is considered an elementary school by Canopy's definition; else 0,Canopy created variable,Variables,elementary,Public-facing
grades_middle,Indicates whether the learning environment serves middle grades 7 and middle grades 6 or 8.,,1 if school is considered a middle school by Canopy's definition; else 0,Canopy created variable,Variables,middle,Public-facing
grades_high,Indicates whether the learning environment serves any high school grades 10-12.,,1 if school is considered a high school by Canopy's definition; else 0,Canopy created variable,Variables,high,Public-facing
pct_aian,Percentage of students attending the learning environment identifying as American Indian or Alaska Native.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey,Variables,american indian & alaska native,Public-facing
pct_asian,Percentage of students attending the learning environment identifying as Asian.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey,Variables,asian,Public-facing
pct_black,Percentage of students attending the learning environment identifying as Black or African American.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey,Variables,black,Public-facing
pct_latinx,Percentage of students attending the learning environment identifying as Hispanic or Latinx.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey,Variables,latinx,Public-facing
pct_nhpi,Percentage of students attending the learning environment identifying as Native Hawaiian or Pacific Islander.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey,Variables,native hawaiian & pacific islander,Public-facing
pct_white,Percentage of students attending the learning environment identifying as White.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey,Variables,white,Public-facing
pct_multiple,Percentage of students attending the learning environment identifying with 2+ races/ethnicities.,What is the racial/ethnic demographic breakdown of your learners?,Numeric,School survey,Variables,multiple races,Public-facing
pct_bipoc,Percentage of students attending the learning environment who do not identify as White.,,Numeric,Canopy created variable,Variables,students of color,Public-facing
pct_ell,Percentage of students attending the learning environment who are classified as an English learner.,What percentage of your learners are classified as English learners?,Numeric,School survey,Variables,english learners,Public-facing
pct_frpl,Percentage of students attending the learning environment who are eligible for free and reduced-price lunch.,What percentage of your learners are eligible for free and reduced lunch or are considered economically disadvantaged?,Numeric,School survey,Variables,free & reduced-price lunch eligible,Public-facing
pct_swd,Percentage of students attending the learning environment with a documented disability or an IEP.,What percentage of your learners have a disability?,Numeric,School survey,Variables,students with disabilities,Public-facing
focus_bipoc,"Design to meet needs of students who have been marginalized centers Black, Indigenous, and other students of color.",Is your innovative model designed to meet the needs of any of the following student groups?,"1 if Students of color (Black, Indigenous, Hispanic/Latinx, Asian, and/or another racial/ethnic group) selected; else 0",School survey,Variables,students of color,Public-facing
focus_economic_disadvantage,Design to meet needs of students who have been marginalized centers economically disadvantaged students.,Is your innovative model designed to meet the needs of any of the following student groups?,1 if Economically disadvantaged students selected; else 0,School survey,Variables,economically disadvantaged students,Public-facing
focus_emergent_bilingual,Design to meet needs of students who have been marginalized centers students classified as English learners.,Is your innovative model designed to meet the needs of any of the following student groups?,1 if Students classified as English learners selected; else 0,School survey,Variables,emergent bilinguals,Public-facing
focus_foster,Design to meet needs of students who have been marginalized centers students in the foster care system.,Is your innovative model designed to meet the needs of any of the following student groups?,1 if Students in the foster care system selected; else 0,School survey,Variables,students in foster care system,Public-facing
focus_homeless,Design to meet needs of students who have been marginalized centers unhoused students or students experiencing housing insecurity.,Is your innovative model designed to meet the needs of any of the following student groups?,1 if Students experiencing housing insecurity or homelessness selected; else 0,School survey,Variables,unhoused students,Public-facing
focus_interrupted,Design to meet needs of students who have been marginalized centers students with interrupted formal education.,Is your innovative model designed to meet the needs of any of the following student groups?,1 if Students with interrupted formal education selected; else 0,School survey,Variables,students with interrupted formal education,Public-facing
focus_juvenile_justice,Design to meet needs of students who have been marginalized centers students in the juvenile justice system.,Is your innovative model designed to meet the needs of any of the following student groups?,1 if Students in the juvenile justice system selected; else 0,School survey,Variables,students in juvenile justice system,Public-facing
focus_multilingual,"Design to meet needs of students who have been marginalized centers multilingual students, including students classified as English learners, reclassified students, students who were never classified as English learners but come from multilingual homes, and students enrolled in dual language programs.",Is your innovative model designed to meet the needs of any of the following student groups?,1 if Multilingual students selected; else 0,School survey,Variables,multilingual students,Public-facing
focus_newcomer,"Design to meet needs of students who have been marginalized centers newcomer students, including immigrants and refugees.",Is your innovative model designed to meet the needs of any of the following student groups?,1 if Newcomer students (immigrants and/or refugees) selected; else 0,School survey,Variables,newcomers,Public-facing
focus_swd,Design to meet needs of students who have been marginalized centers students with disabilities.,Is your innovative model designed to meet the needs of any of the following student groups?,1 if Students with disabilities (may have IEP's or 504 plans) selected; else 0,School survey,Variables,students with disabilities,Public-facing
focus_other,"Design to meet needs of students who have been marginalized centers a group other than students with disabilities, BIPOC, economically disadvantaged, English learner-classified, mulitilingual, houseless, or newcomer students or students in the foster care or juvenile justice system.",Is your innovative model designed to meet the needs of any of the following student groups?,1 of Other selected; else 0,School survey,Variables,other,Public-facing
focus_other_text,Self-identified student group centered in design to meet needs of marginalized students.,Is your innovative model designed to meet the needs of any of the following student groups?,Text provided to specify Other,School survey,Variables,,Public-facing
inclusive_emergent_bilingual,Students classified as English learners are fully integrated into all classrooms and courses offered in the learning environment.,Which of the following student groups are fully integrated into all classrooms and courses offered in the learning environment?,1 if Students classified as English learners selected; else 0,School survey,Variables,emergent bilinguals,Public-facing
inclusive_juvenile_justice,Students in the juvenile justice system are fully integrated into all classrooms and courses offered in the learning environment.,Which of the following student groups are fully integrated into all classrooms and courses offered in the learning environment?,1 if Students in the juvenile justice system selected; else 0,School survey,Variables,students in juvenile justice system,Public-facing
inclusive_newcomer,"Newcomer students, including recent immigrants and refugees, are fully integrated into all classrooms and courses offered in the learning environment.",Which of the following student groups are fully integrated into all classrooms and courses offered in the learning environment?,1 if Newcomer students (immigrants and/or refugees) selected; else 0,School survey,Variables,newcomers,Public-facing
inclusive_swd,Students with disabilities are fully integrated into all classrooms and courses offered in the learning environment.,Which of the following student groups are fully integrated into all classrooms and courses offered in the learning environment?,1 if Students with disabilities (may have IEP's or 504 plans) selected; else 0,School survey,Variables,students with disabilities,Public-facing
inclusive_other,"A group of historically marginalized students other than English-learner classified students, students in the juvenile justice system, newcomer students, or students with disabilities are fully integrated into all classrooms and courses offered in the learning environment.",Which of the following student groups are fully integrated into all classrooms and courses offered in the learning environment?,1 of Other selected; else 0,School survey,Variables,other,Public-facing
inclusive_other_text,Self-identified historically marginalized student group(s) that are fully integrated into all classrooms and courses offered.,Which of the following student groups are fully integrated into all classrooms and courses offered in the learning environment?,Text provided to specify Other,School survey,Variables,,Public-facing
catalyst_cutting_edge,Indicates whether the learning environment is innovating to be on the cutting edge and demonstrate what's possible.,Which factors are currently leading to innovation in your learning environment?,1 if Desire to be on the cutting edge and demonstrate what’s possible selected; else 0,School survey,Variables,desire to be on the cutting edge,Public-facing
catalyst_external,Indicates whether the learning environment is innovating to address external catalyst events.,Which factors are currently leading to innovation in your learning environment?,1 if External catalyst events selected; else 0,School survey,Variables,external catalyst events,Public-facing
catalyst_student_agency,Indicates whether the learning environment is innovating to address a perceived lack of student agency.,Which factors are currently leading to innovation in your learning environment?,1 if Lack of student agency selected; else 0,School survey,Variables,lack of student agency,Public-facing
catalyst_teacher_agency,Indicates whether the learning environment is innovating to address a perceived lack of teacher agency.,Which factors are currently leading to innovation in your learning environment?,1 if Lack of teacher agency selected; else 0,School survey,Variables,lack of teacher agency,Public-facing
catalyst_demographics,Indicates whether the learning environment is innovating to address needs from a recent change in student demographics.,Which factors are currently leading to innovation in your learning environment?,1 if Change in demographics selected; else 0,School survey,Variables,change in demographics,Public-facing
catalyst_internal,Indicates whether the learning environment is innovating to address negative factors inside the school.,Which factors are currently leading to innovation in your learning environment?,1 if Negative factors inside the school selected; else 0,School survey,Variables,negative factors inside the school,Public-facing
catalyst_stakeholders,Indicates whether the learning environment is innovating to address stakeholder demand or advocacy.,Which factors are currently leading to innovation in your learning environment?,1 if Stakeholder demand or advocacy selected; else 0,School survey,Variables,stakeholder demand/advocacy,Public-facing
catalyst_inequities,Indicates whether the learning environment is innovating to address systemic inequities.,Which factors are currently leading to innovation in your learning environment?,1 if Systemic inequities selected; else 0,School survey,Variables,systemic inequities,Public-facing
catalyst_absence,Indicates whether the learning environment is innovating to address chronic absenteeism.,Which factors are currently leading to innovation in your learning environment?,1 if Chronic absenteeism selected; else 0,School survey,Variables,chronic absenteeism,Public-facing
catalyst_covid,Indicates whether the learning environment is innovating to address learning disruptions due to COVID.,Which factors are currently leading to innovation in your learning environment?,1 if Learning disruptions due to COVID selected; else 0,School survey,Variables,COVID disruptions,Public-facing
catalyst_mental_health,Indicates whether the learning environment is innovating to address mental health concerns.,Which factors are currently leading to innovation in your learning environment?,1 if Mental health concerns selected; else 0,School survey,Variables,mental health,Public-facing
catalyst_other,Indicates the learning environment is innovating for other reasons not provided in response options.,Which factors are currently leading to innovation in your learning environment?,1 if Other selected; else 0,School survey,Variables,other,Public-facing
catalyst_other_text,Self-reported reasons for innovating.,Which factors are currently leading to innovation in your learning environment?,Text provided to specify Other,School survey,Variables,,Public-facing
catalyst_key_cutting_edge,Indicates that being on the cutting edge and demonstrating what's possible is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Desire to be on the cutting edge and demonstrate what’s possible selected; else 0,School survey,Variables,desire to be on the cutting edge,Public-facing
catalyst_key_external,Indicates that addressing external catalyst events is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if External catalyst events selected; else 0,School survey,Variables,external catalyst events,Public-facing
catalyst_key_student_agency,Indicates that addressing a lack of student agency is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Lack of student agency selected; else 0,School survey,Variables,lack of student agency,Public-facing
catalyst_key_teacher_agency,Indicates that addressing a lack of teacher agency is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Lack of teacher agency selected; else 0,School survey,Variables,lack of teacher agency,Public-facing
catalyst_key_demographics,Indicates that recent changes in demographics are one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Change in demographics selected; else 0,School survey,Variables,change in demographics,Public-facing
catalyst_key_internal,Indicates that addressing negative factors inside the school is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Negative factors inside the school selected; else 0,School survey,Variables,negative factors inside the school,Public-facing
catalyst_key_stakeholders,Indicates that stakeholder demand or agency are one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Stakeholder demand or advocacy selected; else 0,School survey,Variables,stakeholder demand/advocacy,Public-facing
catalyst_key_inequities,Indicates that addressing systemic inequities is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Systemic inequities selected; else 0,School survey,Variables,systemic inequities,Public-facing
catalyst_key_absence,Indicates that addressing chronic absenteeism is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Chronic absenteeism selected; else 0,School survey,Variables,chronic absenteeism,Public-facing
catalyst_key_covid,Indicates that addressing learning disruptions due to COVID is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Learning disruptions due to COVID selected; else 0,School survey,Variables,COVID disruptions,Public-facing
catalyst_key_mental_health,Indicates that addressing mental health concerns is one of the top 3 reasons the learning environment is innovating.,Which factors are currently leading to innovation in your learning environment?,1 if Mental health concerns selected; else 0,School survey,Variables,mental health,Public-facing
catalyst_key_other,Indicates that one of the top 3 reasons the learning environment is innovating was not reflected in response options.,Which factors are currently leading to innovation in your learning environment?,1 if Other selected; else 0,School survey,Variables,other,Public-facing
future_resources,Describes level of concern the learning environment leader expressed for sustaining adequate resources for the learning environment over the next 5 years.,Are you concerned about being able to sustain adequate resources for your learning environment over the next 5 years?,"Yes, extremely 
Yes, somewhat 
Neutral
No, not very 
No, not at all",School survey,Variables,,Public-facing
barrier_local_funds,Indicates availability of local funds is a factor the leader feels may hinder ability to sustain adequate resources for the learning environment over the next 5 years.,Which factors do you feel may hinder your ability to sustain adequate resources for your school over the next 5 years?,1 if Availability of local funds selected; else 0,School survey,Variables,,Public-facing
barrier_private_funds,Indicates availability of private funding from foundations or donors is a factor the leader feels may hinder ability to sustain adequate resources for the learning environment over the next 5 years.,Which factors do you feel may hinder your ability to sustain adequate resources for your school over the next 5 years?,1 if Availability of private funding from foundations or donors selected; else 0,School survey,Variables,,Public-facing
barrier_donations,Indicates changes to in-kind donations is a factor the leader feels may hinder ability to sustain adequate resources for the learning environment over the next 5 years.,Which factors do you feel may hinder your ability to sustain adequate resources for your school over the next 5 years?,1 if Changes to in-kind donations selected; else 0,School survey,Variables,,Public-facing
barrier_inflation,Indicates inflation/increasing prices is a factor the leader feels may hinder ability to sustain adequate resources for the learning environment over the next 5 years.,Which factors do you feel may hinder your ability to sustain adequate resources for your school over the next 5 years?,1 if Inflation / increasing prices selected; else 0,School survey,Variables,,Public-facing
barrier_enrollment,Indicates changes in school enrollment is a factor the leader feels may hinder ability to sustain adequate resources for the learning environment over the next 5 years.,Which factors do you feel may hinder your ability to sustain adequate resources for your school over the next 5 years?,1 if Changes in school enrollment selected; else 0,School survey,Variables,,Public-facing
barrier_shortage,Indicates staffing shortages is a factor the leader feels may hinder ability to sustain adequate resources for the learning environment over the next 5 years.,Which factors do you feel may hinder your ability to sustain adequate resources for your school over the next 5 years?,1 if Staffing shortages selected; else 0,School survey,Variables,,Public-facing
barrier_federal_funds,Indicates expiration of federal relief funds is a factor the leader feels may hinder ability to sustain adequate resources for the learning environment over the next 5 years.,Which factors do you feel may hinder your ability to sustain adequate resources for your school over the next 5 years?,1 if Expiration of federal relief funds selected; else 0,School survey,Variables,,Public-facing
barrier_other,Indicates the leader feels a factor that was not listed in the response options may hinder ability to sustain adequate resources for the learning environment over the next 5 years.,Which factors do you feel may hinder your ability to sustain adequate resources for your school over the next 5 years?,1 if Other selected; else 0,School survey,Variables,,Public-facing
barrier_other_text,The self-described factor(s) the leader feels may hinder their ability to sustain adequate resources for the learning environment over the next 5 years.,Which factors do you feel may hinder your ability to sustain adequate resources for your school over the next 5 years?,Text provided to specify Other,School survey,Variables,,Public-facing
transform_ai,Indicates artificial intelligence is one of the top 3 factors the school leader feels will be most transformative for K-12 education in the next 5 years.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,1 if Artificial intelligence selected; else 0,School survey,Variables,,Public-facing
transform_mental_health,Indicates the mental health crisis is one of the top 3 factors the school leader feels will be most transformative for K-12 education in the next 5 years.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,1 if Mental health crisis selected; else 0,School survey,Variables,,Public-facing
transform_pandemic,Indicates pandemic learning loss is one of the top 3 factors the school leader feels will be most transformative for K-12 education in the next 5 years.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,1 if Pandemic learning loss selected; else 0,School survey,Variables,,Public-facing
transform_workforce,Indicates teacher workforce issues are one of the top 3 factors the school leader feels will be most transformative for K-12 education in the next 5 years.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,1 if Teacher workforce issues selected; else 0,School survey,Variables,,Public-facing
transform_enrollment,Indicates changes in enrollment is one of the top 3 factors the school leader feels will be most transformative for K-12 education in the next 5 years.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,1 if Changes in enrollment selected; else 0,School survey,Variables,,Public-facing
transform_politics,Indicates politics and/or culture wars are one of the top 3 factors the school leader feels will be most transformative for K-12 education in the next 5 years.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,1 if Politics / culture wars selected; else 0,School survey,Variables,,Public-facing
transform_esa,Indicates education savings accounts (ESAs) and/or voucher policies are one of the top 3 factors the school leader feels will be most transformative for K-12 education in the next 5 years.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,1 if Education Savings Account (ESA) or voucher policies selected; else 0,School survey,Variables,,Public-facing
transform_climate,Indicates climate change is one of the top 3 factors the school leader feels will be most transformative for K-12 education in the next 5 years.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,1 if Climate change selected; else 0,School survey,Variables,,Public-facing
transform_other,Indicates 1 or more of the top 3 factors the school leader feels will be most transformative for K-12 education in the next 5 years was not reflected in the response options.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,1 if Other selected; else 0,School survey,Variables,,Public-facing
transform_other_text,Self-described factor(s) the leader feels will be most transformative for K-12 education in the next 5 years.,Which 3 factors do you think will be most transformative for K-12 education in the next 5 years?,Text provided to specify Other,School survey,Variables,,Public-facing
ai_innovation,Self-described ways the learning environment is using artificial intelligence to support their work.,Is your learning environment using artificial intelligence (AI) in interesting ways to support your work?,Open response,School survey,Variables,,Public-facing
ai_policy,Indicates whether the learning environment has a site-wide policy about students' use of artificial intelligence.,"Does your learning environment have a school- or site-wide policy about students’ use of generative artificial intelligence (AI) (e.g., ChatGPT)?","Yes
No
No, but we are in the process of developing one",School survey,Variables,,Public-facing
ai_policy_text,Describes the policy in place in the learning environment about students' use of artificial intelligence.,What is your learning environment’s policy on students’ use of generative AI?,Open response,School survey,Variables,,Public-facing
tool_cultivate,Describes the learning environments' use of the Cultivate Survey by UChicago to assess impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","I have never heard of this
I have heard of this but we do not use it
We have experimented with this
We use this systematically across our school",School survey,Variables,,Public-facing
tool_elevate,Describes the learning environments' use of the Elevate Survey by PERTS to assess impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","I have never heard of this
I have heard of this but we do not use it
We have experimented with this
We use this systematically across our school",School survey,Variables,,Public-facing
tool_leaps,Describes the learning environments' use of the Leaps Surveys by Transcend to assess impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","I have never heard of this
I have heard of this but we do not use it
We have experimented with this
We use this systematically across our school",School survey,Variables,,Public-facing
tool_mastery,Describes the learning environments' use of the Mastery transcript to assess impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","I have never heard of this
I have heard of this but we do not use it
We have experimented with this
We use this systematically across our school",School survey,Variables,,Public-facing
tool_mindprint,Describes the learning environments' use of the Mindprint Learning assessment to assess impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","I have never heard of this
I have heard of this but we do not use it
We have experimented with this
We use this systematically across our school",School survey,Variables,,Public-facing
tool_panorama,Describes the learning environments' use of Panorama surveys to assess impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","I have never heard of this
I have heard of this but we do not use it
We have experimented with this
We use this systematically across our school",School survey,Variables,,Public-facing
tool_portfolium,Describes the learning environments' use of Portfolium by Instructure to assess impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","I have never heard of this
I have heard of this but we do not use it
We have experimented with this
We use this systematically across our school",School survey,Variables,,Public-facing
tool_unrulr,Describes the learning environments' use of Unrulr to assess impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","I have never heard of this
I have heard of this but we do not use it
We have experimented with this
We use this systematically across our school",School survey,Variables,,Public-facing
tool_youscience,Describes the learning environments' use of YouScience to assess impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","I have never heard of this
I have heard of this but we do not use it
We have experimented with this
We use this systematically across our school",School survey,Variables,,Public-facing
tool_other_1,Indicates the learning environment uses an assessment that was not listed to measure impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",1 if Other selected; else 0,School survey,Variables,,Public-facing
tool_other_text_1,Describes the assessment the learning environment uses to measure impact on non-traditional factors.,"Do you use any of the tools below to assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",Text provided to specify Other,School survey,Variables,,Public-facing
