school_id,ai_innovation
384,We are introducing gen ai in digital art. Teacher use AI to be more efficient.
45,
876,
184,"Our administration uses AI to summarize staff, student, and parent surveys."
122,
608,
97,
765,
472,
680,
620,
760,"We have a course, offered to teachers, to explore ways to use AI to generate lessons and as a part of lessons for students.  "
234,
572,We just started using AI to assist with creating individualized curriculum based on student career choices. 
600,
727,Not at this time.
383,"Yes, however, on personal devices until policy is in place. "
606,
813,
772,
759,
883,"Yes, we use AI to support teacher development of resources and innovative instructional strategies. Additionally, we have introduced our HS students to AI to explore the assets and drawbacks of AI, along with discussions about exploration about how to use AI responsibly. "
938,"We are having great discussion of the efficiency of AI and how this can enhance the administrative work, not necessarily student work as of yet. However, as youth are beginning to embrace how this enhances their projects we are collaborating about this. "
770,
140,
917,
348,
768,No
466,
368,"Yes, educators use AI to create relevant/interest based ways to share mathematical examples to students."
704,
469,Yes. We are developing a new PBL platform that uses ai: www.projectleo.net
313,No.
537,We use AI to generate many of our ideas for intervention for learners not yet achieving proficiency.  We also use it to generate ideas/pathways for learners to extend their learning. 
27,
292,We are running a pilot with Khanmigo at our Belmont Campus.
805,
657,
10,
91,
389,Not yet
7,
233,
141,We have learning specialist who partner with learners in personal pursuits where it is used.  We are using it administratively to help produce internal documents.
395,
293,"Our English teacher encourages students to use AI to construct writings before they begin writing for themselves, using it as a tool for understanding how to write effectively and succinctly. Our staff discusses AI and helps students understand both the promise and the perils of AI on themselves, their learning, and their ability to distinguish fact from fantasy."
921,"Yes! We believe in teaching our students how AI can be used as a benefit. While there is a lot of controversy around AI, we view it as an exciting new technological tool. We want to evolve with our world and the ever-changing world of technology. We believe in teaching students how to responsibly and ethically use all forms of technology, including AI. "
621,"Staff is exploring various AI-supported curriculum (Khanmigo), a Da Vinci Schools created AI project based learning platform called Project Leo, and staff is learning how to ""work smarter"" with AI as a teacher planning tool, including within our special education inclusion model. "
325,"Yes, 100%. We have several AI-focused studios in our curriculum."
764,
180,
312,Not yet 
71,
235,
371,
710,
132,"Site leadership is encouraging teachers to embrace AI, and our district is formulating a policy around it's use in the learning environment.  Meantime, teachers are using AI tools to assist in planning instruction, providing feedback to students, etc., and we are creating spaces for the early adopters to share what they're doing and learning with colleauges. "
81,
84,Beginning to use available resources for project planning and management
683,
79,
205,
462,
753,No
792,mostly for administrative tasks
699,
105,We encourage the use of AI by teachers and students in responsible and meaningful ways. We believe that AI should enhance the learning experience and improve the efficiency and effectiveness of our teachers.
536,"We use it in ways to promote learning, brainstorming, and workshopping of work.  Our school district blocks it on the student computers.  But, students access it through their phones or devices at home.  Our goal is to help them learn how to use it in a positive way to promote learning and thinking.  We can't avoid its role, we need to explore and find ways to leverage it.  "
394,
452,
504,
669,
35,
120,
847,"We are not currently using AI. However, we have planned a staff-wide professional development around how teachers can utilize AI for lesson planning and enhancing learning experiences. "
936,
429,Just dabbling. 
359,
918,
532,
831,"Our grade reports are generated with the help of AI, and we recently used AI to generate skills progressions for all of the skills assessed at the secondary level."
236,
44,
823,
361,
746,
471,
32,Just starting... to make the development of our project-based units more accessible to teachers who struggle with writing their own curriculum. Using AI to align reading/writing standards to our current project-based units.
319,"Nipmuc has embedded AI in the school's ""Leveling Up Protocol"" which is used by teachers to design authentic learning experiences. The protocol provides questions that can help educators to discover ways to make meaningful connections between the curriculum and the world beyond our school's campus. "
24,Not at this time. 
628,
417,
842,We are currently in the process of piloting some AI services for teachers and MLL students. Ogden School District has assembled a task force to explore platforms and policy.
878,No
150,We primarily use AI to support our data analysis efforts.  
223,
76,"Just like TV, the internet, and any technology it has its place.  Right now the unknown feels scary and it feels like we are trying to use AI for everything. We will hopefully find a happy medium that it make us better as educators. "
474,
425,We use mCLASS intervention supports which leans on AI to determine lessons for students.
506,Yes
846,
643,
447,
637,
501,
825,"yes - we are looking at AI as a tool,a nd we are exploring it with our students to better understand the challenges, limitations, and ethical implications"
85,
382,Not entirely. We have used it to help us develop more sophisticated tracking systems for support.
845,
909,
172,
539,
480,
775,
247,
48,
607,
268,
56,"We talk about AI frequently sharing ways we can use it to support teacher work, and the work of non-teaching staff. We talk with students about using/creating AI tools in their own design work."
345,"Yes, through robust learning technology in our blended learning platforms. Teachers are also using AI to help generate ideas and writing tasks."
809,
545,Yes- we view it as a learning tool and it is pretty open to use as long as a learner can explain why they benefit from using it and what they learn.  
66,
411,
380,We are hosting a SparkNC Lab...there is at least one full unit on Artificial Intelligence.
569,
899,"Administration is supportive of staff utilizing AI to streamline their planning and other work. This invitation to utilize AI offers an opportunity to understand how to best support students to use it responsibly, as well. "
850,"Yes, our students are using PathFinder, AI for self-directed and project-based learning (think Internet for Kids). It is a socratic guide to help students with finding the next step on their journey. If they need to learn something new, this platform finds the best resources using ChatGPT (the only kid-friendly version available) and helps them to apply what they've learned into their projects. And if they are stuck or don’t know, it asks them the right questions to help them find their way! Our school is currently piloting the program, and our students love it!"
679,
346,
415,
