"Value","Frequency","Variable"
"7",1,"school_id"
"8",1,"school_id"
"10",1,"school_id"
"15",1,"school_id"
"24",1,"school_id"
"26",1,"school_id"
"27",1,"school_id"
"32",1,"school_id"
"35",1,"school_id"
"41",1,"school_id"
"44",1,"school_id"
"45",1,"school_id"
"47",1,"school_id"
"48",1,"school_id"
"52",1,"school_id"
"56",1,"school_id"
"66",1,"school_id"
"71",1,"school_id"
"76",1,"school_id"
"79",1,"school_id"
"81",1,"school_id"
"84",1,"school_id"
"85",1,"school_id"
"91",1,"school_id"
"97",1,"school_id"
"98",1,"school_id"
"105",1,"school_id"
"120",1,"school_id"
"122",1,"school_id"
"132",1,"school_id"
"139",1,"school_id"
"140",1,"school_id"
"141",1,"school_id"
"150",1,"school_id"
"172",1,"school_id"
"180",1,"school_id"
"184",1,"school_id"
"205",1,"school_id"
"208",1,"school_id"
"212",1,"school_id"
"223",1,"school_id"
"233",1,"school_id"
"234",1,"school_id"
"235",1,"school_id"
"236",1,"school_id"
"237",1,"school_id"
"246",1,"school_id"
"247",1,"school_id"
"251",1,"school_id"
"256",1,"school_id"
"266",1,"school_id"
"268",1,"school_id"
"292",1,"school_id"
"293",1,"school_id"
"302",1,"school_id"
"303",1,"school_id"
"312",1,"school_id"
"313",1,"school_id"
"318",1,"school_id"
"319",1,"school_id"
"323",1,"school_id"
"325",1,"school_id"
"345",1,"school_id"
"346",1,"school_id"
"348",1,"school_id"
"353",1,"school_id"
"359",1,"school_id"
"360",1,"school_id"
"361",1,"school_id"
"368",1,"school_id"
"369",1,"school_id"
"371",1,"school_id"
"380",1,"school_id"
"382",1,"school_id"
"383",1,"school_id"
"384",1,"school_id"
"388",1,"school_id"
"389",1,"school_id"
"394",1,"school_id"
"395",1,"school_id"
"410",1,"school_id"
"411",1,"school_id"
"415",1,"school_id"
"417",1,"school_id"
"425",1,"school_id"
"429",1,"school_id"
"439",1,"school_id"
"447",1,"school_id"
"452",1,"school_id"
"455",1,"school_id"
"458",1,"school_id"
"462",1,"school_id"
"466",1,"school_id"
"469",1,"school_id"
"471",1,"school_id"
"472",1,"school_id"
"474",1,"school_id"
"478",1,"school_id"
"480",1,"school_id"
"483",1,"school_id"
"495",1,"school_id"
"499",1,"school_id"
"501",1,"school_id"
"502",1,"school_id"
"504",1,"school_id"
"506",1,"school_id"
"512",1,"school_id"
"532",1,"school_id"
"536",1,"school_id"
"537",1,"school_id"
"539",1,"school_id"
"540",1,"school_id"
"541",1,"school_id"
"545",1,"school_id"
"566",1,"school_id"
"569",1,"school_id"
"571",1,"school_id"
"572",1,"school_id"
"600",1,"school_id"
"606",1,"school_id"
"607",1,"school_id"
"608",1,"school_id"
"620",1,"school_id"
"621",1,"school_id"
"628",1,"school_id"
"637",1,"school_id"
"640",1,"school_id"
"643",1,"school_id"
"654",1,"school_id"
"657",1,"school_id"
"666",1,"school_id"
"669",1,"school_id"
"679",1,"school_id"
"680",1,"school_id"
"683",1,"school_id"
"686",1,"school_id"
"694",1,"school_id"
"699",1,"school_id"
"703",1,"school_id"
"704",1,"school_id"
"710",1,"school_id"
"727",1,"school_id"
"729",1,"school_id"
"746",1,"school_id"
"753",1,"school_id"
"756",1,"school_id"
"757",1,"school_id"
"759",1,"school_id"
"760",1,"school_id"
"764",1,"school_id"
"765",1,"school_id"
"768",1,"school_id"
"770",1,"school_id"
"772",1,"school_id"
"775",1,"school_id"
"778",1,"school_id"
"792",1,"school_id"
"800",1,"school_id"
"802",1,"school_id"
"805",1,"school_id"
"807",1,"school_id"
"809",1,"school_id"
"810",1,"school_id"
"811",1,"school_id"
"813",1,"school_id"
"814",1,"school_id"
"815",1,"school_id"
"816",1,"school_id"
"818",1,"school_id"
"823",1,"school_id"
"825",1,"school_id"
"831",1,"school_id"
"842",1,"school_id"
"845",1,"school_id"
"846",1,"school_id"
"847",1,"school_id"
"850",1,"school_id"
"876",1,"school_id"
"878",1,"school_id"
"883",1,"school_id"
"890",1,"school_id"
"899",1,"school_id"
"909",1,"school_id"
"917",1,"school_id"
"918",1,"school_id"
"921",1,"school_id"
"936",1,"school_id"
"937",1,"school_id"
"938",1,"school_id"
"110003100419",1,"nces_id"
"110005800308",1,"nces_id"
"110011400538",1,"nces_id"
"1282139",1,"nces_id"
"150003000265",1,"nces_id"
"150003000298",1,"nces_id"
"150003000299",1,"nces_id"
"1507405",1,"nces_id"
"160015901017",1,"nces_id"
"160017501082",1,"nces_id"
"160018101100",1,"nces_id"
"170993000411",1,"nces_id"
"170993006293",1,"nces_id"
"170993006475",1,"nces_id"
"180017002610",1,"nces_id"
"2120766",1,"nces_id"
"220018802340",1,"nces_id"
"220029302439",1,"nces_id"
"220031402466",1,"nces_id"
"220117002437",1,"nces_id"
"230993000603",1,"nces_id"
"231470000512",1,"nces_id"
"231478500729",1,"nces_id"
"233206",1,"nces_id"
"250004901245",1,"nces_id"
"250006001439",1,"nces_id"
"250058902885",1,"nces_id"
"250253000154",1,"nces_id"
"250768001202",1,"nces_id"
"251005001659",1,"nces_id"
"251185001938",1,"nces_id"
"260104808796",1,"nces_id"
"260769001863",1,"nces_id"
"261725008242",1,"nces_id"
"262724008274",1,"nces_id"
"268099008165",1,"nces_id"
"270018703140",1,"nces_id"
"270023502689",1,"nces_id"
"270026103319",1,"nces_id"
"272124001903",1,"nces_id"
"290061603362",1,"nces_id"
"291854001665",1,"nces_id"
"330327100679",1,"nces_id"
"350006001040",1,"nces_id"
"350006001074",1,"nces_id"
"350006001112",1,"nces_id"
"350012301066",1,"nces_id"
"350252001021",1,"nces_id"
"360007803603",1,"nces_id"
"360007806185",1,"nces_id"
"360008406382",1,"nces_id"
"360009001327",1,"nces_id"
"360012205727",1,"nces_id"
"360096006013",1,"nces_id"
"360096406038",1,"nces_id"
"360104806255",1,"nces_id"
"360114706595",1,"nces_id"
"362070002910",1,"nces_id"
"370002202089",1,"nces_id"
"370039103375",1,"nces_id"
"370039403360",1,"nces_id"
"370150002451",1,"nces_id"
"370333003439",1,"nces_id"
"370502002003",1,"nces_id"
"380004400138",1,"nces_id"
"390437504417",1,"nces_id"
"40040702404",1,"nces_id"
"40068003517",1,"nces_id"
"40097803585",1,"nces_id"
"40098803680",1,"nces_id"
"40633003509",1,"nces_id"
"40752002768",1,"nces_id"
"40963001388",1,"nces_id"
"40963003076",1,"nces_id"
"420081206819",1,"nces_id"
"420228007623",1,"nces_id"
"421899000923",1,"nces_id"
"421899007548",1,"nces_id"
"440090000213",1,"nces_id"
"450276000745",1,"nces_id"
"470014801025",1,"nces_id"
"470015702437",1,"nces_id"
"470318002136",1,"nces_id"
"480141513534",1,"nces_id"
"480144212915",1,"nces_id"
"481623013841",1,"nces_id"
"483294007513",1,"nces_id"
"483897013738",1,"nces_id"
"490018601483",1,"nces_id"
"490039001562",1,"nces_id"
"490045000334",1,"nces_id"
"490072001271",1,"nces_id"
"500043300195",1,"nces_id"
"500044400022",1,"nces_id"
"500044500119",1,"nces_id"
"500045000395",1,"nces_id"
"500285000074",1,"nces_id"
"500324000087",1,"nces_id"
"500824300343",1,"nces_id"
"50824000545",1,"nces_id"
"50894001363",1,"nces_id"
"510025603031",1,"nces_id"
"510147000649",1,"nces_id"
"510225003046",1,"nces_id"
"51245001003",1,"nces_id"
"530034203602",1,"nces_id"
"530034703723",1,"nces_id"
"530375003588",1,"nces_id"
"530492000749",1,"nces_id"
"530591003746",1,"nces_id"
"550210003093",1,"nces_id"
"550951002882",1,"nces_id"
"551071003072",1,"nces_id"
"60149008724",1,"nces_id"
"60181613008",1,"nces_id"
"60201312901",1,"nces_id"
"60218314124",1,"nces_id"
"60221514355",1,"nces_id"
"60227214331",1,"nces_id"
"60229313702",1,"nces_id"
"60232413774",1,"nces_id"
"60241612208",1,"nces_id"
"60256214589",1,"nces_id"
"63432011154",1,"nces_id"
"64119012341",1,"nces_id"
"80002006661",1,"nces_id"
"80192006434",1,"nces_id"
"80279000172",1,"nces_id"
"80336000357",1,"nces_id"
"80336006473",1,"nces_id"
"80336006756",1,"nces_id"
"80336006821",1,"nces_id"
"90001400807",1,"nces_id"
"A1190082",1,"nces_id"
"A1700094",1,"nces_id"
"A1790101",1,"nces_id"
"A1792034",1,"nces_id"
"A1900008",1,"nces_id"
"A1903406",1,"nces_id"
"A1992179",1,"nces_id"
"A2100935",1,"nces_id"
"A2103361",1,"nces_id"
"BB081524",1,"nces_id"
"BB180115",1,"nces_id"
"5280 High School",1,"school_name"
"A School Without Walls",1,"school_name"
"ACE Leadership High School",1,"school_name"
"Acton Academy Venice Beach",1,"school_name"
"Aggie Academy",1,"school_name"
"Aiken New Tech High School",1,"school_name"
"AIM Academy",1,"school_name"
"Alternative Choices in Education at Brookline High School",1,"school_name"
"Alturas International Academy",1,"school_name"
"American Academy of Innovation",1,"school_name"
"Amp Lab at Electric Works",1,"school_name"
"Anastasis Academy",1,"school_name"
"Asa Messer Elementary School",1,"school_name"
"Atlas Public Schools",1,"school_name"
"Avalon School",1,"school_name"
"Batesburg-Leesville Primary School",1,"school_name"
"Bennett Day School",1,"school_name"
"Black Mother's Forum Microschool",1,"school_name"
"Blessed Sacrament Catholic School",1,"school_name"
"Blue Valley Center for Advanced Professional Studies (CAPS)",1,"school_name"
"Boston Day and Evening Academy",1,"school_name"
"Bostonia Global K-14",1,"school_name"
"Building 21 Allentown",1,"school_name"
"BuildUp Community School",1,"school_name"
"Burlington City & Lake Semester",1,"school_name"
"Cabot School",1,"school_name"
"Campus School",1,"school_name"
"Canon City High School",1,"school_name"
"Cascades Academy",1,"school_name"
"Casco Bay High School",1,"school_name"
"Catalyst: Bremerton",1,"school_name"
"Central Vermont Career Center",1,"school_name"
"Cesar E. Chávez Multicultural Academic Center",1,"school_name"
"Charlotte Lab School",1,"school_name"
"CHIME Institute's Schwarzenegger Community",1,"school_name"
"Cibola High School",1,"school_name"
"CICS West Belden",1,"school_name"
"City High School",1,"school_name"
"City of Bridges High School",1,"school_name"
"CityLab Innovation High School",1,"school_name"
"Clark Street Community School",1,"school_name"
"Coatimundi Middle School",1,"school_name"
"CodeRVA Regional High School",1,"school_name"
"Colchester High School",1,"school_name"
"Colossal Academy",1,"school_name"
"Common Ground High School",1,"school_name"
"Community Lab School",1,"school_name"
"Compass Rose Harvest",1,"school_name"
"Concourse Village Elementary School",1,"school_name"
"Conservatory Lab Charter School",1,"school_name"
"CREATE Conservatory",1,"school_name"
"Da Vinci Connect",1,"school_name"
"Da Vinci RISE High",1,"school_name"
"Da Vinci Schools",1,"school_name"
"David H. Petree Elementary",1,"school_name"
"DB EXCEL (Kingsport)",1,"school_name"
"Dekalb Brilliance Academy",1,"school_name"
"Design Studio at Mead Senior High School",1,"school_name"
"Design Tech High School",1,"school_name"
"Detroit Prep",1,"school_name"
"DREAM Charter School",1,"school_name"
"Edison School of Innovation",1,"school_name"
"Ednovate Virtual Academy",1,"school_name"
"EdVisions Off Campus",1,"school_name"
"Ellemercito Academy",1,"school_name"
"Embark Education",1,"school_name"
"Ember Charter School for Mindful Education; Innovation; and Transformation",1,"school_name"
"Enosburg Falls Junior/Senior High School",1,"school_name"
"Environmental Charter School",1,"school_name"
"EVOLVE Academy",1,"school_name"
"Fannie Lou Hamer Freedom High School",1,"school_name"
"Flushing International High School",1,"school_name"
"Frank McCourt High School",1,"school_name"
"Frederick County Middle School",1,"school_name"
"Future Public School",1,"school_name"
"Gibson Ek High School",1,"school_name"
"Girls Athletic Leadership Middle School",1,"school_name"
"Global Preparatory Academy",1,"school_name"
"Gordon Bernell Charter School",1,"school_name"
"Goshen Post Elementary",1,"school_name"
"Grant Beacon Middle School",1,"school_name"
"Growth Public Schools",1,"school_name"
"Gull Lake Virtual Partnership",1,"school_name"
"Hazen Union High School",1,"school_name"
"Heritage Charter Academy",1,"school_name"
"Heron School",1,"school_name"
"Horizons Alternative Education School",1,"school_name"
"Howard Middle School for Math and Science",1,"school_name"
"I Dream Public Charter School",1,"school_name"
"Icon Preparatory School Jacksonville",1,"school_name"
"Innovation Academy",1,"school_name"
"International School of the Americas",1,"school_name"
"Intrinsic Charter School",1,"school_name"
"Iowa BIG",1,"school_name"
"Jasper High School",1,"school_name"
"Juab High School",1,"school_name"
"Kairos Academies",1,"school_name"
"Koshkonong Trails School",1,"school_name"
"La Luz",1,"school_name"
"Lab51",1,"school_name"
"Launch High",1,"school_name"
"Leaders Are Legends Academy Inc.",1,"school_name"
"Legacy Classical Christian Academy",1,"school_name"
"Libertas School of Memphis",1,"school_name"
"Liberty Academy",1,"school_name"
"Lighthouse Holyoke",1,"school_name"
"Lincoln Middle School (AR)",1,"school_name"
"Living School",1,"school_name"
"Long-View Micro Schol",1,"school_name"
"Magnolia Montessori For All",1,"school_name"
"Mālama Honua Public Charter School",1,"school_name"
"Manara Leadership Academy",1,"school_name"
"Map Academy Charter School",1,"school_name"
"Margaret Hearne Elementary School",1,"school_name"
"Maureen Joy Charter School",1,"school_name"
"Miss Porter's School",1,"school_name"
"Mission Vista High School",1,"school_name"
"Missisquoi Valley Union Middle and High School",1,"school_name"
"Monument Mountain Regional High School",1,"school_name"
"Mott Haven Academy",1,"school_name"
"Nashville Big Picture High School",1,"school_name"
"Nawayee Center School",1,"school_name"
"New Legacy Charter School",1,"school_name"
"Newburgh Free Academy West",1,"school_name"
"Next STEP High",1,"school_name"
"Nipmuc Regional High School",1,"school_name"
"Noble High School",1,"school_name"
"Nokomis Regional High",1,"school_name"
"Norris Academy",1,"school_name"
"Northeast Academy for Aerospace and Advanced Technologies",1,"school_name"
"Northern Cass High School",1,"school_name"
"NuVu Innovation School",1,"school_name"
"Ogden High School",1,"school_name"
"Opportunity Academy at Holyoke High School",1,"school_name"
"Oxford Virtual Academy",1,"school_name"
"Perry Ingenuity Institute",1,"school_name"
"Phoenix Coding Academy",1,"school_name"
"Promise Academy",1,"school_name"
"Rainier Valley Leadership Academy",1,"school_name"
"Red Bridge",1,"school_name"
"Revolution School",1,"school_name"
"Robert F. Smith STeAM Academy",1,"school_name"
"Rodriguez Elementary",1,"school_name"
"Rooted School",1,"school_name"
"Ruby Bridges Elementary School",1,"school_name"
"Saint John Paul II",1,"school_name"
"San Diego Met High School",1,"school_name"
"San Luis High School",1,"school_name"
"Science Leadership Academy",1,"school_name"
"Science Prep Academy",1,"school_name"
"SEEQS: the School for Examining Essential Questions of Sustainability",1,"school_name"
"Sequoyah School",1,"school_name"
"Siloam Springs High School Conversion Charter",1,"school_name"
"Solar Preparatory School for Boys",1,"school_name"
"South Bronx Community Charter High School",1,"school_name"
"Southeast Area Technical High School (SEA-TECH)",1,"school_name"
"Spring Grove School",1,"school_name"
"Technology Leadership High School",1,"school_name"
"The Albuquerque Sign Language Academy",1,"school_name"
"The Center for Advanced Research and Technology (CART)",1,"school_name"
"The Delta School",1,"school_name"
"The Forest School",1,"school_name"
"The Innovation School",1,"school_name"
"The Lab School of Memphis",1,"school_name"
"The NET Charter High School: Gentilly",1,"school_name"
"The Net: Central City",1,"school_name"
"The Sycamore School",1,"school_name"
"The Workshop School",1,"school_name"
"Tomorrow's Leadership Collaborative (TLC) Charter",1,"school_name"
"Transformative Leadership Academy",1,"school_name"
"TRIO Wolf Creek Distance Learning Charter School",1,"school_name"
"University High School",1,"school_name"
"UP Academy",1,"school_name"
"Urban Montessori Charter School",1,"school_name"
"Utah Schools for the Deaf and the Blind",1,"school_name"
"Uxbridge High School",1,"school_name"
"Valiant Cross Academy",1,"school_name"
"Valor Preparatory Academy of Arizona",1,"school_name"
"Verdi EcoSchool",1,"school_name"
"Village High School",1,"school_name"
"Virtual Learning Academy",1,"school_name"
"Vista Grande Charter High School",1,"school_name"
"Wakanyeja Ki Tokeyahci Immersion School",1,"school_name"
"Washtenaw Alliance for Virtual Education (WAVE)",1,"school_name"
"West Hawaii Explorations Academy",1,"school_name"
"West Michigan Virtual Academy",1,"school_name"
"Wíŋyaŋ Wakȟáŋ Owáyawa - Our Lady of Lourdes Elementary School",1,"school_name"
"Woodstock Union Middle/High School",1,"school_name"
"Yu Ming Charter School",1,"school_name"
"100 Amsden Way",1,"school_address"
"100 Noble Way",1,"school_address"
"10100 East D Ave",1,"school_address"
"1021 Jennings St",1,"school_address"
"1030 Swinney Avenue",1,"school_address"
"10500 Research Rd Se",1,"school_address"
"107 South Driver Street",1,"school_address"
"11 Resnik Road",1,"school_address"
"110 Stanton Ave",1,"school_address"
"1110 Washington Avenue, Bronx, Ny 10456",1,"school_address"
"1115 Blackberry Drive",1,"school_address"
"113 2Nd Ave Nw",1,"school_address"
"1130 E. Walnut Ave.",1,"school_address"
"115 Greenough St.",1,"school_address"
"1151 W. Miller St.",1,"school_address"
"120 South Main",1,"school_address"
"1200 Forest Street",1,"school_address"
"1200 River Rd",1,"school_address"
"1200 W Mississippi Ave",1,"school_address"
"1201 W 24Th Street (#200)",1,"school_address"
"1240 Bellamah Ave. Nw",1,"school_address"
"12501 Hwy 287",1,"school_address"
"12501 Isis Avenue",1,"school_address"
"1305 Ironsides Ave",1,"school_address"
"1306 Melrose Dr.",1,"school_address"
"1313 College",1,"school_address"
"13185 W Thomas Rd",1,"school_address"
"1355 Kelly Johnson",1,"school_address"
"1374 W Frontage Rd",1,"school_address"
"1375 E. Broadway Rd",1,"school_address"
"1390 Broadway",1,"school_address"
"1400 Jackson Keller Rd",1,"school_address"
"1405 Cummings Drive, Suite 10",1,"school_address"
"1423 Ogden Street",1,"school_address"
"144-80 Barclay Ave",1,"school_address"
"145 Birch Street",1,"school_address"
"145 W 84Th St",1,"school_address"
"1470 West 13Th Street",1,"school_address"
"1481 Esplande Parkway",1,"school_address"
"15 Everard Street",1,"school_address"
"15 Shepperton Way",1,"school_address"
"151 North Ridge Avenue",1,"school_address"
"151 W 20Th Ave",1,"school_address"
"155 Ayers St, Suite 2",1,"school_address"
"1550 Wilson Blvd",1,"school_address"
"160 Rural Ave",1,"school_address"
"16021 18Th St Se",1,"school_address"
"1614 Oretha Castle Haley Blvd",1,"school_address"
"1617 Michigan Ave",1,"school_address"
"1630 4Th Street Ne",1,"school_address"
"1655 Westminster Street",1,"school_address"
"168 S Washington St",1,"school_address"
"170 Brown Pl",1,"school_address"
"1728 Nuuanu Ave",1,"school_address"
"1738 Galloway Ave",1,"school_address"
"175 Thunder Bird Drive",1,"school_address"
"1751 South Washington Street",1,"school_address"
"1802 Moser Ave",1,"school_address"
"185 N 300 E",1,"school_address"
"1851 Highland Avenue",1,"school_address"
"196 Allen Avenue",1,"school_address"
"19722 Collier St.",1,"school_address"
"1975 W Royal Hunte Dr",1,"school_address"
"19860 Tumalo Reservoir Rd",1,"school_address"
"1991 2Nd Ave",1,"school_address"
"20 Kearsarge Ave",1,"school_address"
"201 E School St",1,"school_address"
"201 N Douglas St",1,"school_address"
"2033 Sugar Grove Ave",1,"school_address"
"2045 Suttle Avenue",1,"school_address"
"20510 49Th Drive Se",1,"school_address"
"206 Maple St",1,"school_address"
"208 Race St.",1,"school_address"
"2091 North Dayton Street",1,"school_address"
"2100 Bristol Street",1,"school_address"
"213 Paseo Del Canon East",1,"school_address"
"2207-B E Cone Blvd",1,"school_address"
"221 S Hanson St",1,"school_address"
"2210 Lincoln Blvd, Suite 13",1,"school_address"
"222 6Th Ave Sw",1,"school_address"
"2220 Branch Avenue Se",1,"school_address"
"2245 N Mcvicker Ave",1,"school_address"
"225 Griegos Rd. Nw",1,"school_address"
"2265 Third Street",1,"school_address"
"230 S. Broad Street, 19Th Floor",1,"school_address"
"2315 Miami St.",1,"school_address"
"2421 Bloomington Ave",1,"school_address"
"24945 Lobo Drive",1,"school_address"
"25 Common Road",1,"school_address"
"2501 Chestnut Street",1,"school_address"
"2555 Clovis Ave",1,"school_address"
"2575 Snapfinger Road, Ste A",1,"school_address"
"265 Lehigh St",1,"school_address"
"275 Oracle Parkway",1,"school_address"
"2821 4Th Street Nw",1,"school_address"
"2828 Harrison Blvd",1,"school_address"
"2900 Richard Allen Ct",1,"school_address"
"2901 S Central Ave, Los Angeles, Ca 90011",1,"school_address"
"2909 S Stockton Ave.",1,"school_address"
"291 Williams Rd, Suite 2",1,"school_address"
"2929 W. Greenway Road, Bldg. A",1,"school_address"
"29678 Karmel Ave",1,"school_address"
"30 Linden St.",1,"school_address"
"300 Gold St Ne",1,"school_address"
"300 Quaker Highway",1,"school_address"
"301 Dexter Ave",1,"school_address"
"301 N. Orange Grove Blvd.",1,"school_address"
"301 W. Michigan Ave. Suite #201",1,"school_address"
"302 W Hastings Rd",1,"school_address"
"330 Innovation Drive",1,"school_address"
"35 W Hamblin Avenue",1,"school_address"
"350 S. Figueroa St., Suite 250, Los Angeles, Ca 90071",1,"school_address"
"358 Springside Ave.",1,"school_address"
"361 Vrain St",1,"school_address"
"3777 Edenburg Dr",1,"school_address"
"379 1St Pl Se",1,"school_address"
"3815 Old Greensboro Road",1,"school_address"
"39 West Street",1,"school_address"
"395 Columbia Rd",1,"school_address"
"400 Clinchfield Street Suite 220",1,"school_address"
"400 S. 18Th Street",1,"school_address"
"403 Blue Jay Way",1,"school_address"
"405 Howard Pl Nw",1,"school_address"
"41-054 Ehukai St",1,"school_address"
"4100 W 20Th St",1,"school_address"
"415 12Th Ave Se",1,"school_address"
"4445 N. Central Ave Phoenix, Az 85012",1,"school_address"
"450 Massachusetts Ave",1,"school_address"
"4540 W Belmont Ave",1,"school_address"
"4551 Steele St.",1,"school_address"
"460 Elsbree Street",1,"school_address"
"4661 North Frederick Pike",1,"school_address"
"47 E. Pennington Street",1,"school_address"
"4747 S Marshfield Ave",1,"school_address"
"4801 Benning Road Se",1,"school_address"
"4900 Lake Park Ct.",1,"school_address"
"500 Lourdes Lane",1,"school_address"
"500 South Lincoln Avenue",1,"school_address"
"5100 Pecan Brook Dr",1,"school_address"
"5101 Highway 61",1,"school_address"
"511 E 43Rd St",1,"school_address"
"5136 N 83Rd Ave",1,"school_address"
"52 Institute Rd",1,"school_address"
"5301 Sidbury Road",1,"school_address"
"535 Zach Curlin",1,"school_address"
"5410 W South Jordan Parkway",1,"school_address"
"550 N Broad St - Suite 202",1,"school_address"
"5525 Columbo St",1,"school_address"
"5641 Belmont Ave",1,"school_address"
"60 Main St.",1,"school_address"
"600 School Street",1,"school_address"
"600 Stockbridge Road",1,"school_address"
"6003 Bullard Ave. Suite 16",1,"school_address"
"6020 Rainier Avenue S",1,"school_address"
"616 Quincy St-3Rd Fl",1,"school_address"
"6495 S Colorado Blvd",1,"school_address"
"6601 Franklin Ave",1,"school_address"
"6701 Press Drive",1,"school_address"
"700 Glendale St",1,"school_address"
"700 N. Progress Avenue",1,"school_address"
"7250 Mesa College Dr. Rm. K203",1,"school_address"
"73-4460 Queen Kaahumanu Hwy",1,"school_address"
"733 North Highland Ave, Pittsburgh Pa 15206",1,"school_address"
"742 Harrison Blvd",1,"school_address"
"746 Ne 3Rd Avenue",1,"school_address"
"750 Concourse Village West",1,"school_address"
"750 Galapago Street",1,"school_address"
"7501 W. 149Th Terrace",1,"school_address"
"800 Summerland Avenue",1,"school_address"
"802 N 650 E",1,"school_address"
"8201 Tristar Drive",1,"school_address"
"8411 Sylvester St",1,"school_address"
"90 Pleasant Street",1,"school_address"
"90 Trinity Place",1,"school_address"
"9320 Tech Center Dr.",1,"school_address"
"955 W. Grand Ave",1,"school_address"
"One Learning Lane",1,"school_address"
"P.O. Box 307",1,"school_address"
"P.O. Box 368",1,"school_address"
"P.O. Box 417",1,"school_address"
"P.O. Box 900",1,"school_address"
"Po Box 2889",1,"school_address"
"Po Box 7380",1,"school_address"
"W247S10395 Center Dr",1,"school_address"
"Albuquerque",4,"school_city"
"Aldie",1,"school_city"
"Allentown",1,"school_city"
"Arlington",1,"school_city"
"Aurora",1,"school_city"
"Austin",2,"school_city"
"Barre",1,"school_city"
"Bastrop",1,"school_city"
"Batesburg-Leesville",1,"school_city"
"Battle Creek",1,"school_city"
"Bend",1,"school_city"
"Birmingham",1,"school_city"
"Bismarck",1,"school_city"
"Blue Valley",1,"school_city"
"Boise",2,"school_city"
"Boston",2,"school_city"
"Bremerton",1,"school_city"
"Bronx",1,"school_city"
"Brookline",1,"school_city"
"Brooklyn",1,"school_city"
"Burlington",1,"school_city"
"Cabot",1,"school_city"
"Cambridge",2,"school_city"
"Canon City",1,"school_city"
"Castle Hayne",1,"school_city"
"Cedar City",1,"school_city"
"Cedar Rapids",1,"school_city"
"Centennial",1,"school_city"
"Chandler",1,"school_city"
"Charlotte",1,"school_city"
"Charlottesville",1,"school_city"
"Chicago",4,"school_city"
